Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Belvide Reservoir,0.0,0,0,0.0,nan,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Colliford Lake and Dozmary Pool,0.0,0,1,1.0,0,0,0.0,0.0,0,(0),1,0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Crowdy Reservoir,0.0,0,0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Inner Moray and Beauly Firths,0.0,0,0,0.0,0,0,0.0,0.0,0,0,(0),0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Kingsbridge Estuary,0.0,0,0,1.0,0,(0),0.0,0.0,0,0,0,0,0,(0),0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Loch Fleet Complex,0.0,1,1,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Loch of Hillwell,nan,0,0,0.0,(0),0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Loe Pool,0.0,0,0,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Looe Estuary,1.0,(0),(0),0.0,0,0,0.0,0.0,(0),0,0,0,(0),0,0,(0),0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Slapton Ley,0.0,0,0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,(0),0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Stithians Reservoir,0.0,1,1,1.0,1,0,0.0,0.0,nan,nan,nan,(0),0,0,0,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1,2019-11-22 02:55:43
Taylor Dam,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,nan,0,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,0.0,1,2019-11-22 02:55:43
Great Pool (Tresco),nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,2019-11-22 02:55:43
END
