Site,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,RoughTimeAccessed
Lindisfarne,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10, 1, 'Sep', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[10, 2, 'Jul', 0, None, None]","[25, 2, 'Jul', 0, None, None]","[2, 2, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[24, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[1, 1, 'Jul', 0, None, None]","[3, 1, 'May', 0, None, None]","[120, 2, 'Jun', 0, None, None]","[25, 1, 'May', 0, None, None]","[12, 2, 'Sep', 0, None, None]","[15, 2, 'May', 0, None, None]","[62, 1, 'Jun', 0, None, None]","[11, 1, 'Jul', 0, None, None]","[79, 1, 'Jun', 0, None, None]","[28, 2, 'May', 0, None, None]","[146, 2, 'Aug', 0, None, None]","[162, 2, 'Aug', 0, None, None]","[19, 2, 'May', 0, None, None]","[449, 2, 'Jul', 0, None, None]","[170, 2, 'Jun', 0, None, None]",2020-01-19 18:22:23
Loch a' Phuill (Tiree),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[62, 1, 'Jul', 0, None, None]","[145, 2, 'Jul', 0, None, None]","[160, 1, 'Jun', 0, None, None]","[473, 1, 'Jul', 0, None, None]","[477, 1, 'May', 0, None, None]","[150, 1, 'Jun', 0, None, None]","[120, 1, 'May', 0, None, None]","[58, 1, 'Jun', 0, None, None]","[37, 1, 'Jun', 0, None, None]","[77, 1, 'Jun', 0, None, None]","[101, 1, 'Jun', 0, None, None]","[135, 1, 'Jun', 0, None, None]","[103, 1, 'Jun', 0, None, None]","[120, 1, 'Jul', 0, None, None]","[186, 1, 'Jun', 0, None, None]","[1450, 1, 'Jul', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[202, 2, 'Jun', 0, None, None]","[46, 1, 'Jun', 0, None, None]","[48, 1, 'Jun', 0, None, None]","[37, 1, 'May', 0, None, None]",2020-01-19 18:22:23
Tay Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[65, 1, 'Jul', 0, None, None]","[130, 1, 'Jul', 0, None, None]","[40, 1, 'Aug', 0, None, None]","[1000, 2, 'Aug', 0, None, None]","[55, 1, 'Jul', 0, None, None]","[150, 1, 'Aug', 0, None, None]","[80, 1, 'Aug', 0, None, None]","[32, 1, 'Aug', 0, None, None]","[660, 1, 'Aug', 0, None, None]","[290, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[10, 1, 'Jul', 0, None, None]","[50, 2, 'Aug', 0, None, None]","[1841, 1, 'Jul', 0, None, None]","[1100, 1, 'Jul', 0, None, None]","[200, 1, 'Aug', 0, None, None]","[31, 1, 'Jul', 0, None, None]","[60, 1, 'Jul', 0, None, None]","[100, 1, 'Jul', 0, None, None]","[2, 1, 'Apr', 0, None, None]","[74, 1, 'Aug', 0, None, None]","[340, 1, 'Jul', 0, None, None]","[26, 1, 'Jul', 0, None, None]","[242, 1, 'Jul', 0, None, None]",2020-01-19 18:22:23
Ythan to Collieston,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[124, 2, 'Jul', 0, None, None]",nan,2020-01-19 18:22:23
The Houb (Whalsay),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[100, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[120, 1, 'Jul', 0, None, None]","[82, 1, 'Jul', 0, None, None]","[300, 1, 'Jul', 0, None, None]","[80, 1, 'Jun', 0, None, None]","[200, 1, 'Jul', 0, None, None]","[275, 1, 'Jul', 0, None, None]","[80, 1, 'Jul', 0, None, None]","[150, 1, 'Jun', 0, None, None]","[137, 1, 'Jul', 0, None, None]","[59, 1, 'May', 0, None, None]","[68, 1, 'Jun', 0, None, None]","[115, 1, 'May', 0, None, None]","[200, 1, 'Jul', 0, None, None]","[80, 1, 'Jul', 0, None, None]","[100, 1, 'Jul', 0, None, None]","[100, 1, 'May', 0, None, None]",2020-01-19 18:22:23
Loch of Tankerness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[40, 1, 'Jul', 0, None, None]","[35, 1, 'Jul', 0, None, None]","[75, 1, 'May', 0, None, None]","[0, 1, '', 0, None, None]","[43, 1, 'May', 0, None, None]","[32, 1, 'May', 0, None, None]","[121, 1, 'Jul', 0, None, None]","[226, 1, 'Jul', 0, None, None]","[182, 1, 'Jun', 0, None, None]","[42, 1, 'Jun', 0, None, None]","[55, 1, 'Jul', 0, None, None]","[43, 1, 'Jul', 0, None, None]","[46, 1, 'Jul', 0, None, None]","[117, 1, 'Jul', 0, None, None]","[71, 1, 'May', 0, None, None]","[40, 1, 'Jun', 0, None, None]","[193, 1, 'May', 0, None, None]","[48, 1, 'Jul', 0, None, None]",nan,nan,2020-01-19 18:22:23
Cemlyn Bay and Lagoon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'May', 0, None, None]",nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[23, 1, 'Jun', 0, None, None]","[17, 1, 'Jul', 0, None, None]","[80, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[14, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[400, 1, 'May', 0, None, None]","[2, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]",2020-01-19 18:22:23
Eden Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[9, 2, 'Jun', 0, None, None]","[129, 1, 'Jul', 0, None, None]","[90, 1, 'Jul', 0, None, None]","[190, 1, 'Jul', 0, None, None]","[115, 1, 'Jul', 0, None, None]","[361, 1, 'Aug', 0, None, None]","[220, 1, 'Aug', 0, None, None]","[53, 2, 'Jul', 0, None, None]","[125, 1, 'Aug', 0, None, None]","[320, 1, 'Jul', 0, None, None]","[4, 1, 'Jun', 0, None, None]","[0, 1, '', 0, None, None]","[209, 1, 'Jul', 0, None, None]","[617, 1, 'Jul', 0, None, None]","[25, 1, 'Aug', 0, None, None]","[7, 1, 'Jul', 0, None, None]","[5, 2, 'Jul', 0, None, None]","[71, 1, 'Aug', 0, None, None]","[21, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[377, 1, 'Jul', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[11, 1, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]",2020-01-19 18:22:23
"Ness of Sound, Yell",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[90, 1, 'Aug', 0, None, None]","[80, 1, 'Aug', 0, None, None]","[100, 1, 'Jul', 0, None, None]","[60, 1, 'Jul', 0, None, None]","[40, 1, 'Jun', 0, None, None]","[75, 1, 'Jul', 0, None, None]","[70, 1, 'Jul', 0, None, None]",nan,"[70, 1, 'Jul', 0, None, None]","[100, 1, 'Jul', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[70, 1, 'Jul', 0, None, None]",2020-01-19 18:22:23
Lunan Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[20, 1, 'Jul', 0, None, None]","[20, 1, 'Aug', 0, None, None]","[27, 1, 'Aug', 0, None, None]","[2, 1, 'May', 0, None, None]","[34, 1, 'Jul', 0, None, None]","[64, 2, 'Jul', 0, None, None]","[30, 2, 'Aug', 0, None, None]","[3, 1, 'May', 0, None, None]","[8, 1, 'Aug', 0, None, None]","[6, 1, 'May', 0, None, None]","[120, 1, 'Aug', 0, None, None]","[73, 1, 'Aug', 0, None, None]","[10, 1, 'Aug', 0, None, None]","[5, 1, 'Aug', 0, None, None]","[70, 1, 'Sep', 0, None, None]",2020-01-19 18:22:23
