Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Blenheim Park Lake,0,0.0,1,0.0,0,2,5.0,1,3,12,0.0,2.0,nan,nan,nan,nan,nan,nan,3.0,4.0,Jul,4,4,1,2019-11-22 00:11:06
Derwent Reservoir,0,0.0,0,0.0,0,0,0.0,0,0,(0),0.0,0.0,0.0,0.0,0,4,4,4.0,4.0,0.0,nan,3,3,1,2019-11-22 00:11:06
Cassington and Yarnton Gravel Pits,0,0.0,0,0.0,0,3,0.0,0,0,2,0.0,2.0,0.0,1.0,1,0,3,2.0,nan,nan,nan,2,2,1,2019-11-22 00:11:06
Hauxley Nature Reserve,nan,nan,0,0.0,0,0,0.0,0,0,0,2.0,0.0,0.0,3.0,0,0,5,3.0,4.0,0.0,nan,2,2,1,2019-11-22 00:11:06
Orwell Estuary,0,1.0,0,0.0,33,1,1.0,0,2,0,0.0,0.0,0.0,0.0,0,5Standard visit under the WeBS Low Tide Count SurveyWeBS,0,0.0,2.0,2.0,Dec,2,2,1,2019-11-22 00:11:06
Airy Holm Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,5,0.0,0.0,0.0,nan,1,1,1,2019-11-22 00:11:06
Brading Harbour,0,0.0,0,1.0,1,0,0.0,(0),0,1,0.0,2.0,1.0,1.0,1,1,1,0.0,0.0,1.0,Aug,1,1,1,2019-11-22 00:11:06
Brasside Ponds,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,3.0,0.0,0.0,nan,1,1,1,2019-11-22 00:11:06
Camel Estuary,0,0.0,1,0.0,1,2,1.0,1,0,1,0.0,0.0,0.0,0.0,0,0,0,4.0,1.0,1.0,Aug,1,1,1,2019-11-22 00:11:06
Castle Lake,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0.0,1.0,0.0,0.0,0,0,5,0.0,0.0,0.0,nan,1,1,1,2019-11-22 00:11:06
Chelker Reservoir,nan,nan,nan,0.0,0,0,0.0,0,nan,0,0.0,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,nan,1,1,1,2019-11-22 00:11:06
Chichester Gravel Pits,0,0.0,0,0.0,0,0,8.0,3,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,1.0,1.0,Nov,1,1,1,2019-11-22 00:11:06
Church Wilne Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,1.0,0.0,nan,nan,1,1,1,2019-11-22 00:11:06
Cotswold Water Park (East),0,2.0,(0),0.0,(0),(0),3.0,(0),(0),1,1.0,1.0,1.0,0.0,(0),1,(0),nan,nan,nan,nan,1,1,1,2019-11-22 00:11:06
Crowdy Reservoir,0,2.0,0,0.0,1,2,1.0,1,2,1,0.0,0.0,0.0,0.0,0,0,0,1.0,1.0,1.0,Nov,1,1,1,2019-11-22 00:11:06
Durleigh Reservoir,nan,2.0,0,nan,nan,0,nan,0,nan,nan,nan,nan,0.0,0.0,0,2,0,0.0,0.0,1.0,Oct,1,1,1,2019-11-22 00:11:06
East Chevington Pools,nan,nan,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,3.0,1,0,2,0.0,2.0,0.0,nan,1,1,1,2019-11-22 00:11:06
Exe Estuary,0,0.0,0,0.0,0,0,0.0,0,0,0,2.0,2.0,2.0,1.0,4,2,1,1.0,0.0,0.0,nan,1,1,1,2019-11-22 00:11:06
Flattenden Lake (Wadhurst Park),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,0,0.0,1.0,2.0,Sep,1,1,1,2019-11-22 00:11:06
Fleet and Wey,0,0.0,1,1.0,0,3,2.0,0,1,0,0.0,2.0,1.0,0.0,4,3,1,1.0,0.0,0.0,nan,1,1,1,2019-11-22 00:11:06
Gnoll Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,0.0,nan,1,1,1,2019-11-22 00:11:06
Groveland Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,1,0.0,0.0,0.0,nan,1,1,1,2019-11-22 00:11:06
