Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Island of Islay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"32,409Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","32,812Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","35,172Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","40,054Supplementary visit under the WeBS Core Count SurveyWeBS","38,022Supplementary visit under the WeBS Core Count SurveyWeBS","35,213Supplementary visit under the WeBS Core Count SurveyWeBS","36,478Supplementary visit under the WeBS Core Count SurveyWeBS","40,018Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","44,186Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","47,303Argyll goose countsSNH","52,709Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","44,961Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","44,896SNH countsSNH Islay office","41,098SNH countsSNH Islay office","44,844SNH countsSNH Islay office","46,411SNH countsSNH Islay office","45,670SNH countsSNH Islay office","41,259Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","39,185SNH countsSNH Kirkwall office","43,883SNH countsSNH Kirkwall office","45,714SNH countsSNH Kirkwall office","43,351SNH countsSNH Kirkwall office",Dec,42678,42678,1,2019-11-28 04:18:08
Tiree,nan,nan,nan,nan,nan,nan,484.0,510.0,0.0,nan,nan,0.0,nan,nan,nan,0,nan,"1,465Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","1,479Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","1,158Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","1,572Supplementary visit under the WeBS Core Count SurveyWeBS","1,607Supplementary visit under the WeBS Core Count SurveyWeBS","1,442Supplementary visit under the WeBS Core Count SurveyWeBS","2,132Supplementary visit under the WeBS Core Count SurveyWeBS","2,786Supplementary visit under the WeBS Core Count SurveyWeBS","2,796Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","3,273Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","3,474Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","4,323Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","3,393Greenland Barnacle Goose survey 2007/08Mitchell et al. 2008","3,725Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","3,729Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","4,190Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","4,295Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","4,518SNH countsSNH Islay office",nan,"4,693SNH countsSNH Kirkwall office","4,268SNH countsSNH Kirkwall office","5,126SNH countsSNH Kirkwall office","5,042SNH countsSNH Kirkwall office",Dec,4782,4782,1,2019-11-28 04:18:08
Loch Gruinart,nan,nan,0.0,1.0,0.0,3600,8340.0,0.0,12250.0,0.0,0.0,0.0,0.0,0.0,2,0,7,0,0,402,3350,937,0,nan,0,0,0,22,168,1,0,0,770,58,0,8,0,3287,2788,10676,Oct,3352,3352,1,2019-11-28 04:18:08
Colonsay/Oronsay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,576Supplementary visit under the WeBS Core Count SurveyWeBS,244Supplementary visit under the WeBS Core Count SurveyWeBS,nan,510Supplementary visit under the WeBS Core Count SurveyWeBS,793Supplementary visit under the WeBS Core Count SurveyWeBS,"1,000Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"3,690SNH countsSNH Kirkwall office","1,819SNH countsSNH Kirkwall office",Dec,2755,2755,1,2019-11-28 04:18:08
Orkney,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,600Supplementary visit under the WeBS Core Count SurveyWeBS","1,800Supplementary visit under the WeBS Core Count SurveyWeBS",nan,nan,nan,nan,nan,"1,800SNH countsSNH Kirkwall office",nan,nan,"2,091Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","2,089Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,"1,990Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,nan,nan,nan,1990,1990,1,2019-11-28 04:18:08
Inner Loch Indaal,0.0,140.0,210.0,3.0,300.0,(597),1500.0,159.0,8500.0,0.0,0.0,0.0,0.0,0.0,0,871,481,120,501,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,6000,7000,3000,3000,2500,3000,1200,1500,1367,Jan,1913,1913,1,2019-11-28 04:18:08
Isle Of Oronsay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,339Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,270Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,228Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,541Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,510Supplementary visit under the WeBS Core Count SurveyWeBS,nan,"1,000Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts",716Argyll goose countsSNH,"1,901Greenland Goose counts e.g. Greenland Barnacle counts at South WallsSNH",nan,"1,874SNH countsSNH Islay office","1,711SNH countsSNH Islay office","2,056SNH countsSNH Islay office","1,376Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,829SNH countsSNH Islay office",nan,"1,480SNH countsSNH Kirkwall office","1,714SNH countsSNH Kirkwall office",nan,nan,nan,1597,1597,1,2019-11-28 04:18:08
Isle of Coll,nan,nan,nan,nan,0.0,0,246.0,250.0,28.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,861Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,653Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,931Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,788Supplementary visit under the WeBS Core Count SurveyWeBS,718Supplementary visit under the WeBS Core Count SurveyWeBS,933Supplementary visit under the WeBS Core Count SurveyWeBS,"1,010Supplementary visit under the WeBS Core Count SurveyWeBS",792Supplementary visit under the WeBS Core Count SurveyWeBS,1297,"2,240Argyll goose countsSNH","2,456Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.",800Greenland Barnacle Goose survey 2007/08Mitchell et al. 2008,600SNH countsSNH Islay office,876SNH countsSNH Islay office,"775Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB",0Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,980SNH countsSNH Islay office,nan,970SNH countsSNH Kirkwall office,nan,"1,266SNH countsSNH Kirkwall office","1,039SNH countsSNH Kirkwall office",Dec,1092,1092,1,2019-11-28 04:18:08
Oitir Mhor to Loch Paible (including Kirkibost) (North Uist),nan,nan,nan,nan,nan,30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12,0,nan,0,400,250,141,445,650,256,215,60,85,850,169,595,1410,340,1800,800,298,1900,Oct,1028,1028,1,2019-11-28 04:18:08
Loch Kinnabus,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,620,352,495,800,1000,1180,Dec,765,765,1,2019-11-28 04:18:08
