Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Solway Estuary,8800,7200.0,7200.0,8100.0,8500.0,8400.0,11500,12390.0,"(13,557)",10409.0,11195.0,14008.0,8000.0,17700.0,"(15,139)","(20,640)",18349,16845,19191,22437,26540,"(27,440)",21380,"23,524Svalbard Barnacle Goose on SolwayWWT data","28,447Svalbard Barnacle Goose on SolwayWWT data",21957,"28,270Svalbard Barnacle Goose on SolwayWWT data","28,450Svalbard Barnacle Goose on SolwayWWT data","29,370Svalbard Barnacle Goose on SolwayWWT data","28,170Svalbard Barnacle Goose on SolwayWWT data","31,111Svalbard Barnacle Goose on SolwayWWT data","29,170WWT reserve countsWWT","47,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",25076,27260,"38,885WWT reserve countsWWT","38,826Svalbard Barnacle Goose on SolwayWWT data","42,017Svalbard Barnacle Goose on SolwayWWT data","43,425Svalbard Barnacle Goose on SolwayWWT data","43,545Svalbard Barnacle Goose on SolwayWWT data",Apr,41340,41340,1,2019-11-28 04:42:25
Solway Estuary (Scottish counties),8800,7200.0,7200.0,8100.0,8500.0,8400.0,11500,10400.0,10516,7012.0,10980.0,11000.0,8000.0,11474.0,8700,"(20,640)",14867,12460,18391,13340,25490,18280,8880,15795,21880,16780,19700,9320,15016,13975,6360,19137,15702,15590,22181,13366,17624,11090,9276,18179,Feb,13907,13907,1,2019-11-28 04:42:25
Solway Estuary (English counties),0,0.0,nan,0.0,0.0,3020.0,3010,9048.0,"(9,657)",6700.0,1000.0,11008.0,4400.0,11000.0,11001,"(8,001)",9000,13294,11555,15682,8296,"(14,790)",12500,9538,"(9,571)",9318,10410,9760,8891,"(7,667)","(13,759)",11541,11573,10540,15609,13047,17453,9695,8787,7889,Apr,11374,11374,1,2019-11-28 04:42:25
WWT Caerlaverock (Inland),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5700,12640,10540,6540,9220,9140,14490,15380,3350,7380,14500,11030,10850,9320,9526,10660,6360,2316,8000,13660,8250,5980,10730,5010,nan,nan,nan,7240,7240,1,2019-11-28 04:42:25
Lindisfarne,(2),43.0,14.0,0.0,26.0,0.0,0,87.0,0,0.0,57.0,0.0,2.0,200.0,43,(0),(2),(80),118,31,0,0,93,(400),(140),786,160,300,1202,(190),70,(300),42,800,1677,(400),1986,(850),"1,400Supplementary visit under the WeBS Core Count SurveyWeBS",16750,Oct,6712,6712,1,2019-11-28 04:42:25
Mersehead RSPB Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5000,6000,6000,nan,nan,6500,7490,6400,8500,5700,9200,nan,"5,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","7,169WWT/JNCC National Grey Goose Censusnull","9,040Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","12,210Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","9,980Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",6858,8910,5520,7230,7365,nan,nan,nan,6705,6705,1,2019-11-28 04:42:25
Redkirk Point,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"6,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Nov,6000,6000,1,2019-11-28 04:42:25
Burgh Marsh (Sandsfield To Drumburgh),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50WWT/JNCC National Grey Goose Censusnull,nan,nan,nan,nan,nan,nan,nan,nan,nan,"4,800Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Mar,4800,4800,1,2019-11-28 04:42:25
Orchardton and Auchencairn Bays,nan,0.0,nan,nan,nan,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,(50),nan,2250,3100,1100,(800),"(2,000)","(1,100)","(2,000)","(4,000)","(3,000)","(3,500)","(3,000)","(3,000)","(3,000)","(3,000)","(3,047)","(3,500)",Dec,3109,3109,1,2019-11-28 04:42:25
Wigtown Bay,0,0.0,nan,0.0,0.0,0.0,(0),17.0,(8),0.0,5.0,11.0,3.0,2.0,5,0,0,(38),22,0,17,12,0,109,(395),690,412,150,(317),930,121,172,1037,2558,1039,2169,"1,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",2772,"(3,117)",1950,Mar,2302,2302,1,2019-11-28 04:42:25
