Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Humber Estuary,12.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0,4,0,1,1.0,72.0,13.0,28,1.0,(35),5,2.0,1.0,11,42,53,(74),81Standard visit under the WeBS Low Tide Count SurveyWeBS,(200),88,318,631,200,349,172,763Standard visit under the WeBS Low Tide Count SurveyWeBS,378.0,1180,553,687,1199,1451,Jan,1014,1014,1,2019-11-28 03:55:21
Dyfi Estuary,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0,158Standard visit under the WeBS Low Tide Count SurveyWeBS,98Standard visit under the WeBS Low Tide Count SurveyWeBS,0,140,165,198,0,278,380,0,336,0.0,321,342,321,447,528,Dec,392,392,1,2019-11-28 03:55:21
Strangford Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,51,57,59,71.0,74.0,77.0,83,97.0,89,127,148.0,122.0,179,158,214,223,232,248,251,279,275,325,365,375,350,360.0,365,368,360,420,390,Sep,381,381,1,2019-11-28 03:55:21
North Warren and Thorpeness Mere,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,0.0,4,0.0,7,1,0.0,1.0,0,nan,0,5,57,5,48Supplementary visit under the WeBS Core Count SurveyWeBS,90,160Supplementary visit under the WeBS Core Count SurveyWeBS,230,195,(312),280,580.0,(450),350,380,289,400,Dec,374,374,1,2019-11-28 03:55:21
Willington,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,24,nan,nan,nan,nan,0.0,0,47,115,84,298,nan,nan,nan,5,287,(227),382,423,463.0,522,450,362,210,(270),Jan,386,386,1,2019-11-28 03:55:21
Roxton Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6,18,105,107,262,120,195,128,170,246,172,159,235,342.0,217,400,190,335,200,Apr,268,268,1,2019-11-28 03:55:21
Hamford Water,0.0,0.0,5.0,0.0,0.0,3.0,0.0,6.0,(5),(4),5,0,0.0,0.0,0.0,(6),0.0,13,13,22.0,27.0,42,0,39,51,0,30,0,19,0,146,221,273,209,48.0,219,219,327,190,(170),Mar,239,239,1,2019-11-28 03:55:21
Severn Estuary,2.0,0.0,2.0,3.0,0.0,75.0,1.0,3.0,5,3,5,5,9.0,14.0,0.0,27,129.0,72,46,33.0,83.0,0,(53),73,96,(94),101,111,126,126,150,192,152,136Supplementary visit under the WeBS Core Count SurveyWeBS,149.0,161,207,213,239,233,Nov,211,211,1,2019-11-28 03:55:21
Severn Estuary (English counties),2.0,0.0,2.0,3.0,0.0,75.0,1.0,3.0,5,3,5,5,9.0,14.0,0.0,27,129.0,72,46,33.0,67.0,0,(53),73,96,(94),101,111,126,126,150,191,151,130,149.0,160,207,213,239,233,Nov,210,210,1,2019-11-28 03:55:21
Frampton Pools,0.0,0.0,2.0,1.0,1.0,nan,0.0,0.0,0,10,2,6,15.0,17.0,21.0,12,0.0,0,19,6.0,32.0,46,37,(75),79,98,52,113,114,118,108,146,122,133,141.0,132,163,199,182,178Supplementary visit under the WeBS Core Count SurveyWeBS,Jul,171,171,1,2019-11-28 03:55:21
