Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Ouse Washes,"2,864Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","2,842Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",2995,"3,364Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","5,227Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","4,743Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","6,164Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",4743.0,6164,"5,984Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","5,100Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",5984,"5,169Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",5542,5169,"4,830Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","4,610Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",4830,"5,129Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","5,649Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","5,129Supplementary roost count under the WeBS Core Count SurveyWeBS","5,735Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","4,693Supplementary roost count under the WeBS Core Count SurveyWeBS","5,735Supplementary roost count under the WeBS Core Count SurveyWeBS","5,576Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","6,330Supplementary roost count under the WeBS Core Count SurveyWeBS","7,491Supplementary roost count under the WeBS Core Count SurveyWeBS","5,449Supplementary roost count under the WeBS Core Count SurveyWeBS","3,468Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","5,341Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","4,411Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","5,030Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","6,176Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,969Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,961Supplementary visit under the WeBS Core Count SurveyWeBS","1,073Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","2,887Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,445Supplementary roost count under the WeBS Core Count SurveyWeBS","2,997Supplementary roost count under the WeBS Core Count SurveyWeBS","1,085Supplementary roost count under the WeBS Core Count SurveyWeBS",Jan,1897,1897,1,2019-11-27 19:22:52
Nene Washes,1188,1410,600Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,396Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,600,937Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,211,937.0,"1,137Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",270Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,1137,"1,189Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","2,543Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,922Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",2543,1922,1913,"2,585Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",863,2585,"1,100Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",347Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,1100,790Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,1068,"1,649Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",703Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,"1,649Supplementary roost count under the WeBS Core Count SurveyWeBS",703Supplementary roost count under the WeBS Core Count SurveyWeBS,946Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,962Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,946,1364,676,"1,150Supplementary visit under the WeBS Core Count SurveyWeBS",739Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,528Supplementary roost count under the WeBS Core Count SurveyWeBS,326Supplementary visit under the WeBS Core Count SurveyWeBS,347Supplementary visit under the WeBS Core Count SurveyWeBS,215Supplementary visit under the WeBS Core Count SurveyWeBS,Jan,431,431,1,2019-11-27 19:22:52
Severn Estuary,610,300,403,550,245,241,421,455.0,414,167,250,270,340,320,267,240,253,321,555,250,220,216Supplementary visit under the WeBS Core Count SurveyWeBS,272Supplementary visit under the WeBS Core Count SurveyWeBS,310Supplementary visit under the WeBS Core Count SurveyWeBS,345Supplementary visit under the WeBS Core Count SurveyWeBS,230,223Svalbard Barnacle Goose on SolwayWWT data,225,196,180,238,303,(311),197Supplementary visit under the WeBS Core Count SurveyWeBS,270,125,212,131,162,122,Jan,150,150,1,2019-11-27 19:22:52
Severn Estuary (English counties),610,300,403,550,245,241,421,455.0,414,167,245,270,340,320,267,240,253,320,555,250,220,196,(248),251,200,230,196,225,196,180,238,303,(307),193,270,125,212,131,162,122,Jan,150,150,1,2019-11-27 19:22:52
Breydon Water and Berney Marshes,149,89,134,106,136,122,178,98.0,184,691,614,528,288,686,353,331,209,752,476,231,210,132,186,85,240,220,237,231,147Supplementary roost count under the WeBS Core Count SurveyWeBS,87Supplementary roost count under the WeBS Core Count SurveyWeBS,5,131Supplementary visit under the WeBS Core Count SurveyWeBS,38Supplementary visit under the WeBS Core Count SurveyWeBS,37Supplementary visit under the WeBS Core Count SurveyWeBS,70Supplementary visit under the WeBS Core Count SurveyWeBS,36Supplementary visit under the WeBS Core Count SurveyWeBS,120Supplementary visit under the WeBS Core Count SurveyWeBS,23,31Supplementary visit under the WeBS Core Count SurveyWeBS,158Supplementary visit under the WeBS Core Count SurveyWeBS,Feb,74,74,1,2019-11-27 19:22:52
Dungeness and Rye Bay,55,0,105,190,143,173,0,31.0,0,0,110,121,9,0,27,0,0,104,325,306,256,64,24,180,221Supplementary visit under the WeBS Core Count SurveyWeBS,148,140,135,130,127,83,99,100,82Supplementary visit under the WeBS Core Count SurveyWeBS,266Supplementary visit under the WeBS Core Count SurveyWeBS,55Supplementary visit under the WeBS Core Count SurveyWeBS,90Supplementary visit under the WeBS Core Count SurveyWeBS,50Supplementary roost count under the WeBS Core Count SurveyWeBS,74Supplementary visit under the WeBS Core Count SurveyWeBS,35Supplementary visit under the WeBS Core Count SurveyWeBS,Jan,61,61,1,2019-11-27 19:22:52
St Benet's Levels,nan,nan,nan,nan,nan,nan,nan,nan,nan,23,nan,266,182,294,173,179,404,391,286,161,126,209,(206),147,287,280,nan,nan,nan,nan,37Supplementary visit under the WeBS Core Count SurveyWeBS,5,nan,0,191,28,nan,nan,nan,nan,nan,28,28,1,2019-11-27 19:22:52
Arun Valley,118,64,61,75,106,64,128,239.0,287,151,129,138,114,110,81,59,0,133,68,98,52,78,(71),59,25,44,43,49,36,37,22,(48),11,31,(39),(19),30,(8),(31),8,Jan,23,23,1,2019-11-27 19:22:52
Dee Estuary (England and Wales),(0),0,6,0,7,(4),10,2.0,3,9,8,35,66,77,77,19,34,72,107,79,48,56,118,78,70,92,101,63,48,82,56,55,92,35,30,7,44,22,28,7,Jan,22,22,1,2019-11-27 19:22:52
Dee Estuary (Welsh counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,30,10,13,0,47,0,31,10,55,38,78,22,80,60,63,13,55,40,55,92,35,28,7,44,22,19,5,Jan,19,19,1,2019-11-27 19:22:52
