Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[57, 1, 'Mar', 0, None, None]","[27, 1, 'Apr', 0, None, None]","[241, 1, 'Jul', 0, None, None]","[82, 1, 'Jul', 0, None, None]","[69, 1, 'Sep', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[2, 2, 'Sep', 0, None, None]","[170, 1, 'Jan', 0, None, None]","[70, 1, 'Jan', 0, None, None]","[1, 2, 'Dec', 0, None, None]","[12, 1, 'Dec', 0, None, None]","[3, 1, 'Feb', 0, None, None]","[1239, 1, 'Nov', 0, None, None]","[220, 2, 'Sep', 0, None, None]","[170, 1, 'Sep', 0, None, None]","[654, 1, 'Nov', 0, None, None]","[719, 1, 'Jul', 0, None, None]","[840, 1, 'Oct', 0, None, None]","[1486, 1, 'Sep', 0, None, None]","[1354, 1, 'Sep', 0, None, None]","[1062, 2, 'Apr', 0, None, None]","[650, 1, 'Feb', 0, None, None]","[1374, 1, 'Sep', 0, None, None]","[2793, 1, 'Sep', 0, None, None]","[5738, 2, 'Mar', 0, None, None]","[7119, 1, 'Sep', 0, None, None]","[7449, 1, 'Aug', 0, None, None]","[4433, 1, 'Sep', 0, None, None]","[4303, 1, 'Sep', 0, None, None]","[9163, 1, 'Nov', 0, None, None]","[11451, 1, 'Oct', 0, None, None]","[7635, 1, 'Oct', 0, None, None]","[5546, 1, 'Sep', 0, None, None]","[8205, 1, 'Oct', 0, None, None]","[8090, 1, 'Aug', 0, None, None]","[6961, 1, 'Aug', 0, None, None]","[10839, 1, 'Sep', 0, None, None]","[9925, 1, 'Nov', 0, None, None]","[9843, 1, 'Sep', 0, None, None]","[7044, 1, 'Sep', 0, None, None]","[9261, 1, 'Sep', 0, None, None]","[7540, 2, 'Sep', 0, None, None]","[6645, 1, 'Sep', 0, None, None]","[8439, 1, 'Aug', 0, None, None]","[9580, 1, 'Oct', 0, None, None]","[8841, 1, 'Sep', 0, None, None]",2020-01-19 18:06:22
Dee Estuary (England and Wales),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[666, 1, 'Nov', 0, None, None]","[751, 2, 'Nov', 0, None, None]","[1471, 1, 'Feb', 0, None, None]","[1202, 1, 'Aug', 0, None, None]","[1300, 1, 'Nov', 0, None, None]","[1401, 1, 'Jan', 0, None, None]","[797, 1, 'Feb', 0, None, None]","[22, 2, 'Jan', 0, None, None]","[722, 2, 'Jan', 0, None, None]","[1200, 1, 'Jan', 0, None, None]","[530, 1, 'Mar', 0, None, None]","[1290, 1, 'Jan', 0, None, None]","[500, 1, 'Feb', 0, None, None]","[1285, 1, 'Dec', 0, None, None]","[371, 1, 'Feb', 0, None, None]","[430, 1, 'Feb', 0, None, None]","[773, 1, 'Jan', 0, None, None]","[400, 1, 'Feb', 0, None, None]","[552, 1, 'Feb', 0, None, None]","[1600, 1, 'Feb', 0, None, None]","[1233, 1, 'Nov', 0, None, None]","[1617, 1, 'Dec', 0, None, None]","[1901, 1, 'Oct', 0, None, None]","[2254, 1, 'Oct', 0, None, None]","[1425, 1, 'Nov', 0, None, None]","[1862, 1, 'Dec', 0, None, None]","[2203, 1, 'Mar', 0, None, None]","[1642, 1, 'Nov', 0, None, None]","[1602, 1, 'Nov', 0, None, None]","[2543, 1, 'Nov', 0, None, None]","[2366, 1, 'Feb', 0, None, None]","[4012, 1, 'Nov', 0, None, None]","[4231, 1, 'Oct', 0, None, None]","[4493, 1, 'Nov', 0, None, None]","[6452, 1, 'Sep', 0, None, None]","[5379, 1, 'Oct', 0, None, None]","[3713, 1, 'Sep', 0, None, None]","[5278, 1, 'Nov', 0, None, None]","[3923, 1, 'Oct', 0, None, None]","[5763, 1, 'Oct', 0, None, None]","[6188, 1, 'Dec', 0, None, None]","[5218, 1, 'Nov', 0, None, None]","[5633, 1, 'Dec', 0, None, None]","[6484, 1, 'Nov', 0, None, None]","[6024, 1, 'Nov', 0, None, None]","[6159, 1, 'Oct', 0, None, None]","[5626, 1, 'Dec', 0, None, None]","[5475, 1, 'Oct', 0, None, None]",2020-01-19 18:06:22
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Jul', 0, None, None]","[3, 1, 'Aug', 0, None, None]","[0, 2, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[10, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[59, 1, 'Oct', 0, None, None]","[116, 1, 'Nov', 0, None, None]","[196, 1, 'Nov', 0, None, None]","[19, 1, 'Aug', 0, None, None]","[638, 2, 'Aug', 0, None, None]","[227, 1, 'Oct', 0, None, None]","[327, 1, 'Oct', 0, None, None]","[989, 1, 'Aug', 0, None, None]","[287, 2, 'Jul', 0, None, None]","[783, 1, 'Aug', 0, None, None]","[1129, 1, 'Nov', 0, None, None]","[717, 1, 'Aug', 0, None, None]","[1172, 1, 'Nov', 0, None, None]","[1052, 1, 'Jan', 0, None, None]","[1999, 1, 'Nov', 0, None, None]","[1952, 1, 'Oct', 0, None, None]","[2888, 1, 'Oct', 0, None, None]","[3274, 1, 'Oct', 0, None, None]","[3800, 1, 'Oct', 0, None, None]","[2254, 2, 'Sep', 0, None, None]","[3757, 1, 'Oct', 0, None, None]","[5221, 1, 'Oct', 0, None, None]","[4893, 1, 'Sep', 0, None, None]","[8081, 1, 'Sep', 0, None, None]","[4709, 1, 'Sep', 0, None, None]","[5783, 1, 'Aug', 0, None, None]","[2021, 1, 'Sep', 0, None, None]","[3288, 1, 'Sep', 0, None, None]","[12740, 1, 'Jan', 0, None, None]","[5806, 1, 'Feb', 0, None, None]","[5842, 1, 'Nov', 0, None, None]","[4224, 1, 'Aug', 0, None, None]","[6505, 1, 'Sep', 0, None, None]","[7045, 1, 'Oct', 0, None, None]",2020-01-19 18:06:22
Ribble Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[332, 2, 'Aug', 0, None, None]","[703, 1, 'Aug', 0, None, None]","[1330, 1, 'Oct', 0, None, None]","[1200, 1, 'Sep', 0, None, None]","[1400, 1, 'Sep', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[3, 2, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[358, 1, 'Dec', 0, None, None]","[1020, 1, 'Jan', 0, None, None]","[868, 1, 'Feb', 0, None, None]","[2800, 1, 'Aug', 0, None, None]","[2159, 1, 'Sep', 0, None, None]","[2026, 1, 'Aug', 0, None, None]","[2110, 1, 'Dec', 0, None, None]","[3403, 1, 'Aug', 0, None, None]","[3607, 2, 'Aug', 0, None, None]","[3714, 2, 'Aug', 0, None, None]","[2500, 1, 'Sep', 0, None, None]","[1261, 1, 'Sep', 0, None, None]","[3618, 1, 'Sep', 0, None, None]","[1586, 2, 'Aug', 0, None, None]","[1888, 1, 'Apr', 0, None, None]","[3859, 1, 'Aug', 0, None, None]","[3812, 1, 'Aug', 0, None, None]","[3396, 1, 'Aug', 0, None, None]","[3681, 1, 'Aug', 0, None, None]","[3101, 1, 'Aug', 0, None, None]","[2596, 1, 'Dec', 0, None, None]","[4024, 1, 'Sep', 0, None, None]","[1733, 1, 'Mar', 0, None, None]","[5583, 1, 'Sep', 0, None, None]","[2175, 1, 'Apr', 0, None, None]","[2936, 1, 'Sep', 0, None, None]","[2921, 1, 'Sep', 0, None, None]","[5095, 1, 'Dec', 0, None, None]","[3913, 1, 'Feb', 0, None, None]","[3088, 1, 'Mar', 0, None, None]","[5714, 1, 'Nov', 0, None, None]","[1585, 2, 'Feb', 0, None, None]","[5905, 1, 'Dec', 0, None, None]","[3834, 1, 'Dec', 0, None, None]","[5213, 1, 'Jan', 0, None, None]","[3184, 1, 'Jan', 0, None, None]","[6192, 1, 'Dec', 0, None, None]","[3666, 1, 'Feb', 0, None, None]","[3698, 1, 'Dec', 0, None, None]",2020-01-19 18:06:22
Dee Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[666, 1, 'Nov', 0, None, None]","[751, 2, 'Nov', 0, None, None]","[1471, 1, 'Feb', 0, None, None]","[1202, 1, 'Aug', 0, None, None]","[1300, 1, 'Nov', 0, None, None]","[1401, 1, 'Jan', 0, None, None]","[797, 1, 'Feb', 0, None, None]","[22, 2, 'Jan', 0, None, None]","[722, 2, 'Jan', 0, None, None]","[1200, 1, 'Jan', 0, None, None]","[530, 1, 'Mar', 0, None, None]","[1290, 1, 'Jan', 0, None, None]","[500, 1, 'Feb', 0, None, None]","[1285, 1, 'Dec', 0, None, None]","[371, 1, 'Feb', 0, None, None]","[430, 1, 'Feb', 0, None, None]","[773, 1, 'Jan', 0, None, None]","[400, 1, 'Feb', 0, None, None]","[552, 1, 'Feb', 0, None, None]","[1600, 1, 'Feb', 0, None, None]","[1233, 1, 'Nov', 0, None, None]","[1617, 1, 'Dec', 0, None, None]","[1901, 1, 'Oct', 0, None, None]","[370, 1, 'Mar', 0, None, None]","[780, 1, 'Feb', 0, None, None]","[1857, 1, 'Dec', 0, None, None]","[1116, 1, 'Jan', 0, None, None]","[1040, 1, 'May', 0, None, None]","[1400, 2, 'Oct', 0, None, None]","[1073, 1, 'Nov', 0, None, None]","[853, 1, 'Feb', 0, None, None]","[1927, 1, 'Dec', 0, None, None]","[3168, 1, 'Nov', 0, None, None]","[3629, 1, 'Nov', 0, None, None]","[3820, 1, 'Nov', 0, None, None]","[2702, 1, 'Dec', 0, None, None]","[624, 1, 'Sep', 0, None, None]","[2361, 1, 'Nov', 0, None, None]","[1937, 1, 'Feb', 0, None, None]","[1294, 1, 'Dec', 0, None, None]","[2118, 1, 'Dec', 0, None, None]","[1414, 1, 'Nov', 0, None, None]","[1630, 1, 'Dec', 0, None, None]","[2398, 1, 'Sep', 0, None, None]","[3059, 1, 'Nov', 0, None, None]","[3218, 1, 'Oct', 0, None, None]","[4314, 1, 'Dec', 0, None, None]","[4210, 1, 'Oct', 0, None, None]",2020-01-19 18:06:22
Blackwater Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10, 1, 'Sep', 0, None, None]",nan,"[8, 1, 'Apr', 0, None, None]","[24, 1, 'Apr', 0, None, None]","[50, 1, 'Apr', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[84, 1, 'Mar', 0, None, None]","[45, 2, 'Apr', 0, None, None]","[89, 1, 'Jan', 0, None, None]","[47, 1, 'Mar', 0, None, None]","[38, 1, 'Apr', 0, None, None]","[89, 1, 'Dec', 0, None, None]","[73, 2, 'Mar', 0, None, None]","[126, 1, 'Mar', 0, None, None]","[367, 2, 'Mar', 0, None, None]","[154, 1, 'Oct', 0, None, None]","[273, 1, 'Mar', 0, None, None]","[658, 2, 'Apr', 0, None, None]","[392, 1, 'Mar', 0, None, None]","[1037, 2, 'Mar', 0, None, None]","[1932, 2, 'Apr', 0, None, None]","[1132, 1, 'Mar', 0, None, None]","[1167, 1, 'Mar', 0, None, None]","[630, 2, 'Mar', 0, None, None]","[956, 1, 'Mar', 0, None, None]","[920, 1, 'Mar', 0, None, None]","[1088, 2, 'Mar', 0, None, None]","[608, 2, 'Mar', 0, None, None]","[1078, 1, 'Apr', 0, None, None]","[697, 2, 'Mar', 0, None, None]","[2094, 2, 'Feb', 0, None, None]","[1122, 2, 'Aug', 0, None, None]","[2939, 2, 'Mar', 0, None, None]","[1804, 1, 'Apr', 0, None, None]","[2356, 1, 'Mar', 0, None, None]","[1243, 1, 'Oct', 0, None, None]","[2201, 1, 'Mar', 0, None, None]","[2387, 1, 'Mar', 0, None, None]","[1572, 1, 'Mar', 0, None, None]","[1712, 1, 'Mar', 0, None, None]","[2124, 1, 'Apr', 0, None, None]","[3216, 1, 'Mar', 0, None, None]","[2528, 1, 'Mar', 0, None, None]","[3994, 1, 'Mar', 0, None, None]","[4093, 1, 'Mar', 0, None, None]","[2227, 1, 'Aug', 0, None, None]","[3741, 1, 'Mar', 0, None, None]","[2199, 1, 'Feb', 0, None, None]",2020-01-19 18:06:22
Dee Estuary (Welsh counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2250, 1, 'Oct', 0, None, None]","[1400, 1, 'Nov', 0, None, None]","[1100, 1, 'Oct', 0, None, None]","[1300, 1, 'Feb', 0, None, None]","[1600, 1, 'Feb', 0, None, None]","[1461, 1, 'Nov', 0, None, None]","[1470, 1, 'Nov', 0, None, None]","[2071, 1, 'Nov', 0, None, None]","[3906, 1, 'Nov', 0, None, None]","[3958, 1, 'Oct', 0, None, None]","[4042, 1, 'Feb', 0, None, None]","[5226, 1, 'Sep', 0, None, None]","[5071, 1, 'Oct', 0, None, None]","[3217, 1, 'Oct', 0, None, None]","[2917, 1, 'Nov', 0, None, None]","[3607, 1, 'Sep', 0, None, None]","[5618, 1, 'Oct', 0, None, None]","[5011, 1, 'Nov', 0, None, None]","[4414, 1, 'Oct', 0, None, None]","[4003, 1, 'Dec', 0, None, None]","[5072, 1, 'Nov', 0, None, None]","[3195, 1, 'Oct', 0, None, None]","[2941, 1, 'Oct', 0, None, None]","[3110, 1, 'Nov', 0, None, None]","[1820, 1, 'Nov', 0, None, None]",2020-01-19 18:06:22
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Sep', 0, None, None]","[9, 1, 'Dec', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[3, 1, 'Nov', 0, None, None]","[1, 1, 'Apr', 0, None, None]","[4, 1, 'Feb', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[7, 1, 'Feb', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[1, 2, 'Feb', 0, None, None]","[1, 2, 'Mar', 0, None, None]","[3, 1, 'Mar', 0, None, None]","[1, 2, 'Aug', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[423, 2, 'Feb', 0, None, None]","[24, 1, 'Sep', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[29, 1, 'Oct', 0, None, None]","[33, 1, 'Mar', 0, None, None]","[104, 1, 'Sep', 0, None, None]","[80, 1, 'Dec', 0, None, None]","[110, 1, 'Oct', 0, None, None]","[264, 1, 'Sep', 0, None, None]","[549, 1, 'Oct', 0, None, None]","[979, 2, 'Oct', 0, None, None]","[1620, 1, 'Nov', 0, None, None]","[1685, 1, 'Nov', 0, None, None]","[824, 1, 'Aug', 0, None, None]","[984, 1, 'Oct', 0, None, None]","[2390, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2108, 1, 'Oct', 0, None, None]","[2435, 1, 'Sep', 0, None, None]","[3296, 1, 'Sep', 0, None, None]","[5323, 1, 'Sep', 0, None, None]","[4554, 1, 'Oct', 0, None, None]","[3828, 1, 'Sep', 0, None, None]","[3981, 1, 'Oct', 0, None, None]","[4069, 1, 'Oct', 0, None, None]","[3410, 1, 'Aug', 0, None, None]","[3330, 1, 'Oct', 0, None, None]","[3556, 2, 'Nov', 0, None, None]","[2699, 1, 'Sep', 0, None, None]","[2560, 1, 'Oct', 0, None, None]","[2610, 1, 'Aug', 0, None, None]","[4579, 1, 'Oct', 0, None, None]",2020-01-19 18:06:22
Mersey Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[1, 2, 'Sep', 0, None, None]","[15, 1, 'Aug', 0, None, None]","[40, 1, 'Apr', 0, None, None]","[11, 1, 'Aug', 0, None, None]","[26, 1, 'Jul', 0, None, None]","[8, 1, 'Jul', 0, None, None]","[30, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[23, 1, 'Apr', 0, None, None]","[6, 1, 'Aug', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[10, 1, 'Sep', 0, None, None]","[25, 1, 'Nov', 0, None, None]","[150, 1, 'Jan', 0, None, None]","[39, 1, 'Oct', 0, None, None]","[42, 1, 'Feb', 0, None, None]","[11, 1, 'Nov', 0, None, None]","[4, 1, 'Aug', 0, None, None]","[75, 1, 'Sep', 0, None, None]","[247, 1, 'Mar', 0, None, None]","[278, 1, 'Jan', 0, None, None]","[120, 2, 'Feb', 0, None, None]","[21, 1, 'Dec', 0, None, None]","[580, 1, 'Jan', 0, None, None]","[600, 1, 'Sep', 0, None, None]","[1703, 1, 'Feb', 0, None, None]","[2650, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2054, 2, 'Oct', 0, None, None]","[2370, 1, 'Aug', 0, None, None]","[2850, 1, 'Sep', 0, None, None]","[1247, 1, 'Apr', 0, None, None]","[1985, 1, 'Aug', 0, None, None]","[2407, 1, 'Aug', 0, None, None]","[2950, 1, 'Sep', 0, None, None]","[2510, 1, 'Aug', 0, None, None]","[420, 1, 'Jan', 0, None, None]","[339, 2, 'Jul', 0, None, None]","[54, 1, 'Jul', 0, None, None]","[270, 1, 'Jul', 0, None, None]","[1760, 2, 'Mar', 0, None, None]","[3304, 1, 'Mar', 0, None, None]","[2705, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[2896, 1, 'Aug', 0, None, None]","[2777, 1, 'Apr', 0, None, None]","[3105, 1, 'Apr', 0, None, None]","[3932, 1, 'Apr', 0, None, None]","[2473, 1, 'Jul', 0, None, None]",2020-01-19 18:06:22
Ouse Washes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1407, 1, 'Apr', 0, None, None]","[2068, 1, 'Mar', 0, None, None]","[509, 1, 'Mar', 0, None, None]","[1721, 2, 'Apr', 0, None, None]","[994, 1, 'Mar', 0, None, None]","[1715, 1, 'Mar', 0, None, None]","[2130, 1, 'Feb', 0, None, None]","[684, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3474, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3468, 1, 'Mar', 0, None, None]","[3137, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3424, 1, 'Mar', 0, None, None]","[4154, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1790, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[761, 1, 'Apr', 0, None, None]","[2067, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[809, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3820, 1, 'Feb', 0, None, None]","[4271, 1, 'Mar', 0, None, None]","[1634, 1, 'Mar', 0, None, None]","[2924, 1, 'Mar', 0, None, None]","[3530, 1, 'Feb', 0, None, None]","[5308, 1, 'Feb', 0, None, None]","[1989, 1, 'Apr', 0, None, None]","[924, 1, 'Dec', 0, None, None]",2020-01-19 18:06:22
