Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Strangford Lough,13196,"14,061Standard visit under the WeBS Low Tide Count SurveyWeBS",16162,"19,583Supplementary visit under the WeBS Core Count SurveyWeBS","17,520Supplementary visit under the WeBS Core Count SurveyWeBS","21,500Supplementary visit under the WeBS Core Count SurveyWeBS","26,250All-Ireland Light-bellied Brent Goose CensusKendrew Colhoun in litt","21,885All-Ireland Light-bellied Brent Goose CensusKendrew Colhoun in litt",24658,30457,20702,21375,33750,33037,28494,26225,15978,32384,21980,18206,Oct,22955,22955,1,2019-11-24 05:00:53
Thames Estuary,14100,7346,7371,12158,"(8,908)",6741,9456,12567,8104,22047,11684,12542,23057,16759,16306,15404,19224,"(17,152)","(13,638)","(11,857)",Oct,17314,17314,1,2019-11-24 05:00:53
The Wash,17736,28811,19518,17926,20318,18735,21969,24490,20870,21101,13993,15439,16104,15765,14729,15826,20731,15720,10438,10722,Dec,14687,14687,1,2019-11-24 05:00:53
Chichester Harbour,8142,"(9,267)",7420,7470,7358,8290,7436,9018,9605,12171,8758,8569,11434,10309,10868,11206,16446,14260,13058,16354,Feb,14265,14265,1,2019-11-24 05:00:53
Blackwater Estuary,5160,9838,"(9,860)","(7,195)",6100,4892,7178,5946,7293,8278,6692,7567,5410,7657,7109,6951,10068,"(9,927)","(10,440)",6966,Feb,8870,8870,1,2019-11-24 05:00:53
Hamford Water,2320,3879,4047,4333,3567,3336,5890,5952,4089,4157,2804,"(5,572)","(5,935)",4754,6527,7786,6922,6531,5696,5579,Jan,6503,6503,1,2019-11-24 05:00:53
North Norfolk Coast,"10,100Supplementary roost count under the WeBS Core Count SurveyWeBS","12,969Supplementary roost count under the WeBS Core Count SurveyWeBS",10201,8033,9180,"6,125Supplementary roost count under the WeBS Core Count SurveyWeBS",6607,8832,7091,7614,6614,5831,5673,6421,5465,5585,6413,"6,847Co-ordinated Dark-bellied Brent Goose Roost Survey North Norfolk CoastNeil Lawton","7,788Co-ordinated Dark-bellied Brent Goose Roost Survey North Norfolk CoastNeil Lawton",5756,Mar,6478,6478,1,2019-11-24 05:00:53
Colne Estuary,"(2,685)","(3,614)",3310,2573,409,1959,2538,2123,1296,2536,2076,2839,1135,4236,"(2,536)","(1,512)","(6,234)","(3,304)","(1,060)","(2,999)",Jan,3022,3022,1,2019-11-24 05:00:53
Langstone Harbour,"6,230Standard visit under the WeBS Low Tide Count SurveyWeBS",6929,5081,4817,4687,5050,5073,5499,4907,"5,358Supplementary visit under the WeBS Core Count SurveyWeBS",4165,"4,930Standard visit under the WeBS Low Tide Count SurveyWeBS",3947,5690,5214,5508,5202,"(5,563)",5552,4790,Feb,5323,5323,1,2019-11-24 05:00:53
Crouch-Roach Estuary,2453,"(5,488)",4446,3473,3084,2914,"(3,848)",3520,"(4,312)",4232,"2,813Supplementary visit under the WeBS Core Count SurveyWeBS",2984,"2,627Standard visit under the WeBS Low Tide Count SurveyWeBS","(3,852)",2864,4265,6946,4119,5758,3409,Jan,4899,4899,1,2019-11-24 05:00:53
Dengie Flats,2601,"(1,551)",2456,1798,1160,1507,1538,2445,2901,"(3,560)",2364,3871,2499,3006,"(3,045)",4400,"(5,431)",4175,"(5,025)","(4,099)",Jan,4758,4758,1,2019-11-24 05:00:53
Lindisfarne,"(2,840)","(1,820)","(3,654)","(4,877)","(3,150)",3716,"2,505Standard visit under the WeBS Low Tide Count SurveyWeBS",3695,"(3,350)","(3,841)",3996,"(4,960)",5637,4180,4166,3583,"(2,815)",3524,"(2,681)","(4,081)",Oct,3729,3729,1,2019-11-24 05:00:53
Humber Estuary,2540,2404,"(1,651)",1432,"(2,351)",1974,"(2,667)","(2,636)",4588,"(2,430)",2801,3275,2524,3678,2888,2894,3960,4090,3750,3058,Nov,3550,3550,1,2019-11-24 05:00:53
Portsmouth Harbour,2169,"(2,661)","(1,827)","(1,682)",2185,2293,1725,2926,3162,"(2,500)","2,538Standard visit under the WeBS Low Tide Count SurveyWeBS","(2,030)",2054,"(2,819)","(2,106)","(3,062)","2,953Standard visit under the WeBS Low Tide Count SurveyWeBS","(2,304)","(1,462)","(2,142)",Mar,3008,3008,1,2019-11-24 05:00:53
Fleet and Wey,2290,1405,1815,2188,398,1337,2625,1436,1555,1814,2205,"2,190Standard visit under the WeBS Low Tide Count SurveyWeBS",2426,1999,1582,1290,2074,3586,2878,5067,Nov,2979,2979,1,2019-11-24 05:00:53
Lough Foyle,2766,1934,3469,1841,"1,563Supplementary visit under the WeBS Core Count SurveyWeBS","3,277Supplementary visit under the WeBS Core Count SurveyWeBS","1,603All-Ireland Light-bellied Brent Goose CensusKendrew Colhoun in litt",3968,2177,3251,2550,3862,2652,2927,3722,2712,2500,3399,1465,3140,Oct,2643,2643,1,2019-11-24 05:00:53
Swale Estuary,2215,1800,2149,"1,678Standard visit under the WeBS Low Tide Count SurveyWeBS",1278,1210,2111,1861,2310,1857,2115,"(1,783)",1448,4126,2497,2288,1418,3326,3104,2864,Nov,2600,2600,1,2019-11-24 05:00:53
Pagham Harbour,1260,"2,438Standard visit under the WeBS Low Tide Count SurveyWeBS",2520,3180,2252,1210,2654,2822,2744,2341,2523,3015,2453,2500,"(2,351)","2,325Standard visit under the WeBS Low Tide Count SurveyWeBS",2100,3701,2306,2506,Dec,2588,2588,1,2019-11-24 05:00:53
Stour Estuary,2367,1769,"1,716Standard visit under the WeBS Low Tide Count SurveyWeBS",1412,1753,1914,1782,1617,2063,2038,1726,1891,1875,"2,162Standard visit under the WeBS Low Tide Count SurveyWeBS",3176,"2,275Standard visit under the WeBS Low Tide Count SurveyWeBS",2707,2462,1933,2788,Nov,2433,2433,1,2019-11-24 05:00:53
Southampton Water,918Standard visit under the WeBS Low Tide Count SurveyWeBS,"1,656Standard visit under the WeBS Low Tide Count SurveyWeBS",1241,1455,1327,1274,1386,993,1157,1712,877,"1,055Supplementary visit under the WeBS Core Count SurveyWeBS",1649,2497,1257,2395,3355,1893,1592,2140,Feb,2275,2275,1,2019-11-24 05:00:53
North West Solent,2659,"(2,114)",1616,2350,1500,1790,"(2,208)",2377,1808,2101,1885,2050,1800,2197,2110,2660,3120,1756,1165,1638,Jan,2068,2068,1,2019-11-24 05:00:53
Exe Estuary,1647,1816,1346,1183,1714,1368,1645,1531,1374,1820,1614,1317,1219,1586,1400,2048,1767,2163,2129,"(1,460)",Dec,2027,2027,1,2019-11-24 05:00:53
Newtown Estuary,"1,411Supplementary visit under the WeBS Low Tide Count SurveyWeBS","(1,727)",1800,1660,1780,"(1,236)","(1,444)",2034,1662,2115,1469,1382,1707,1423,1443,1855,2144,1332,1626,"(1,538)",Jan,1739,1739,1,2019-11-24 05:00:53
Medway Estuary,"(2,551)","(1,771)",1029,1678,1167,801,"1,504Standard visit under the WeBS Low Tide Count SurveyWeBS","(1,515)",1076,1367,929,1509,1602,2016,(579),"1,050Standard visit under the WeBS Low Tide Count SurveyWeBS",1254,2759,"(1,273)",1830,Feb,1723,1723,1,2019-11-24 05:00:53
Poole Harbour,1297,1354,1708,600,740,868,772,1160,1146,721,812,"1,168Standard visit under the WeBS Low Tide Count SurveyWeBS","1,012Standard visit under the WeBS Low Tide Count SurveyWeBS","1,438Standard visit under the WeBS Low Tide Count SurveyWeBS","1,350Standard visit under the WeBS Low Tide Count SurveyWeBS","1,159Standard visit under the WeBS Low Tide Count SurveyWeBS",1640,1261,1499,"2,442Standard visit under the WeBS Low Tide Count SurveyWeBS",Jan,1600,1600,1,2019-11-24 05:00:53
Beaulieu Estuary,1682,1458,1334,2015,1512,835,1498,2173,3439,774,690,798,746,843,850,1406,1959,1305,"(2,179)",1003,Feb,1570,1570,1,2019-11-24 05:00:53
