Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Abberton Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,"[6, 1, 'Nov', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[3, 1, 'Sep', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1, 1, 'Jul', 0, None, None]",nan,"[2, 1, 'Aug', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[8600, 1, 'Oct', 0, None, None]","[10055, 1, 'Oct', 0, None, None]","[10000, 1, 'Sep', 0, None, None]","[9450, 1, 'Nov', 0, None, None]","[8703, 1, 'Oct', 0, None, None]","[10274, 1, 'Oct', 0, None, None]","[12510, 1, 'Nov', 0, None, None]","[16790, 1, 'Oct', 0, None, None]","[9252, 1, 'Sep', 0, None, None]","[7817, 1, 'Sep', 0, None, None]","[11472, 1, 'Oct', 0, None, None]","[13768, 1, 'Nov', 0, None, None]","[18632, 1, 'Sep', 0, None, None]","[11319, 1, 'Sep', 0, None, None]","[6897, 1, 'Sep', 0, None, None]","[4784, 1, 'Sep', 0, None, None]","[6493, 1, 'Nov', 0, None, None]","[9673, 1, 'Sep', 0, None, None]","[11645, 1, 'Sep', 0, None, None]","[7610, 1, 'Sep', 0, None, None]","[6885, 1, 'Sep', 0, None, None]","[6166, 1, 'Aug', 0, None, None]","[9697, 1, 'Dec', 0, None, None]","[10965, 1, 'Oct', 0, None, None]","[2088, 2, 'Aug', 0, None, None]","[10046, 1, 'Nov', 0, None, None]","[9270, 1, 'Nov', 0, None, None]","[12188, 1, 'Sep', 0, None, None]","[9911, 1, 'Oct', 0, None, None]","[13149, 1, 'Oct', 0, None, None]","[6083, 1, 'Sep', 0, None, None]","[7975, 1, 'Sep', 0, None, None]","[7168, 1, 'Sep', 0, None, None]","[9748, 1, 'Oct', 0, None, None]","[4310, 1, 'Aug', 0, None, None]","[6044, 1, 'Aug', 0, None, None]",2019-12-05 18:23:41
Loch Leven,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2564, 1, 'Oct', 0, None, None]","[1905, 1, 'Sep', 0, None, None]","[1361, 1, 'Sep', 0, None, None]","[1370, 1, 'Oct', 0, None, None]","[1150, 1, 'Sep', 0, None, None]","[1150, 1, 'Sep', 0, None, None]","[2270, 1, 'Oct', 0, None, None]","[1630, 1, 'Oct', 0, None, None]","[1515, 1, 'Oct', 0, None, None]","[1250, 1, 'Sep', 0, None, None]","[430, 1, 'Sep', 0, None, None]","[995, 1, 'Sep', 0, None, None]","[802, 1, 'Oct', 0, None, None]","[1020, 1, 'Oct', 0, None, None]","[1546, 1, 'Oct', 0, None, None]","[1551, 1, 'Sep', 0, None, None]","[2285, 1, 'Oct', 0, None, None]","[2340, 1, 'Oct', 0, None, None]","[2100, 1, 'Sep', 0, None, None]","[1818, 1, 'Sep', 0, None, None]","[3205, 1, 'Oct', 0, None, None]","[2650, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2375, 1, 'Oct', 0, None, None]","[1610, 1, 'Sep', 0, None, None]","[2820, 1, 'Sep', 0, None, None]","[1317, 1, 'Sep', 0, None, None]","[3350, 1, 'Sep', 0, None, None]","[3560, 1, 'Oct', 0, None, None]","[4652, 1, 'Nov', 0, None, None]","[3689, 2, 'Oct', 0, None, None]","[2611, 1, 'Sep', 0, None, None]","[5550, 1, 'Oct', 0, None, None]","[3500, 1, 'Oct', 0, None, None]","[6705, 1, 'Nov', 0, None, None]","[4130, 1, 'Sep', 0, None, None]","[4875, 1, 'Oct', 0, None, None]",2019-12-05 18:23:41
Loughs Neagh and Beg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2213, 1, 'Nov', 0, None, None]","[5645, 1, 'Oct', 0, None, None]","[4972, 1, 'Sep', 0, None, None]","[4463, 1, 'Sep', 0, None, None]","[7607, 1, 'Oct', 0, None, None]","[6682, 1, 'Sep', 0, None, None]","[6889, 1, 'Oct', 0, None, None]","[8691, 1, 'Dec', 0, None, None]","[3228, 1, 'Oct', 0, None, None]","[7260, 1, 'Sep', 0, None, None]","[8788, 1, 'Oct', 0, None, None]","[8384, 1, 'Sep', 0, None, None]","[6044, 1, 'Nov', 0, None, None]","[5730, 1, 'Dec', 0, None, None]","[7691, 1, 'Nov', 0, None, None]","[6645, 1, 'Oct', 0, None, None]","[2555, 1, 'Jan', 0, None, None]","[4344, 1, 'Oct', 0, None, None]","[4124, 1, 'Sep', 0, None, None]","[1890, 1, 'Nov', 0, None, None]","[2506, 1, 'Sep', 0, None, None]","[2371, 1, 'Sep', 0, None, None]","[1813, 1, 'Oct', 0, None, None]","[1236, 1, 'Jan', 0, None, None]","[1546, 1, 'Sep', 0, None, None]","[2281, 1, 'Sep', 0, None, None]","[3544, 1, 'Sep', 0, None, None]","[3395, 1, 'Sep', 0, None, None]","[3243, 1, 'Nov', 0, None, None]","[4083, 1, 'Oct', 0, None, None]","[3356, 1, 'Oct', 0, None, None]","[2719, 1, 'Sep', 0, None, None]","[4015, 1, 'Sep', 0, None, None]",2019-12-05 18:23:41
Cotswold Water Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Dec', 0, None, None]",nan,nan,"[2, 1, 'Nov', 0, None, None]","[2, 1, 'Oct', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[11, 1, 'Nov', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[15, 1, 'Dec', 0, None, None]","[20, 1, 'Jan', 0, None, None]","[9, 1, 'Feb', 0, None, None]","[4995, 1, 'Dec', 0, None, None]","[5791, 1, 'Dec', 0, None, None]","[5393, 1, 'Nov', 0, None, None]","[4664, 1, 'Dec', 0, None, None]","[4275, 1, 'Dec', 0, None, None]","[4834, 1, 'Dec', 0, None, None]","[4544, 1, 'Nov', 0, None, None]","[4499, 1, 'Nov', 0, None, None]","[5988, 1, 'Dec', 0, None, None]","[4900, 1, 'Dec', 0, None, None]","[4665, 1, 'Dec', 0, None, None]","[5057, 1, 'Nov', 0, None, None]","[6226, 1, 'Nov', 0, None, None]","[6672, 1, 'Jan', 0, None, None]","[5378, 1, 'Jan', 0, None, None]","[5654, 1, 'Nov', 0, None, None]","[7326, 1, 'Dec', 0, None, None]","[6922, 1, 'Nov', 0, None, None]","[5973, 1, 'Nov', 0, None, None]","[6549, 1, 'Jan', 0, None, None]","[4422, 1, 'Jan', 0, None, None]","[6338, 1, 'Dec', 0, None, None]","[5880, 1, 'Dec', 0, None, None]","[6396, 1, 'Dec', 0, None, None]","[5725, 1, 'Nov', 0, None, None]","[6728, 1, 'Dec', 0, None, None]","[7274, 1, 'Dec', 0, None, None]","[7378, 1, 'Nov', 0, None, None]","[6470, 1, 'Nov', 0, None, None]","[5969, 1, 'Feb', 0, None, None]","[3677, 1, 'Oct', 0, None, None]","[3502, 1, 'Sep', 0, None, None]","[3747, 1, 'Feb', 0, None, None]","[3645, 1, 'Dec', 0, None, None]","[3088, 1, 'Nov', 0, None, None]","[1942, 1, 'Feb', 0, None, None]",2019-12-05 18:23:41
Chew Valley Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Aug', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1570, 1, 'Aug', 0, None, None]","[1904, 1, 'Aug', 0, None, None]","[1625, 1, 'Jul', 0, None, None]","[1625, 1, 'Aug', 0, None, None]","[460, 1, 'Aug', 0, None, None]","[1180, 1, 'Aug', 0, None, None]","[1055, 1, 'Aug', 0, None, None]","[1290, 1, 'Jul', 0, None, None]","[1070, 1, 'Aug', 0, None, None]","[1945, 1, 'Aug', 0, None, None]","[1950, 1, 'Aug', 0, None, None]","[2010, 1, 'Aug', 0, None, None]","[1135, 1, 'Jul', 0, None, None]","[1880, 1, 'Aug', 0, None, None]","[2500, 1, 'Aug', 0, None, None]","[2260, 1, 'Aug', 0, None, None]","[2650, 1, 'Aug', 0, None, None]","[1980, 1, 'Aug', 0, None, None]","[3500, 1, 'Sep', 0, None, None]","[2360, 1, 'Aug', 0, None, None]","[3715, 1, 'Oct', 0, None, None]","[3285, 1, 'Aug', 0, None, None]","[3335, 1, 'Sep', 0, None, None]","[2205, 1, 'Oct', 0, None, None]","[2360, 1, 'Aug', 0, None, None]","[2095, 1, 'Aug', 0, None, None]","[2020, 1, 'Jul', 0, None, None]","[3050, 1, 'Sep', 0, None, None]","[2880, 1, 'Aug', 0, None, None]","[3110, 1, 'Oct', 0, None, None]","[2475, 1, 'Sep', 0, None, None]","[3190, 1, 'Sep', 0, None, None]","[2270, 1, 'Aug', 0, None, None]","[3250, 1, 'Nov', 0, None, None]","[3585, 1, 'Jan', 0, None, None]","[3510, 1, 'Sep', 0, None, None]",2019-12-05 18:23:41
Rutland Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Nov', 0, None, None]",nan,nan,nan,"[3633, 1, 'Dec', 0, None, None]","[5401, 1, 'Dec', 0, None, None]","[7453, 1, 'Dec', 0, None, None]","[5660, 1, 'Dec', 0, None, None]","[4623, 1, 'Dec', 0, None, None]","[3062, 1, 'Jan', 0, None, None]","[4160, 1, 'Dec', 0, None, None]","[5502, 1, 'Oct', 0, None, None]","[3743, 1, 'Nov', 0, None, None]","[3639, 1, 'Nov', 0, None, None]","[2785, 1, 'Jan', 0, None, None]","[3036, 1, 'Dec', 0, None, None]","[4165, 1, 'Oct', 0, None, None]","[6184, 1, 'Dec', 0, None, None]","[3935, 1, 'Dec', 0, None, None]","[4663, 1, 'Dec', 0, None, None]","[3971, 1, 'Oct', 0, None, None]","[3759, 1, 'Oct', 0, None, None]","[3375, 1, 'Nov', 0, None, None]","[3283, 1, 'Dec', 0, None, None]","[3969, 1, 'Oct', 0, None, None]","[4021, 1, 'Nov', 0, None, None]","[4733, 1, 'Oct', 0, None, None]","[3490, 1, 'Jan', 0, None, None]","[6233, 1, 'Dec', 0, None, None]","[4284, 1, 'Nov', 0, None, None]","[4792, 1, 'Dec', 0, None, None]","[6277, 1, 'Nov', 0, None, None]","[5570, 1, 'Dec', 0, None, None]","[5177, 1, 'Oct', 0, None, None]","[2237, 1, 'Nov', 0, None, None]","[3540, 1, 'Nov', 0, None, None]","[2624, 1, 'Sep', 0, None, None]","[2385, 1, 'Sep', 0, None, None]","[2629, 1, 'Jan', 0, None, None]","[3316, 1, 'Nov', 0, None, None]",2019-12-05 18:23:41
Ouse Washes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3375, 1, 'Feb', 0, None, None]","[2134, 1, 'Feb', 0, None, None]","[1757, 1, 'Jan', 0, None, None]","[2970, 1, 'Feb', 0, None, None]","[2388, 1, 'Mar', 0, None, None]","[3005, 1, 'Jan', 0, None, None]","[1597, 1, 'Apr', 0, None, None]","[2345, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[1940, 1, 'Feb', 0, None, None]","[2289, 1, 'Nov', 0, None, None]","[3182, 1, 'Feb', 0, None, None]","[2225, 1, 'Jan', 0, None, None]","[1755, 1, 'Mar', 0, None, None]","[1497, 1, 'Apr', 0, None, None]","[3082, 1, 'Mar', 0, None, None]","[2611, 2, 'Mar', 0, None, None]","[3803, 1, 'Apr', 0, None, None]","[2062, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2488, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1349, 1, 'Feb', 0, None, None]","[2039, 1, 'Mar', 0, None, None]","[4229, 1, 'Apr', 0, None, None]","[4354, 1, 'Mar', 0, None, None]","[1834, 1, 'Feb', 0, None, None]","[6229, 1, 'Jan', 0, None, None]","[5865, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[4053, 1, 'Feb', 0, None, None]","[3810, 1, 'Feb', 0, None, None]","[1331, 1, 'Mar', 0, None, None]","[5420, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1512, 1, 'Feb', 0, None, None]","[3106, 1, 'Feb', 0, None, None]","[3805, 1, 'Feb', 0, None, None]","[2956, 1, 'Feb', 0, None, None]","[1618, 1, 'Feb', 0, None, None]",2019-12-05 18:23:41
Pitsford Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,"[1, 1, 'Jan', 0, None, None]",nan,"[1, 1, 'Nov', 0, None, None]","[1, 1, 'Nov', 0, None, None]","[1789, 1, 'Nov', 0, None, None]","[1420, 1, 'Oct', 0, None, None]","[1136, 1, 'Nov', 0, None, None]","[744, 1, 'Aug', 0, None, None]","[645, 1, 'Jan', 0, None, None]","[1212, 1, 'Dec', 0, None, None]","[597, 1, 'Nov', 0, None, None]","[313, 1, 'Oct', 0, None, None]","[172, 1, 'Oct', 0, None, None]","[440, 1, 'Sep', 0, None, None]","[403, 1, 'Feb', 0, None, None]","[1373, 1, 'Dec', 0, None, None]","[1961, 1, 'Nov', 0, None, None]","[1177, 1, 'Nov', 0, None, None]","[1222, 1, 'Aug', 0, None, None]","[1310, 1, 'Oct', 0, None, None]","[2281, 1, 'Dec', 0, None, None]","[2415, 1, 'Oct', 0, None, None]","[2331, 1, 'Sep', 0, None, None]","[2746, 1, 'Dec', 0, None, None]","[1949, 1, 'Oct', 0, None, None]","[1823, 1, 'Nov', 0, None, None]","[2354, 1, 'Nov', 0, None, None]","[2212, 1, 'Oct', 0, None, None]","[2287, 1, 'Sep', 0, None, None]","[2828, 1, 'Oct', 0, None, None]","[1957, 1, 'Oct', 0, None, None]","[2480, 1, 'Oct', 0, None, None]","[3048, 1, 'Sep', 0, None, None]","[2096, 1, 'Aug', 0, None, None]","[1596, 1, 'Aug', 0, None, None]","[2427, 1, 'Sep', 0, None, None]","[3017, 1, 'Sep', 0, None, None]","[2343, 1, 'Sep', 0, None, None]","[2765, 1, 'Nov', 0, None, None]","[1889, 1, 'Sep', 0, None, None]",2019-12-05 18:23:41
Aqualate Mere,nan,nan,nan,nan,"[4, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,"[10, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,"[25, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,"[20, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,"[98, 1, 'Mar', 0, None, None]",nan,"[91, 2, 'Jan', 0, None, None]","[225, 1, 'Feb', 0, None, None]",nan,"[87, 1, 'Feb', 0, None, None]","[231, 1, 'Feb', 0, None, None]","[250, 1, 'Feb', 0, None, None]","[231, 1, 'Feb', 0, None, None]",nan,"[450, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[200, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[137, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[308, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[280, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[94, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[171, 1, 'Feb', 0, None, None]","[631, 1, 'Sep', 0, None, None]","[1020, 1, 'Nov', 0, None, None]","[80, 1, 'Feb', 0, None, None]","[37, 1, 'Mar', 0, None, None]","[22, 1, 'Sep', 0, None, None]","[37, 1, 'Sep', 0, None, None]","[78, 1, 'Oct', 0, None, None]","[1000, 1, 'Dec', 0, None, None]","[111, 1, 'Sep', 0, None, None]","[19, 1, 'Mar', 0, None, None]","[16, 1, 'Apr', 0, None, None]","[348, 1, 'Dec', 0, None, None]","[357, 1, 'Aug', 0, None, None]","[245, 1, 'Aug', 0, None, None]","[156, 1, 'Jul', 0, None, None]","[554, 1, 'Jan', 0, None, None]","[107, 1, 'Jun', 0, None, None]","[67, 1, 'Sep', 0, None, None]","[42, 1, 'Sep', 0, None, None]","[277, 1, 'Sep', 0, None, None]","[125, 1, 'Jul', 0, None, None]","[161, 1, 'Jun', 0, None, None]","[506, 1, 'Oct', 0, None, None]","[1065, 1, 'Sep', 0, None, None]","[1823, 1, 'Dec', 0, None, None]","[1379, 1, 'Aug', 0, None, None]","[1263, 1, 'Oct', 0, None, None]","[125, 1, 'Jul', 0, None, None]","[981, 1, 'Aug', 0, None, None]","[3083, 1, 'Dec', 0, None, None]","[2319, 1, 'Nov', 0, None, None]","[2366, 1, 'Sep', 0, None, None]","[2728, 1, 'Nov', 0, None, None]","[2101, 1, 'Nov', 0, None, None]","[2706, 1, 'Jan', 0, None, None]",2019-12-05 18:23:41
Lee Valley Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1, 1, 'Jan', 0, None, None]",nan,nan,"[3, 1, 'Feb', 0, None, None]","[1, 1, 'Sep', 0, None, None]",nan,nan,nan,nan,"[1847, 1, 'Oct', 0, None, None]","[1748, 1, 'Dec', 0, None, None]","[1055, 1, 'Nov', 0, None, None]","[1726, 1, 'Dec', 0, None, None]","[2035, 1, 'Dec', 0, None, None]","[1933, 1, 'Nov', 0, None, None]","[869, 1, 'Oct', 0, None, None]","[1682, 1, 'Dec', 0, None, None]","[1499, 1, 'Nov', 0, None, None]","[1142, 1, 'Nov', 0, None, None]","[1336, 1, 'Oct', 0, None, None]","[1654, 1, 'Nov', 0, None, None]","[2012, 1, 'Nov', 0, None, None]","[1812, 1, 'Nov', 0, None, None]","[3023, 1, 'Oct', 0, None, None]","[2913, 1, 'Nov', 0, None, None]","[2708, 1, 'Nov', 0, None, None]","[3559, 1, 'Nov', 0, None, None]","[2751, 1, 'Nov', 0, None, None]","[3245, 1, 'Dec', 0, None, None]","[3250, 1, 'Nov', 0, None, None]","[3213, 1, 'Dec', 0, None, None]","[3435, 1, 'Dec', 0, None, None]","[3459, 1, 'Dec', 0, None, None]","[2417, 1, 'Nov', 0, None, None]","[2979, 1, 'Dec', 0, None, None]","[3336, 1, 'Jan', 0, None, None]","[3250, 1, 'Jan', 0, None, None]","[3368, 1, 'Nov', 0, None, None]","[3232, 1, 'Oct', 0, None, None]","[2775, 1, 'Jan', 0, None, None]","[2428, 1, 'Jan', 0, None, None]","[2449, 1, 'Nov', 0, None, None]","[2313, 1, 'Dec', 0, None, None]","[2354, 1, 'Dec', 0, None, None]","[2330, 1, 'Nov', 0, None, None]",2019-12-05 18:23:41
