Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[14000, 1, 'Aug', 0, None, None]","[15635, 1, 'Aug', 0, None, None]","[11863, 1, 'Aug', 0, None, None]","[22300, 1, 'Aug', 0, None, None]","[20900, 1, 'Aug', 0, None, None]","[11420, 1, 'Dec', 0, None, None]","[7850, 1, 'Dec', 0, None, None]","[5280, 1, 'Jan', 0, None, None]",nan,"[6850, 1, 'Jan', 0, None, None]","[7850, 1, 'Jan', 0, None, None]",nan,"[4422, 1, 'Feb', 0, None, None]","[10012, 1, 'Nov', 0, None, None]","[13259, 1, 'Sep', 0, None, None]","[11291, 1, 'Oct', 0, None, None]","[11962, 1, 'Sep', 0, None, None]","[12888, 1, 'Mar', 0, None, None]","[13313, 1, 'Sep', 0, None, None]","[15609, 1, 'Aug', 0, None, None]","[17479, 1, 'Sep', 0, None, None]","[19675, 1, 'Jul', 0, None, None]","[14538, 1, 'Dec', 0, None, None]","[18144, 1, 'Aug', 0, None, None]","[17936, 1, 'Oct', 0, None, None]","[16903, 1, 'Sep', 0, None, None]","[15461, 1, 'Sep', 0, None, None]","[17694, 2, 'Oct', 0, None, None]","[20866, 1, 'Sep', 0, None, None]","[16586, 1, 'Feb', 0, None, None]","[13756, 1, 'Dec', 0, None, None]","[9522, 1, 'Mar', 0, None, None]","[19170, 1, 'Oct', 0, None, None]","[11196, 1, 'Sep', 0, None, None]","[8328, 1, 'Aug', 0, None, None]","[9515, 1, 'Oct', 0, None, None]","[14027, 1, 'Sep', 0, None, None]","[11530, 1, 'Feb', 0, None, None]","[13136, 1, 'Nov', 0, None, None]","[11167, 1, 'Sep', 0, None, None]","[11203, 1, 'Oct', 0, None, None]","[12591, 1, 'Jan', 0, None, None]","[10560, 1, 'Aug', 0, None, None]","[10204, 1, 'Feb', 0, None, None]","[9560, 1, 'Oct', 0, None, None]","[11698, 1, 'Jan', 0, None, None]","[13942, 1, 'Sep', 0, None, None]","[9588, 1, 'Oct', 0, None, None]",2020-01-19 18:05:33
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[5355, 1, 'Aug', 0, None, None]","[4630, 1, 'Aug', 0, None, None]","[8054, 1, 'Aug', 0, None, None]","[9183, 1, 'Sep', 0, None, None]","[6891, 1, 'Sep', 0, None, None]","[2379, 1, 'Feb', 0, None, None]","[2794, 1, 'Feb', 0, None, None]","[2144, 1, 'Feb', 0, None, None]","[3078, 2, 'Sep', 0, None, None]","[3548, 1, 'Sep', 0, None, None]","[4562, 1, 'Feb', 0, None, None]","[2871, 1, 'Feb', 0, None, None]","[2723, 1, 'Feb', 0, None, None]","[4817, 1, 'Feb', 0, None, None]","[3500, 1, 'Mar', 0, None, None]","[5479, 2, 'Sep', 0, None, None]","[5678, 1, 'Sep', 0, None, None]","[4814, 1, 'Feb', 0, None, None]","[6188, 1, 'Jul', 0, None, None]","[7875, 1, 'Sep', 0, None, None]","[10436, 1, 'Oct', 0, None, None]","[8907, 1, 'Aug', 0, None, None]","[6408, 1, 'Sep', 0, None, None]","[6606, 1, 'Oct', 0, None, None]","[7520, 1, 'Sep', 0, None, None]","[12186, 1, 'Aug', 0, None, None]","[9837, 1, 'Aug', 0, None, None]","[8377, 2, 'Sep', 0, None, None]","[6738, 1, 'Aug', 0, None, None]","[9298, 1, 'Sep', 0, None, None]","[10803, 1, 'Aug', 0, None, None]","[10304, 1, 'Aug', 0, None, None]","[10048, 1, 'Aug', 0, None, None]","[15336, 1, 'Aug', 0, None, None]","[6978, 1, 'Aug', 0, None, None]","[5140, 1, 'Jul', 0, None, None]","[9710, 1, 'Oct', 0, None, None]","[7664, 1, 'Aug', 0, None, None]","[7548, 1, 'Sep', 0, None, None]","[12811, 1, 'Sep', 0, None, None]","[10475, 1, 'Oct', 0, None, None]","[7798, 1, 'Oct', 0, None, None]","[8701, 1, 'Sep', 0, None, None]","[7589, 1, 'Aug', 0, None, None]","[9866, 1, 'Sep', 0, None, None]","[6525, 1, 'Aug', 0, None, None]","[6500, 1, 'Sep', 0, None, None]","[4369, 1, 'Aug', 0, None, None]",2020-01-19 18:05:33
Dee Estuary (England and Wales),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3146, 1, 'Aug', 0, None, None]","[2789, 2, 'Aug', 0, None, None]","[5636, 1, 'Sep', 0, None, None]","[6712, 1, 'Aug', 0, None, None]","[4443, 1, 'Jul', 0, None, None]","[7646, 1, 'Aug', 0, None, None]","[2858, 1, 'Sep', 0, None, None]","[145, 2, 'Feb', 0, None, None]","[1122, 2, 'Aug', 0, None, None]","[2555, 1, 'Feb', 0, None, None]","[2490, 1, 'Feb', 0, None, None]","[3520, 1, 'Sep', 0, None, None]","[3245, 1, 'Sep', 0, None, None]","[4655, 1, 'Sep', 0, None, None]","[3630, 1, 'Sep', 0, None, None]","[6690, 1, 'Aug', 0, None, None]","[5445, 1, 'Sep', 0, None, None]","[3950, 1, 'Aug', 0, None, None]","[4100, 1, 'Sep', 0, None, None]","[4085, 1, 'Aug', 0, None, None]","[4242, 1, 'Sep', 0, None, None]","[5972, 1, 'Sep', 0, None, None]","[5524, 1, 'Aug', 0, None, None]","[3548, 1, 'Nov', 0, None, None]","[5774, 1, 'Sep', 0, None, None]","[4507, 1, 'Sep', 0, None, None]","[5450, 1, 'Sep', 0, None, None]","[5370, 1, 'Jan', 0, None, None]","[4490, 1, 'Jan', 0, None, None]","[4259, 1, 'Sep', 0, None, None]","[5837, 1, 'Sep', 0, None, None]","[3954, 1, 'Oct', 0, None, None]","[3673, 1, 'Aug', 0, None, None]","[5727, 1, 'Oct', 0, None, None]","[6933, 2, 'Aug', 0, None, None]","[4666, 1, 'Sep', 0, None, None]","[5565, 1, 'Sep', 0, None, None]","[5346, 1, 'Sep', 0, None, None]","[3608, 1, 'Oct', 0, None, None]","[3590, 1, 'Aug', 0, None, None]","[3747, 1, 'Sep', 0, None, None]","[3665, 1, 'Nov', 0, None, None]","[4401, 1, 'Aug', 0, None, None]","[3485, 1, 'Jul', 0, None, None]","[4172, 1, 'Aug', 0, None, None]","[3726, 1, 'Aug', 0, None, None]","[3382, 1, 'Sep', 0, None, None]","[3446, 1, 'Sep', 0, None, None]",2020-01-19 18:05:33
Severn Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[842, 1, 'Oct', 0, None, None]","[1815, 1, 'Oct', 0, None, None]","[1830, 1, 'Aug', 0, None, None]","[3693, 1, 'Jan', 0, None, None]","[3662, 1, 'Aug', 0, None, None]","[2565, 1, 'Sep', 0, None, None]","[2158, 1, 'Aug', 0, None, None]","[2475, 1, 'Jan', 0, None, None]","[2657, 1, 'Dec', 0, None, None]","[1036, 1, 'Oct', 0, None, None]","[1519, 1, 'Oct', 0, None, None]","[1783, 1, 'Feb', 0, None, None]","[2847, 1, 'Feb', 0, None, None]","[2388, 1, 'Sep', 0, None, None]","[3301, 1, 'Nov', 0, None, None]","[3509, 1, 'Sep', 0, None, None]","[3416, 2, 'Feb', 0, None, None]","[4576, 1, 'Jan', 0, None, None]","[2706, 1, 'Dec', 0, None, None]","[2945, 1, 'Aug', 0, None, None]","[2734, 1, 'Sep', 0, None, None]","[3812, 1, 'Sep', 0, None, None]","[4555, 1, 'Dec', 0, None, None]","[3646, 1, 'Jan', 0, None, None]","[5307, 1, 'Feb', 0, None, None]","[2727, 1, 'Sep', 0, None, None]","[2001, 1, 'Nov', 0, None, None]","[2903, 2, 'Jan', 0, None, None]","[2404, 1, 'Sep', 0, None, None]","[2190, 2, 'Dec', 0, None, None]","[2038, 1, 'Sep', 0, None, None]","[2164, 1, 'Jan', 0, None, None]","[2495, 1, 'Feb', 0, None, None]","[2898, 1, 'Sep', 0, None, None]","[2613, 1, 'Sep', 0, None, None]","[2514, 1, 'Dec', 0, None, None]","[3230, 1, 'Jan', 0, None, None]","[2560, 1, 'Sep', 0, None, None]","[3396, 1, 'Sep', 0, None, None]","[3731, 1, 'Sep', 0, None, None]","[4176, 1, 'Oct', 0, None, None]","[3091, 1, 'Jan', 0, None, None]","[3791, 1, 'Jan', 0, None, None]","[3546, 1, 'Feb', 0, None, None]","[3697, 1, 'Oct', 0, None, None]","[4205, 1, 'Feb', 0, None, None]","[2998, 1, 'Oct', 0, None, None]","[3411, 1, 'Oct', 0, None, None]",2020-01-19 18:05:33
Forth Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[547, 1, 'Oct', 0, None, None]","[477, 1, 'Oct', 0, None, None]","[1274, 1, 'Jan', 0, None, None]","[1468, 1, 'Feb', 0, None, None]","[1646, 1, 'Feb', 0, None, None]","[1637, 1, 'Jan', 0, None, None]","[1057, 1, 'Feb', 0, None, None]","[701, 1, 'Feb', 0, None, None]","[801, 1, 'Dec', 0, None, None]","[1271, 1, 'Dec', 0, None, None]",nan,"[131, 1, 'Dec', 0, None, None]","[1162, 1, 'Jan', 0, None, None]","[455, 1, 'Feb', 0, None, None]","[852, 1, 'Sep', 0, None, None]","[861, 1, 'Sep', 0, None, None]","[1199, 1, 'Feb', 0, None, None]","[1903, 1, 'Feb', 0, None, None]","[1700, 2, 'Sep', 0, None, None]","[1489, 1, 'Feb', 0, None, None]","[1432, 1, 'Nov', 0, None, None]","[2038, 1, 'Sep', 0, None, None]","[2174, 1, 'Feb', 0, None, None]","[2118, 1, 'Feb', 0, None, None]","[3108, 1, 'Sep', 0, None, None]","[4091, 1, 'Sep', 0, None, None]","[3077, 1, 'Aug', 0, None, None]","[3301, 1, 'Sep', 0, None, None]","[3305, 1, 'Sep', 0, None, None]","[3211, 1, 'Aug', 0, None, None]","[4266, 1, 'Sep', 0, None, None]","[3638, 1, 'Mar', 0, None, None]","[3939, 1, 'Aug', 0, None, None]","[3941, 1, 'Sep', 0, None, None]","[2827, 1, 'Sep', 0, None, None]","[3599, 1, 'Sep', 0, None, None]","[4567, 1, 'Sep', 0, None, None]","[3568, 1, 'Sep', 0, None, None]","[4023, 1, 'Sep', 0, None, None]","[2939, 1, 'Oct', 0, None, None]","[2750, 1, 'Feb', 0, None, None]","[3002, 1, 'Feb', 0, None, None]","[2582, 1, 'Sep', 0, None, None]","[2994, 1, 'Sep', 0, None, None]","[3646, 1, 'Sep', 0, None, None]","[3492, 1, 'Feb', 0, None, None]","[3747, 1, 'Sep', 0, None, None]","[3560, 1, 'Feb', 0, None, None]",2020-01-19 18:05:33
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[1211, 1, 'Dec', 0, None, None]","[2434, 1, 'Jan', 0, None, None]","[3319, 1, 'Aug', 0, None, None]","[2502, 1, 'Oct', 0, None, None]","[3114, 1, 'Nov', 0, None, None]","[3186, 1, 'Nov', 0, None, None]","[3085, 1, 'Sep', 0, None, None]","[3323, 1, 'Feb', 0, None, None]","[2841, 1, 'Oct', 0, None, None]","[3255, 1, 'Feb', 0, None, None]","[3067, 1, 'Jan', 0, None, None]","[3245, 2, 'Oct', 0, None, None]","[2719, 1, 'Nov', 0, None, None]","[3739, 1, 'Sep', 0, None, None]","[4864, 1, 'Feb', 0, None, None]","[4976, 1, 'Sep', 0, None, None]","[4702, 1, 'Sep', 0, None, None]","[4191, 1, 'Oct', 0, None, None]","[3301, 1, 'Mar', 0, None, None]","[6524, 1, 'Sep', 0, None, None]","[3767, 1, 'Sep', 0, None, None]","[5292, 1, 'Sep', 0, None, None]","[4361, 1, 'Dec', 0, None, None]","[5350, 1, 'Sep', 0, None, None]","[6875, 1, 'Sep', 0, None, None]","[4002, 1, 'Oct', 0, None, None]","[4406, 1, 'Sep', 0, None, None]","[6288, 1, 'Aug', 0, None, None]","[5196, 1, 'Oct', 0, None, None]","[2941, 1, 'Oct', 0, None, None]","[4414, 2, 'Oct', 0, None, None]","[2651, 1, 'Feb', 0, None, None]","[3352, 1, 'Oct', 0, None, None]","[3611, 1, 'Aug', 0, None, None]","[6993, 1, 'Oct', 0, None, None]","[3722, 1, 'Feb', 0, None, None]","[4130, 1, 'Sep', 0, None, None]","[4603, 1, 'Aug', 0, None, None]","[3620, 1, 'Oct', 0, None, None]","[2771, 1, 'Sep', 0, None, None]","[5024, 1, 'Aug', 0, None, None]","[2610, 1, 'Jan', 0, None, None]","[3298, 1, 'Sep', 0, None, None]","[2744, 1, 'Feb', 0, None, None]","[5522, 1, 'Nov', 0, None, None]","[2598, 1, 'Feb', 0, None, None]",2020-01-19 18:05:33
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[500, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1557, 1, 'Sep', 0, None, None]","[1415, 1, 'Aug', 0, None, None]","[3778, 1, 'Oct', 0, None, None]","[2490, 1, 'Feb', 0, None, None]","[3097, 2, 'Feb', 0, None, None]","[1594, 1, 'Feb', 0, None, None]","[1393, 1, 'Jan', 0, None, None]","[1717, 1, 'Dec', 0, None, None]","[960, 1, 'Feb', 0, None, None]","[2069, 2, 'Feb', 0, None, None]","[1723, 1, 'Feb', 0, None, None]","[2162, 1, 'Mar', 0, None, None]","[1282, 1, 'Jan', 0, None, None]","[2771, 1, 'Oct', 0, None, None]","[2065, 1, 'Feb', 0, None, None]","[3158, 1, 'Sep', 0, None, None]","[3943, 1, 'Sep', 0, None, None]","[4107, 1, 'Feb', 0, None, None]","[3367, 1, 'Sep', 0, None, None]","[1483, 2, 'Jan', 0, None, None]","[2320, 1, 'Mar', 0, None, None]","[1689, 1, 'Mar', 0, None, None]","[1253, 1, 'Dec', 0, None, None]","[2913, 1, 'Jan', 0, None, None]","[2654, 1, 'Mar', 0, None, None]","[3194, 1, 'Sep', 0, None, None]","[1426, 1, 'Mar', 0, None, None]","[3284, 2, 'Mar', 0, None, None]","[3980, 2, 'Jan', 0, None, None]","[3863, 1, 'Sep', 0, None, None]","[5273, 1, 'Aug', 0, None, None]","[4277, 1, 'Feb', 0, None, None]","[3941, 1, 'Jan', 0, None, None]","[2778, 1, 'Jan', 0, None, None]","[3768, 1, 'Jan', 0, None, None]","[4818, 1, 'Feb', 0, None, None]","[5180, 1, 'Sep', 0, None, None]","[4355, 1, 'Feb', 0, None, None]","[3099, 1, 'Feb', 0, None, None]","[3448, 1, 'Dec', 0, None, None]","[3037, 1, 'Jan', 0, None, None]","[2883, 2, 'Oct', 0, None, None]","[3404, 1, 'Nov', 0, None, None]","[2242, 1, 'Feb', 0, None, None]","[2325, 1, 'Feb', 0, None, None]","[2862, 1, 'Sep', 0, None, None]","[3198, 1, 'Jul', 0, None, None]","[3018, 1, 'Jan', 0, None, None]",2020-01-19 18:05:33
Severn Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[842, 1, 'Oct', 0, None, None]","[1689, 1, 'Oct', 0, None, None]","[1610, 1, 'Aug', 0, None, None]","[3145, 1, 'Jan', 0, None, None]","[3125, 1, 'Aug', 0, None, None]","[2565, 1, 'Sep', 0, None, None]","[2158, 1, 'Aug', 0, None, None]","[2413, 1, 'Jan', 0, None, None]","[2429, 1, 'Sep', 0, None, None]","[271, 1, 'Oct', 0, None, None]","[809, 1, 'Oct', 0, None, None]","[1235, 1, 'Feb', 0, None, None]","[2503, 1, 'Oct', 0, None, None]","[1979, 1, 'Oct', 0, None, None]","[2475, 1, 'Dec', 0, None, None]","[3131, 1, 'Sep', 0, None, None]","[3359, 2, 'Dec', 0, None, None]","[2996, 1, 'Jan', 0, None, None]","[1743, 1, 'Sep', 0, None, None]","[2108, 1, 'Jan', 0, None, None]","[2020, 2, 'Jul', 0, None, None]","[2529, 1, 'Sep', 0, None, None]","[3653, 1, 'Dec', 0, None, None]","[2946, 1, 'Jan', 0, None, None]","[4184, 1, 'Feb', 0, None, None]","[2693, 1, 'Sep', 0, None, None]","[1889, 1, 'Sep', 0, None, None]","[2078, 2, 'Jan', 0, None, None]","[2116, 1, 'Sep', 0, None, None]","[1780, 1, 'Dec', 0, None, None]","[1793, 1, 'Sep', 0, None, None]","[1881, 1, 'Jan', 0, None, None]","[1961, 1, 'Sep', 0, None, None]","[2151, 1, 'Sep', 0, None, None]","[1886, 1, 'Sep', 0, None, None]","[1924, 1, 'Aug', 0, None, None]","[2315, 1, 'Jan', 0, None, None]","[2003, 1, 'Sep', 0, None, None]","[2194, 1, 'Sep', 0, None, None]","[2518, 1, 'Sep', 0, None, None]","[3091, 1, 'Oct', 0, None, None]","[2087, 1, 'Jan', 0, None, None]","[2622, 1, 'Jan', 0, None, None]","[2591, 2, 'Sep', 0, None, None]","[2614, 1, 'Oct', 0, None, None]","[3157, 1, 'Feb', 0, None, None]","[2261, 1, 'Mar', 0, None, None]","[2582, 1, 'Oct', 0, None, None]",2020-01-19 18:05:33
Solway Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4382, 1, 'Aug', 0, None, None]","[8484, 1, 'Aug', 0, None, None]","[11736, 1, 'Aug', 0, None, None]","[6314, 1, 'Mar', 0, None, None]","[7596, 1, 'Sep', 0, None, None]","[8016, 1, 'Sep', 0, None, None]","[13635, 2, 'Sep', 0, None, None]",nan,nan,"[1151, 2, 'Feb', 0, None, None]","[5163, 1, 'Sep', 0, None, None]","[6511, 1, 'Oct', 0, None, None]","[5492, 1, 'Nov', 0, None, None]","[13002, 2, 'Aug', 0, None, None]","[5966, 1, 'Sep', 0, None, None]","[5173, 1, 'Dec', 0, None, None]","[6398, 2, 'Jul', 0, None, None]","[4767, 1, 'Mar', 0, None, None]","[4655, 1, 'Jul', 0, None, None]","[4058, 2, 'Mar', 0, None, None]","[4165, 1, 'Aug', 0, None, None]","[6491, 1, 'Jan', 0, None, None]","[5431, 2, 'Sep', 0, None, None]","[4444, 1, 'Nov', 0, None, None]","[5985, 1, 'Jan', 0, None, None]","[6434, 1, 'Oct', 0, None, None]","[3361, 1, 'Oct', 0, None, None]","[5009, 1, 'Feb', 0, None, None]","[4466, 1, 'Sep', 0, None, None]","[4035, 1, 'Feb', 0, None, None]","[4828, 2, 'Nov', 0, None, None]","[3581, 2, 'Feb', 0, None, None]","[3240, 2, 'Nov', 0, None, None]","[3554, 1, 'Jan', 0, None, None]","[3373, 2, 'Dec', 0, None, None]","[2424, 1, 'Oct', 0, None, None]","[3371, 1, 'Feb', 0, None, None]","[3008, 1, 'Jan', 0, None, None]","[2235, 1, 'Feb', 0, None, None]","[2379, 1, 'Sep', 0, None, None]","[2885, 1, 'Feb', 0, None, None]","[2677, 1, 'Mar', 0, None, None]","[2565, 2, 'Jan', 0, None, None]","[3334, 1, 'Feb', 0, None, None]","[2642, 1, 'Mar', 0, None, None]","[2070, 1, 'Jan', 0, None, None]","[2070, 1, 'Oct', 0, None, None]","[1697, 1, 'Sep', 0, None, None]",2020-01-19 18:05:33
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7, 1, 'Nov', 0, None, None]","[602, 1, 'Aug', 0, None, None]","[414, 1, 'Oct', 0, None, None]","[569, 1, 'Dec', 0, None, None]","[756, 1, 'Oct', 0, None, None]","[691, 2, 'Feb', 0, None, None]","[716, 1, 'Sep', 0, None, None]","[762, 1, 'Feb', 0, None, None]","[986, 1, 'Sep', 0, None, None]","[620, 1, 'Sep', 0, None, None]","[594, 1, 'Sep', 0, None, None]","[629, 1, 'Dec', 0, None, None]","[700, 1, 'Jan', 0, None, None]","[1096, 2, 'Aug', 0, None, None]","[1489, 1, 'Feb', 0, None, None]","[1742, 1, 'Aug', 0, None, None]","[2288, 1, 'Aug', 0, None, None]","[1939, 1, 'Aug', 0, None, None]","[2312, 1, 'Aug', 0, None, None]","[2004, 1, 'Aug', 0, None, None]","[1952, 1, 'Sep', 0, None, None]","[2350, 1, 'Aug', 0, None, None]","[1835, 1, 'Aug', 0, None, None]","[2284, 1, 'Aug', 0, None, None]","[2190, 1, 'Jan', 0, None, None]","[2884, 1, 'Aug', 0, None, None]","[2318, 1, 'Jul', 0, None, None]","[2293, 1, 'Aug', 0, None, None]","[2109, 1, 'Sep', 0, None, None]","[2168, 1, 'Aug', 0, None, None]","[2121, 1, 'Jul', 0, None, None]","[3092, 1, 'Jul', 0, None, None]","[1829, 1, 'Sep', 0, None, None]","[2078, 1, 'Jul', 0, None, None]","[2218, 1, 'Sep', 0, None, None]","[1802, 1, 'Aug', 0, None, None]",2020-01-19 18:05:33
