Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Lower Windrush Valley Gravel Pits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,8.0,2,0.0,238.0,130.0,100,47.0,2,Oct,103,103,1,2019-11-28 09:48:36
Overcote Marina,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,0,62.0,60.0,nan,nan,nan,nan,nan,60,60,1,2019-11-28 09:48:36
Roath Park Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,(0),0.0,75.0,0.0,nan,51.0,69,Jul,49,49,1,2019-11-28 09:48:36
Caerphilly Castle Moat,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0,nan,0,0,0.0,0.0,0,0.0,0.0,0.0,6,7.0,10.0,14.0,11.0,9.0,6.0,8,0.0,8.0,6,6.0,56.0,40.0,43,47.0,44,Aug,46,46,1,2019-11-28 09:48:36
River Severn and River Vyrnwy Confluence,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,(0),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,2.0,143.0,47,0.0,0,nan,38,38,1,2019-11-28 09:48:36
Ellesmere Lakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.0,9.0,9,9.0,4.0,4,3.0,38.0,42.0,39,33.0,34,Jul,37,37,1,2019-11-28 09:48:36
Hatfield Moors,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,(0),nan,nan,74.0,(0),nan,nan,nan,74,74,1,2019-11-28 09:48:36
Thwaite Flat and Roanhead Ponds,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,11,60.0,59,Jun,26,26,1,2019-11-28 09:48:36
Llynnau Y Fali,0.0,nan,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,(0),0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7,0.0,0.0,74.0,18,33.0,0,nan,25,25,1,2019-11-28 09:48:36
Doffcocker Lodge,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,0.0,nan,0.0,(0),0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,17.0,13.0,0.0,0.0,0,0.0,0.0,0,43.0,58.0,nan,7,5.0,nan,nan,23,23,1,2019-11-28 09:48:36
Poolsbrook,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.0,nan,nan,nan,nan,21,21,1,2019-11-28 09:48:36
Arlington Reservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,9.0,79,0.0,0,nan,18,18,1,2019-11-28 09:48:36
Clydach Vale Countryside Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,9.0,9,16.0,16.0,19.0,18,18.0,16,Nov,17,17,1,2019-11-28 09:48:36
Swithland Reservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,(0),0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,0.0,0,0.0,58.0,0.0,9,17.0,1,Jan,17,17,1,2019-11-28 09:48:36
Exeter River Valley Park and Matford Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,1.0,1.0,0.0,0.0,2.0,2,0.0,0.0,0,0.0,13.0,16.0,15,18.0,19,Jan,16,16,1,2019-11-28 09:48:36
Chetwynd Pool,nan,nan,nan,nan,0.0,nan,nan,0.0,nan,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,(0),0.0,0.0,0,0.0,0.0,1.0,0,0.0,75Supplementary visit under the WeBS Core Count SurveyWeBS,Sep,15,15,1,2019-11-28 09:48:36
Heaton Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26,29.0,28.0,27.0,25.0,29.0,0.0,0,0.0,0.0,0,nan,16.0,14.0,14,18.0,13,Jan,15,15,1,2019-11-28 09:48:36
Ormsgill Reservoir,0.0,nan,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,6,0.0,0.0,1,0.0,18.0,0.0,0,50.0,0,nan,14,14,1,2019-11-28 09:48:36
Watermead Country Park South,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3.0,0,0.0,16.0,12.0,18,23.0,27.0,27.0,20.0,34.0,29.0,37,48.0,66.0,181,72.0,66.0,0.0,0,0.0,0,nan,13,13,1,2019-11-28 09:48:36
Cossington Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,5,0.0,0.0,0,0.0,52.0,2.0,4,0.0,1,Oct,12,12,1,2019-11-28 09:48:36
Low Skirlington,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.0,23.0,nan,nan,nan,nan,12,12,1,2019-11-28 09:48:36
Winscar Reservoir,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,(0),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,4,nan,nan,0,0.0,14.0,13.0,9,10.0,14,Oct,12,12,1,2019-11-28 09:48:36
