Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Mersey Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[13705, 1, 'Feb', 0, None, None]","[15379, 1, 'Feb', 0, None, None]","[23508, 1, 'Feb', 0, None, None]","[37000, 1, 'Jan', 0, None, None]","[41592, 1, 'Nov', 0, None, None]","[42360, 1, 'Feb', 0, None, None]","[46500, 1, 'Feb', 0, None, None]","[27700, 1, 'Oct', 0, None, None]","[34000, 1, 'Nov', 0, None, None]","[29200, 1, 'Feb', 0, None, None]","[40000, 1, 'Dec', 0, None, None]","[25400, 1, 'Dec', 0, None, None]","[30100, 1, 'Dec', 0, None, None]","[28000, 1, 'Jan', 0, None, None]","[34700, 1, 'Jan', 0, None, None]","[25000, 1, 'Dec', 0, None, None]","[12000, 1, 'Feb', 0, None, None]","[16040, 1, 'Jan', 0, None, None]","[22000, 1, 'Jan', 0, None, None]","[17500, 1, 'Nov', 0, None, None]","[52100, 1, 'Dec', 0, None, None]","[55000, 1, 'Jan', 0, None, None]","[30000, 1, 'Dec', 0, None, None]","[32000, 1, 'Jan', 0, None, None]","[64000, 1, 'Dec', 0, None, None]","[40501, 1, 'Feb', 0, None, None]","[55430, 1, 'Feb', 0, None, None]","[52015, 1, 'Jan', 0, None, None]","[59650, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[42120, 1, 'Jan', 0, None, None]","[60330, 1, 'Jan', 0, None, None]","[45756, 1, 'Feb', 0, None, None]","[58463, 1, 'Nov', 0, None, None]","[40170, 1, 'Jan', 0, None, None]","[43020, 1, 'Dec', 0, None, None]","[30480, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[34600, 1, 'Dec', 0, None, None]","[41270, 1, 'Nov', 0, None, None]","[23115, 1, 'Jan', 0, None, None]","[44030, 1, 'Jan', 0, None, None]","[41462, 1, 'Nov', 0, None, None]","[59370, 1, 'Feb', 0, None, None]","[36310, 1, 'Dec', 0, None, None]","[41456, 1, 'Jan', 0, None, None]","[44271, 1, 'Dec', 0, None, None]","[68334, 1, 'Dec', 0, None, None]","[68577, 1, 'Nov', 0, None, None]","[49105, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']",2020-01-19 18:07:23
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[13544, 1, 'Dec', 0, None, None]","[26245, 1, 'Jan', 0, None, None]","[23486, 1, 'Dec', 0, None, None]","[24906, 1, 'Jan', 0, None, None]","[30311, 1, 'Feb', 0, None, None]","[22731, 1, 'Nov', 0, None, None]","[17820, 1, 'Feb', 0, None, None]","[20124, 1, 'Feb', 0, None, None]","[35151, 1, 'Jan', 0, None, None]","[23007, 1, 'Nov', 0, None, None]","[28643, 1, 'Jan', 0, None, None]","[29502, 1, 'Feb', 0, None, None]","[13296, 1, 'Dec', 0, None, None]","[18893, 1, 'Dec', 0, None, None]","[34987, 1, 'Feb', 0, None, None]","[23892, 1, 'Dec', 0, None, None]","[24309, 1, 'Nov', 0, None, None]","[25893, 1, 'Dec', 0, None, None]","[29925, 1, 'Dec', 0, None, None]","[38556, 1, 'Jan', 0, None, None]","[22968, 2, 'Feb', 0, None, None]","[20217, 1, 'Dec', 0, None, None]","[37613, 1, 'Nov', 0, None, None]","[29665, 1, 'Jan', 0, None, None]","[37006, 1, 'Jan', 0, None, None]","[38501, 1, 'Dec', 0, None, None]","[48111, 1, 'Dec', 0, None, None]","[29019, 1, 'Feb', 0, None, None]","[44907, 1, 'Jan', 0, None, None]","[48104, 1, 'Jan', 0, None, None]","[54205, 1, 'Jan', 0, None, None]","[27318, 2, 'Jan', 0, None, None]","[40838, 1, 'Dec', 0, None, None]","[39889, 1, 'Jan', 0, None, None]","[33335, 1, 'Jan', 0, None, None]","[34941, 1, 'Dec', 0, None, None]","[28347, 2, 'Dec', 0, None, None]","[23217, 2, 'Dec', 0, None, None]","[16950, 1, 'Nov', 0, None, None]","[25396, 1, 'Nov', 0, None, None]","[31070, 1, 'Dec', 0, None, None]","[30685, 1, 'Dec', 0, None, None]","[39469, 1, 'Dec', 0, None, None]","[28199, 1, 'Dec', 0, None, None]","[30937, 1, 'Jan', 0, None, None]","[18407, 1, 'Feb', 0, None, None]",2020-01-19 18:07:23
Severn Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[11559, 1, 'Dec', 0, None, None]","[30485, 1, 'Jan', 0, None, None]","[36181, 1, 'Nov', 0, None, None]","[64314, 1, 'Jan', 0, None, None]","[50062, 1, 'Dec', 0, None, None]","[59288, 1, 'Jan', 0, None, None]","[42052, 1, 'Jan', 0, None, None]","[32056, 1, 'Nov', 0, None, None]","[50526, 1, 'Feb', 0, None, None]","[34050, 1, 'Feb', 0, None, None]","[36450, 1, 'Jan', 0, None, None]","[50855, 1, 'Jan', 0, None, None]","[26916, 1, 'Jan', 0, None, None]","[56830, 1, 'Feb', 0, None, None]","[37746, 2, 'Jan', 0, None, None]","[34193, 2, 'Jan', 0, None, None]","[25410, 2, 'Jan', 0, None, None]","[44580, 1, 'Jan', 0, None, None]","[44311, 1, 'Feb', 0, None, None]","[44170, 2, 'Dec', 0, None, None]","[58705, 1, 'Feb', 0, None, None]","[42056, 1, 'Jan', 0, None, None]","[35611, 2, 'Feb', 0, None, None]","[41209, 1, 'Jan', 0, None, None]","[50638, 1, 'Jan', 0, None, None]","[26150, 2, 'Jan', 0, None, None]","[29420, 1, 'Jan', 0, None, None]","[26851, 2, 'Jan', 0, None, None]","[37172, 2, 'Dec', 0, None, None]","[20700, 2, 'Dec', 0, None, None]","[17417, 2, 'Feb', 0, None, None]","[20401, 1, 'Dec', 0, None, None]","[25734, 1, 'Jan', 0, None, None]","[23801, 1, 'Jan', 0, None, None]","[16069, 2, 'Dec', 0, None, None]","[19561, 1, 'Feb', 0, None, None]","[16625, 1, 'Dec', 0, None, None]","[16072, 2, 'Nov', 0, None, None]","[25903, 1, 'Nov', 0, None, None]","[21640, 1, 'Jan', 0, None, None]","[31937, 1, 'Jan', 0, None, None]","[29338, 1, 'Feb', 0, None, None]","[23241, 1, 'Dec', 0, None, None]","[20248, 1, 'Dec', 0, None, None]","[21334, 1, 'Jan', 0, None, None]","[34489, 1, 'Dec', 0, None, None]","[36131, 1, 'Jan', 0, None, None]","[33741, 1, 'Jan', 0, None, None]",2020-01-19 18:07:23
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[32348, 1, 'Jan', 0, None, None]","[46758, 1, 'Jan', 0, None, None]","[60076, 1, 'Mar', 0, None, None]","[71441, 1, 'Apr', 0, None, None]","[52829, 1, 'Sep', 0, None, None]","[22400, 1, 'Jan', 0, None, None]","[30971, 1, 'Jan', 0, None, None]","[22991, 1, 'Jan', 0, None, None]","[23748, 1, 'Jan', 0, None, None]","[36983, 1, 'Dec', 0, None, None]","[40401, 1, 'Mar', 0, None, None]","[41269, 1, 'Nov', 0, None, None]","[29082, 1, 'Jan', 0, None, None]","[27044, 1, 'Feb', 0, None, None]","[38139, 1, 'Mar', 0, None, None]","[41105, 1, 'Dec', 0, None, None]","[37257, 1, 'Feb', 0, None, None]","[46239, 1, 'Feb', 0, None, None]","[65679, 1, 'Nov', 0, None, None]","[56510, 1, 'Feb', 0, None, None]","[54328, 1, 'Sep', 0, None, None]","[57781, 1, 'Oct', 0, None, None]","[37561, 1, 'Sep', 0, None, None]","[38406, 1, 'May', 0, None, None]","[38235, 1, 'Mar', 0, None, None]","[41487, 2, 'Nov', 0, None, None]","[38775, 1, 'Oct', 0, None, None]","[36054, 1, 'Nov', 0, None, None]","[32556, 1, 'Dec', 0, None, None]","[45349, 1, 'May', 0, None, None]","[35470, 1, 'Sep', 0, None, None]","[33118, 1, 'Apr', 0, None, None]","[44518, 1, 'Sep', 0, None, None]","[39731, 1, 'May', 0, None, None]","[42361, 1, 'Sep', 0, None, None]","[35468, 1, 'Jul', 0, None, None]","[25913, 1, 'Dec', 0, None, None]","[24523, 1, 'Dec', 0, None, None]","[24444, 1, 'Apr', 0, None, None]","[33181, 1, 'Jul', 0, None, None]","[26136, 1, 'Oct', 0, None, None]","[18821, 1, 'Oct', 0, None, None]","[19751, 1, 'Apr', 0, None, None]","[25310, 1, 'Jul', 0, None, None]","[31468, 1, 'Jul', 0, None, None]","[22802, 1, 'Aug', 0, None, None]","[20919, 1, 'Aug', 0, None, None]","[31104, 1, 'Nov', 0, None, None]",2020-01-19 18:07:23
Severn Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8259, 1, 'Dec', 0, None, None]","[27485, 1, 'Jan', 0, None, None]","[35481, 1, 'Nov', 0, None, None]","[33176, 1, 'Nov', 0, None, None]","[34672, 1, 'Dec', 0, None, None]","[44618, 1, 'Dec', 0, None, None]","[35042, 1, 'Jan', 0, None, None]","[30796, 1, 'Nov', 0, None, None]","[31490, 1, 'Dec', 0, None, None]","[3595, 1, 'Nov', 0, None, None]","[14850, 1, 'Jan', 0, None, None]","[25891, 1, 'Dec', 0, None, None]","[15260, 1, 'Feb', 0, None, None]","[38720, 1, 'Feb', 0, None, None]","[20346, 1, 'Jan', 0, None, None]","[21491, 1, 'Feb', 0, None, None]","[19235, 1, 'Jan', 0, None, None]","[17280, 1, 'Feb', 0, None, None]","[21990, 1, 'Feb', 0, None, None]","[34070, 1, 'Dec', 0, None, None]","[33561, 1, 'Nov', 0, None, None]","[27790, 1, 'Dec', 0, None, None]","[26820, 2, 'Feb', 0, None, None]","[26624, 1, 'Jan', 0, None, None]","[35428, 1, 'Jan', 0, None, None]","[20812, 1, 'Jan', 0, None, None]","[24180, 1, 'Jan', 0, None, None]","[17151, 2, 'Jan', 0, None, None]","[28082, 2, 'Dec', 0, None, None]","[19655, 2, 'Dec', 0, None, None]","[17347, 2, 'Feb', 0, None, None]","[19433, 1, 'Dec', 0, None, None]","[23869, 1, 'Jan', 0, None, None]","[21276, 1, 'Jan', 0, None, None]","[12410, 1, 'Nov', 0, None, None]","[13284, 1, 'Jan', 0, None, None]","[14025, 1, 'Dec', 0, None, None]","[7882, 2, 'Nov', 0, None, None]","[17186, 1, 'Dec', 0, None, None]","[15132, 1, 'Jan', 0, None, None]","[26067, 1, 'Jan', 0, None, None]","[20527, 1, 'Nov', 0, None, None]","[16085, 1, 'Jan', 0, None, None]","[14845, 1, 'Dec', 0, None, None]","[17235, 1, 'Jan', 0, None, None]","[31084, 1, 'Dec', 0, None, None]","[30677, 1, 'Jan', 0, None, None]","[26720, 1, 'Jan', 0, None, None]",2020-01-19 18:07:23
Ribble Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[22011, 1, 'Dec', 0, None, None]","[31520, 1, 'Dec', 0, None, None]","[44790, 1, 'Feb', 0, None, None]","[68921, 1, 'Nov', 0, None, None]","[98420, 1, 'Dec', 0, None, None]","[48053, 1, 'Dec', 0, None, None]","[61100, 1, 'Dec', 0, None, None]","[22875, 2, 'Dec', 0, None, None]","[23782, 1, 'Dec', 0, None, None]","[27101, 1, 'Feb', 0, None, None]","[23572, 1, 'Dec', 0, None, None]","[15094, 1, 'Jan', 0, None, None]","[20058, 1, 'Oct', 0, None, None]","[21924, 1, 'Apr', 0, None, None]","[37485, 1, 'Apr', 0, None, None]","[16370, 1, 'Aug', 0, None, None]","[17993, 1, 'Mar', 0, None, None]","[15143, 2, 'Aug', 0, None, None]","[21788, 2, 'Aug', 0, None, None]","[22481, 1, 'Aug', 0, None, None]","[34491, 2, 'Jul', 0, None, None]","[43213, 1, 'Oct', 0, None, None]","[31116, 1, 'May', 0, None, None]","[51415, 1, 'Nov', 0, None, None]","[62743, 1, 'May', 0, None, None]","[49909, 2, 'Apr', 0, None, None]","[45973, 1, 'Feb', 0, None, None]","[45039, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[32570, 1, 'May', 0, None, None]","[50729, 2, 'May', 0, None, None]","[36473, 2, 'Nov', 0, None, None]","[11141, 1, 'Dec', 0, None, None]","[30186, 2, 'Aug', 0, None, None]","[24445, 1, 'Jan', 0, None, None]","[27847, 1, 'May', 0, None, None]","[29305, 1, 'May', 0, None, None]","[33506, 1, 'Aug', 0, None, None]","[52551, 1, 'May', 0, None, None]","[45662, 2, 'May', 0, None, None]","[28940, 1, 'May', 0, None, None]","[39744, 2, 'Oct', 0, None, None]","[62080, 2, 'Apr', 0, None, None]","[18334, 1, 'Apr', 0, None, None]","[10592, 2, 'Oct', 0, None, None]","[22907, 1, 'Aug', 0, None, None]","[29278, 1, 'May', 0, None, None]","[18492, 1, 'Dec', 0, None, None]","[21313, 2, 'Jul', 0, None, None]",2020-01-19 18:07:23
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[54230, 1, 'Dec', 0, None, None]","[45540, 1, 'Jan', 0, None, None]","[45570, 1, 'Jan', 0, None, None]","[53590, 1, 'Jan', 0, None, None]","[59750, 1, 'Oct', 0, None, None]","[54350, 1, 'Jan', 0, None, None]","[56600, 1, 'Jan', 0, None, None]","[54200, 1, 'Jan', 0, None, None]",nan,"[59500, 1, 'Jan', 0, None, None]","[58500, 1, 'Jan', 0, None, None]",nan,"[28223, 1, 'Feb', 0, None, None]","[31134, 1, 'Dec', 0, None, None]","[50211, 1, 'Feb', 0, None, None]","[33912, 1, 'Dec', 0, None, None]","[36404, 2, 'Mar', 0, None, None]","[40409, 1, 'Dec', 0, None, None]","[42987, 1, 'Feb', 0, None, None]","[54802, 1, 'Nov', 0, None, None]","[76602, 1, 'Jan', 0, None, None]","[72113, 1, 'Jan', 0, None, None]","[49285, 1, 'Jan', 0, None, None]","[45346, 1, 'Feb', 0, None, None]","[58949, 1, 'Nov', 0, None, None]","[41886, 1, 'Mar', 0, None, None]","[57720, 1, 'Feb', 0, None, None]","[71731, 1, 'Dec', 0, None, None]","[38865, 1, 'Dec', 0, None, None]","[28411, 2, 'Jan', 0, None, None]","[27645, 1, 'Nov', 0, None, None]","[18947, 1, 'Dec', 0, None, None]","[18214, 1, 'Feb', 0, None, None]","[18847, 1, 'Jan', 0, None, None]","[17848, 1, 'Feb', 0, None, None]","[27110, 2, 'Feb', 0, None, None]","[38248, 1, 'Dec', 0, None, None]","[24409, 1, 'Dec', 0, None, None]","[20289, 1, 'Dec', 0, None, None]","[31084, 1, 'Jan', 0, None, None]","[19942, 1, 'Nov', 0, None, None]","[32769, 1, 'Jan', 0, None, None]","[17287, 1, 'Dec', 0, None, None]","[16873, 1, 'Jan', 0, None, None]","[18133, 1, 'Nov', 0, None, None]","[17460, 1, 'Jan', 0, None, None]","[19053, 1, 'Jan', 0, None, None]","[23168, 1, 'Feb', 0, None, None]",2020-01-19 18:07:23
Dee Estuary (England and Wales),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[41470, 1, 'Nov', 0, None, None]","[39590, 1, 'Jan', 0, None, None]","[37713, 1, 'Oct', 0, None, None]","[42890, 1, 'Jan', 0, None, None]","[24774, 1, 'Aug', 0, None, None]","[46826, 1, 'Dec', 0, None, None]","[44671, 1, 'Feb', 0, None, None]","[7500, 2, 'Feb', 0, None, None]","[5000, 2, 'Dec', 0, None, None]","[31000, 1, 'Dec', 0, None, None]","[29725, 1, 'Nov', 0, None, None]","[18895, 1, 'Nov', 0, None, None]","[21135, 1, 'Dec', 0, None, None]","[21950, 1, 'Dec', 0, None, None]","[12000, 1, 'Nov', 0, None, None]","[12230, 1, 'Nov', 0, None, None]","[12300, 1, 'Jan', 0, None, None]","[19490, 1, 'Jan', 0, None, None]","[16772, 1, 'Jan', 0, None, None]","[14710, 1, 'Dec', 0, None, None]","[24670, 1, 'Dec', 0, None, None]","[31368, 1, 'Jan', 0, None, None]","[21223, 1, 'Dec', 0, None, None]","[16378, 1, 'Jan', 0, None, None]","[25383, 2, 'Dec', 0, None, None]","[24695, 2, 'Jan', 0, None, None]","[31430, 1, 'Jan', 0, None, None]","[30318, 1, 'Nov', 0, None, None]","[31619, 1, 'Dec', 0, None, None]","[21627, 1, 'Nov', 0, None, None]","[41656, 1, 'Nov', 0, None, None]","[32532, 1, 'Dec', 0, None, None]","[21266, 1, 'Feb', 0, None, None]","[41679, 1, 'Dec', 0, None, None]","[16878, 1, 'Feb', 0, None, None]","[19867, 1, 'Feb', 0, None, None]","[15584, 1, 'Dec', 0, None, None]","[12094, 1, 'Feb', 0, None, None]","[12746, 1, 'Nov', 0, None, None]","[9654, 1, 'Feb', 0, None, None]","[18574, 1, 'Dec', 0, None, None]","[15860, 1, 'Feb', 0, None, None]","[11420, 1, 'Jan', 0, None, None]","[12004, 1, 'Nov', 0, None, None]","[24232, 1, 'Aug', 0, None, None]","[18419, 1, 'Dec', 0, None, None]","[14981, 1, 'Dec', 0, None, None]","[23601, 1, 'Feb', 0, None, None]",2020-01-19 18:07:23
Blackwater Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[11500, 2, 'Oct', 0, None, None]",nan,"[5800, 1, 'Feb', 0, None, None]","[15770, 1, 'Feb', 0, None, None]","[15969, 1, 'Nov', 0, None, None]","[11443, 1, 'Dec', 0, None, None]","[12053, 1, 'Jan', 0, None, None]","[7910, 1, 'Mar', 0, None, None]","[15295, 1, 'Feb', 0, None, None]","[9128, 1, 'Nov', 0, None, None]","[12202, 1, 'Nov', 0, None, None]","[21558, 1, 'Jan', 0, None, None]","[10655, 2, 'Jan', 0, None, None]","[11400, 1, 'Nov', 0, None, None]","[21800, 2, 'Dec', 0, None, None]","[16700, 1, 'Jan', 0, None, None]","[16400, 1, 'Feb', 0, None, None]","[18790, 1, 'Oct', 0, None, None]","[19785, 1, 'Dec', 0, None, None]","[11708, 1, 'Oct', 0, None, None]","[19025, 1, 'Feb', 0, None, None]","[20900, 1, 'Feb', 0, None, None]","[26425, 2, 'Dec', 0, None, None]","[23621, 1, 'Jan', 0, None, None]","[25393, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[24605, 1, 'Jan', 0, None, None]","[33512, 1, 'Feb', 0, None, None]","[22304, 1, 'Jan', 0, None, None]","[22890, 2, 'Jan', 0, None, None]","[16792, 1, 'Feb', 0, None, None]","[37550, 2, 'Dec', 0, None, None]","[15004, 1, 'Nov', 0, None, None]","[18806, 1, 'Feb', 0, None, None]","[13958, 1, 'Jan', 0, None, None]","[16007, 2, 'Dec', 0, None, None]","[15178, 1, 'Oct', 0, None, None]","[9581, 1, 'Jan', 0, None, None]","[15015, 1, 'Dec', 0, None, None]","[17966, 1, 'Dec', 0, None, None]","[19606, 1, 'Jan', 0, None, None]","[17435, 1, 'Jan', 0, None, None]","[17949, 1, 'Nov', 0, None, None]","[16129, 1, 'Jan', 0, None, None]","[16876, 1, 'Nov', 0, None, None]","[19380, 1, 'Jan', 0, None, None]","[17374, 1, 'Dec', 0, None, None]","[14670, 1, 'Jan', 0, None, None]","[15555, 1, 'Dec', 0, None, None]",2020-01-19 18:07:23
Dee Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[41470, 1, 'Nov', 0, None, None]","[39590, 1, 'Jan', 0, None, None]","[37713, 1, 'Oct', 0, None, None]","[42890, 1, 'Jan', 0, None, None]","[24774, 1, 'Aug', 0, None, None]","[46826, 1, 'Dec', 0, None, None]","[44671, 1, 'Feb', 0, None, None]","[7500, 2, 'Feb', 0, None, None]","[5000, 2, 'Dec', 0, None, None]","[31000, 1, 'Dec', 0, None, None]","[29725, 1, 'Nov', 0, None, None]","[18895, 1, 'Nov', 0, None, None]","[21135, 1, 'Dec', 0, None, None]","[21950, 1, 'Dec', 0, None, None]","[12000, 1, 'Nov', 0, None, None]","[12230, 1, 'Nov', 0, None, None]","[12300, 1, 'Jan', 0, None, None]","[19490, 1, 'Jan', 0, None, None]","[16772, 1, 'Jan', 0, None, None]","[14710, 1, 'Dec', 0, None, None]","[24670, 1, 'Dec', 0, None, None]","[31368, 1, 'Jan', 0, None, None]","[21223, 1, 'Dec', 0, None, None]","[14016, 1, 'Jan', 0, None, None]","[20321, 2, 'Dec', 0, None, None]","[17060, 2, 'Jan', 0, None, None]","[28200, 1, 'Jan', 0, None, None]","[26233, 1, 'Nov', 0, None, None]","[29213, 1, 'Dec', 0, None, None]","[19220, 1, 'Nov', 0, None, None]","[36161, 1, 'Nov', 0, None, None]","[29879, 1, 'Nov', 0, None, None]","[19861, 1, 'Nov', 0, None, None]","[40623, 1, 'Dec', 0, None, None]","[14682, 1, 'Feb', 0, None, None]","[16351, 1, 'Feb', 0, None, None]","[14484, 1, 'Dec', 0, None, None]","[9285, 1, 'Feb', 0, None, None]","[11202, 1, 'Nov', 0, None, None]","[9333, 1, 'Feb', 0, None, None]","[14558, 1, 'Dec', 0, None, None]","[13984, 1, 'Feb', 0, None, None]","[10359, 1, 'Jan', 0, None, None]","[10638, 1, 'Jan', 0, None, None]","[24047, 1, 'Aug', 0, None, None]","[16232, 1, 'Dec', 0, None, None]","[14029, 1, 'Dec', 0, None, None]","[16086, 1, 'Feb', 0, None, None]",2020-01-19 18:07:23
