Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
North Norfolk Coast,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,113,179.0,97,(113),198,180.0,197,218.0,318.0,233,126,144.0,126.0,211,125,162,133,153,173,103,148,113,186,253,400,Sep,220,220,1,2019-11-28 11:54:39
Lyndridge Farm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,140,152,141,161,162,Sep,151,151,1,2019-11-28 11:54:39
Breydon Water and Berney Marshes,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0,0.0,4,0,17,15.0,12,25.0,48.0,63,65,82.0,85.0,55,134Supplementary roost count under the WeBS Core Count SurveyWeBS,83Supplementary visit under the WeBS Core Count SurveyWeBS,256Supplementary roost count under the WeBS Core Count SurveyWeBS,192Supplementary roost count under the WeBS Core Count SurveyWeBS,115,108Supplementary visit under the WeBS Core Count SurveyWeBS,128Supplementary visit under the WeBS Core Count SurveyWeBS,149Supplementary roost count under the WeBS Core Count SurveyWeBS,138Supplementary roost count under the WeBS Core Count SurveyWeBS,109Supplementary visit under the WeBS Core Count SurveyWeBS,104Supplementary roost count under the WeBS Core Count SurveyWeBS,Sep,126,126,1,2019-11-28 11:54:39
Rutland Water,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,13,31.0,27,35,46,40.0,52,54.0,60.0,58,70,46.0,53.0,64,56,96,63,77,122,133,127,145,124,107,107,Sep,122,122,1,2019-11-28 11:54:39
Serpentine and Long Water and Round Pond - Kensington,0.0,0,0.0,0.0,0.0,nan,nan,0.0,nan,nan,nan,0.0,nan,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(42),74,118,107,157Supplementary visit under the WeBS Core Count SurveyWeBS,Oct,114,114,1,2019-11-28 11:54:39
"The Long Water, Hampton Court Park (Home Park)",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57,133,Sep,95,95,1,2019-11-28 11:54:39
Regents Park Lake,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,78,65,Jun,72,72,1,2019-11-28 11:54:39
Queen Mary Reservoir,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,(0),0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,47,2,20,5,11,2,4,35,75,88,92,Oct,59,59,1,2019-11-28 11:54:39
R.Thames: Moulsford to Streatley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33,16,18,88,45,81,Sep,50,50,1,2019-11-28 11:54:39
Middle Yare Marshes,nan,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,(6),9.0,6,4,(52),16.0,44,45.0,45.0,72,24,47.0,26.0,65,81,(30),50,51,42,106,73,72,28,63,11,Jan,49,49,1,2019-11-28 11:54:39
