Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Morecambe Bay,0.0,0.0,0,0,0.0,0,0,0.0,0.0,(0),0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,2,4,14,16.0,21,21.0,23.0,21,20,16.0,15.0,14.0,10,9,7,5.0,5.0,5,5.0,Jul,5,5,1,2019-11-28 05:16:46
Abberton Reservoir,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,(0),0,0.0,0.0,0.0,0,0,0,6.0,0.0,0,6.0,Jul,2,2,1,2019-11-28 05:16:46
Abbots Moss (Cumbria),nan,nan,nan,nan,nan,nan,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,nan,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,nan,nan,0,0,1,2019-11-28 05:16:46
Bowood Lake,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,nan,0,0,1,2019-11-28 05:16:46
Chichester Harbour,0.0,0.0,0,(0),0.0,(0),(0),0.0,0.0,0,(0),0,0.0,0.0,0.0,(0),(0),0,1,1,1.0,1,(0),0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,nan,0,0,1,2019-11-28 05:16:46
College Lake Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,1,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,nan,0,0,1,2019-11-28 05:16:46
Colne Valley Gravel Pits,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,1,0,(0),0.0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,nan,0,0,1,2019-11-28 05:16:46
Colwick Country Park,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1.0,1,nan,nan,nan,nan,nan,0.0,0,0,0.0,nan,0.0,0,(0),0,nan,nan,nan,0.0,nan,0,0,1,2019-11-28 05:16:46
Cowden Loch and Ponds,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0.0,1,0,0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,nan,0,0,1,2019-11-28 05:16:46
Derwent Water,0.0,0.0,0,0,nan,nan,0,0.0,nan,0,nan,nan,0.0,0.0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,nan,0,0,1,2019-11-28 05:16:46
