Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Blackwater Estuary,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
Clifford Hill Gravel Pits Consolidated,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
Copmere,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
Dee Estuary (England and Wales),0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
Dee Estuary (English counties),0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
Dee Estuary (Welsh counties),0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
Exe Estuary,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
Humber Estuary,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
Merryton Haughs,0,0,0,nan,nan,nan,nan,0,0,0,0,0,(0),nan,nan,nan,0,(0),nan,nan,nan,0,0,1,2019-11-22 02:55:34
Minsmere,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
Southampton Water,0,0,0,0.0,0.0,0.0,0.0,0,0,0,(0),0,0,0.0,1.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
Thames Estuary,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:55:34
END
