Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Middle Tame Valley Gravel Pits,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,(0),0,0,0,0,4,Dec,1,1,1,2019-11-24 17:45:38
Blagdon Lake,2,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,(0),0.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Chew Valley Lake,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,nan,0,0,1,2019-11-24 17:45:38
Chichester Gravel Pits,0,0.0,0,0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Chichester Harbour,0,0.0,(0),0,0.0,2.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Ditchford Gravel Pits,(0),0.0,0,0,nan,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Dungeness and Rye Bay,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Exeter River Valley Park and Matford Marshes,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,(0),(0),(0),0,(0),nan,0,0,1,2019-11-24 17:45:38
Godmanchester Nature Reserve,0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,nan,nan,nan,0,0,0,0,(0),0,0,0,nan,0,0,1,2019-11-24 17:45:38
Hardley Flood,nan,nan,0,nan,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,(0),0,0,nan,nan,nan,0,0,1,2019-11-24 17:45:38
Hollowell Reservoir,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,1,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Loch Ardinning,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,nan,nan,0,nan,0,0,1,2019-11-24 17:45:38
Mersey Estuary,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,Nov,0,0,1,2019-11-24 17:45:38
Nene Washes,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,(0),0,0.0,0,0,0,0,0,0,(0),0,nan,0,0,1,2019-11-24 17:45:38
Poole Harbour,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,(0),0,0,nan,0,0,1,2019-11-24 17:45:38
Ravensthorpe Reservoir,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Royal George Mill Reservoir,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Southampton Water,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,(0),0.0,0,0,0,0,1,0,0,0,nan,0,0,1,2019-11-24 17:45:38
St Gothian Sands,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,1,0,0,nan,0,0,1,2019-11-24 17:45:38
Swithland Reservoir,0,0.0,0,(0),0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Tees Estuary,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
The Wash,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Thrapston Gravel Pits,0,0.0,0,0,0.0,0.0,nan,nan,nan,nan,0,0.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Tweed Estuary,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Vyne Floods,nan,nan,nan,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Watermead Lakes,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,nan,0,0,1,2019-11-24 17:45:38
Whisby Nature Reserve,0,0.0,(0),0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,1,0,nan,nan,0,0,1,2019-11-24 17:45:38
Whisby and North Hykeham Gravel Pits,0,0.0,(0),0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,(0),0,0,(0),(0),1,0,0,nan,0,0,1,2019-11-24 17:45:38
END
