Site▲▼,1998▲▼,1999▲▼,2000▲▼,2001▲▼,2002▲▼,2003▲▼,2004▲▼,2005▲▼,2006▲▼,2007▲▼,2008▲▼,2009▲▼,2010▲▼,2011▲▼,2012▲▼,2013▲▼,2014▲▼,2015▲▼,2016▲▼,2017▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼
Fairburn Ings,3,10,4,0,2,2,0,0,1,1,1,3,2,1,(4),6,7,1,8,0,nan,4,4,1,2019-11-21 13:53:18
North Norfolk Coast,2,7,3,4,4,3,4,5,1,11,1,1,0,3,4,5,2,4,2,5,Jun,4,4,1,2019-11-21 13:53:18
Severn Estuary,3,2,4,4,7,2,1,2,4,1,4,40Supplementary visit under the WeBS Core Count SurveyWeBS,0,1,3,1,6,6,6,2,May,4,4,1,2019-11-21 13:53:18
Severn Estuary (English counties),3,2,0,2,1,1,1,2,1,1,4,0,0,1,3,1,6,6,6,1,Mar,4,4,1,2019-11-21 13:53:18
Stodmarsh,1,7,12,30,5,7,0,2,1,2,0,5,4,3,4,4,9,3,0,4,Mar,4,4,1,2019-11-21 13:53:18
Swillington Ings,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,14,1,0,3,Jul,4,4,1,2019-11-21 13:53:18
Buckden and Stirtloe Pits,1,0,0,0,0,nan,nan,nan,nan,nan,0,0,1,0,1,nan,8,0,(0),0,nan,3,3,1,2019-11-21 13:53:18
Burwell Fen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,7,2,Sep,3,3,1,2019-11-21 13:53:18
Chew Valley Lake,9,3,5,2,1,3,1,4,6,1,1,4,4,4,3,2,5,4,3,3,Aug,3,3,1,2019-11-21 13:53:18
"Combe Haven, Crowhurst",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(3),Mar,3,3,1,2019-11-21 13:53:18
Dearne Valley,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,1,4,2,4,4,Aug,3,3,1,2019-11-21 13:53:18
Dungeness and Rye Bay,12,8,8,14,9,(5),4,8,9,9,8,7,2,2,5,3,3,4,1,2,Sep,3,3,1,2019-11-21 13:53:18
Humber Estuary,0,3,0,0,2,2,1,6,1,1,0,0,1,1,0,1,1,2,4,6,Aug,3,3,1,2019-11-21 13:53:18
Ouse Fen and Pits (Hanson/RSPB),0,1Supplementary visit under the WeBS Core Count SurveyWeBS,3,0,nan,0,0,0,3,0,0,2,2,4,1,0,5,6,2,1,Jun,3,3,1,2019-11-21 13:53:18
Tees Estuary,5,11,3,1,1,2,4,2,2,5,6,1,1,4,4,1,5,4,2,1,Aug,3,3,1,2019-11-21 13:53:18
Tophill Low Reservoirs,3,2,1,0,2,1,7Supplementary visit under the WeBS Core Count SurveyWeBS,2,2,11Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,0,(2),0,7,2,6,2,Apr,3,3,1,2019-11-21 13:53:18
Abberton Reservoir,0,0,(0),0,(0),1,2,2,(4),(0),0,0,1,0,5,2,5,4,1,0,nan,2,2,1,2019-11-21 13:53:18
