Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Lower Derwent Ings,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[617, 1, 'Jan', 0, None, None]","[1750, 1, 'Dec', 0, None, None]","[1105, 1, 'Jan', 0, None, None]","[271, 1, 'Dec', 0, None, None]",nan,nan,"[2200, 1, 'Jan', 0, None, None]","[777, 1, 'Feb', 0, None, None]","[1041, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']",nan,"[500, 1, 'Jan', 0, None, None]","[1030, 1, 'Jan', 0, None, None]","[870, 1, 'Jan', 0, None, None]","[1000, 1, 'Jan', 0, None, None]","[1740, 1, 'Mar', 0, None, None]","[1860, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[4700, 1, 'Feb', 0, None, None]","[4300, 1, 'Feb', 0, None, None]","[10000, 1, 'Feb', 0, None, None]","[5000, 1, 'Jan', 0, None, None]",nan,2020-01-19 18:13:52
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[971, 1, 'Oct', 0, None, None]","[2629, 1, 'Oct', 0, None, None]","[1150, 1, 'Sep', 0, None, None]","[1087, 2, 'Oct', 0, None, None]","[630, 1, 'Sep', 0, None, None]","[745, 1, 'Oct', 0, None, None]","[3025, 1, 'Oct', 0, None, None]","[1303, 1, 'Sep', 0, None, None]","[4515, 1, 'Oct', 0, None, None]","[1959, 1, 'Sep', 0, None, None]","[4628, 1, 'Oct', 0, None, None]","[1480, 1, 'Oct', 0, None, None]","[1773, 1, 'Sep', 0, None, None]","[1186, 1, 'Sep', 0, None, None]","[2131, 2, 'Oct', 0, None, None]","[1011, 1, 'Jul', 0, None, None]","[1726, 1, 'Oct', 0, None, None]","[1538, 1, 'Oct', 0, None, None]","[1128, 2, 'Feb', 0, None, None]","[660, 1, 'Jun', 0, None, None]","[559, 2, 'Sep', 0, None, None]","[484, 1, 'Jul', 0, None, None]","[1313, 1, 'Aug', 0, None, None]","[368, 1, 'Oct', 0, None, None]","[289, 1, 'Oct', 0, None, None]",2020-01-19 18:13:52
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[175, 2, 'Nov', 0, None, None]","[271, 1, 'Dec', 0, None, None]","[474, 1, 'Nov', 0, None, None]","[789, 1, 'Jan', 0, None, None]","[505, 1, 'Jan', 0, None, None]","[466, 1, 'Oct', 0, None, None]","[505, 1, 'Nov', 0, None, None]","[1530, 1, 'Jan', 0, None, None]","[412, 1, 'Jan', 0, None, None]","[1236, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[857, 1, 'Jan', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[1648, 1, 'Jan', 0, None, None]","[1972, 1, 'Oct', 0, None, None]","[1096, 1, 'Nov', 0, None, None]","[2107, 1, 'Oct', 0, None, None]","[1236, 1, 'Dec', 0, None, None]","[1431, 1, 'Nov', 0, None, None]","[835, 1, 'Sep', 0, None, None]","[361, 1, 'Nov', 0, None, None]","[421, 1, 'Jan', 0, None, None]","[534, 1, 'Sep', 0, None, None]","[617, 1, 'Dec', 0, None, None]","[561, 1, 'Dec', 0, None, None]","[394, 1, 'Nov', 0, None, None]","[530, 1, 'Nov', 0, None, None]",2020-01-19 18:13:52
Mersey Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,"[65, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[0, 1, '', 0, None, None]",nan,"[4, 1, 'Feb', 0, None, None]","[3, 1, 'Jul', 0, None, None]","[219, 1, 'Aug', 0, None, None]","[200, 1, 'Dec', 0, None, None]","[166, 1, 'Jun', 0, None, None]","[196, 1, 'Sep', 0, None, None]","[236, 1, 'Nov', 0, None, None]","[514, 1, 'Jan', 0, None, None]","[692, 1, 'Nov', 0, None, None]","[702, 2, 'Nov', 0, None, None]",2020-01-19 18:13:52
Tees Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1008, 1, 'Dec', 0, None, None]","[1887, 1, 'Oct', 0, None, None]","[1325, 1, 'Oct', 0, None, None]","[1068, 1, 'Oct', 0, None, None]","[1154, 1, 'Dec', 0, None, None]","[486, 1, 'Dec', 0, None, None]","[472, 1, 'Dec', 0, None, None]","[1564, 1, 'Oct', 0, None, None]","[1038, 2, 'Dec', 0, None, None]","[702, 1, 'Nov', 0, None, None]","[1523, 1, 'Nov', 0, None, None]","[1657, 1, 'Dec', 0, None, None]","[366, 1, 'Jan', 0, None, None]","[1028, 1, 'Jan', 0, None, None]","[668, 1, 'Nov', 0, None, None]","[971, 1, 'Sep', 0, None, None]","[1169, 1, 'Jan', 0, None, None]","[1268, 1, 'Dec', 0, None, None]","[602, 1, 'Dec', 0, None, None]","[785, 1, 'Oct', 0, None, None]","[592, 1, 'Dec', 0, None, None]","[254, 1, 'Dec', 0, None, None]","[197, 1, 'Dec', 0, None, None]","[279, 1, 'Oct', 0, None, None]","[896, 1, 'Nov', 0, None, None]",2020-01-19 18:13:52
Durham Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[365, 2, 'Nov', 0, None, None]","[59, 1, 'Jun', 0, None, None]","[624, 2, 'Sep', 0, None, None]","[350, 1, 'Oct', 0, None, None]","[452, 2, 'Dec', 0, None, None]","[257, 1, 'Sep', 0, None, None]","[239, 1, 'Oct', 0, None, None]","[106, 1, 'Aug', 0, None, None]","[16, 2, 'Dec', 0, None, None]","[21, 1, 'Aug', 0, None, None]","[41, 1, 'May', 0, None, None]","[684, 1, 'Oct', 0, None, None]","[776, 1, 'Oct', 0, None, None]","[658, 1, 'Nov', 0, None, None]","[35, 1, 'Aug', 0, None, None]","[99, 1, 'Jun', 0, None, None]","[139, 1, 'Feb', 0, None, None]","[227, 1, 'Sep', 0, None, None]","[113, 1, 'Dec', 0, None, None]","[289, 1, 'Nov', 0, None, None]","[116, 2, 'Oct', 0, None, None]","[282, 1, 'Nov', 0, None, None]","[963, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[175, 1, 'Sep', 0, None, None]","[326, 1, 'Nov', 0, None, None]",2020-01-19 18:13:52
Cotesbach Landfill Tip and A5 Lagoons,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[650, 1, 'Jan', 0, None, None]","[480, 1, 'Jan', 0, None, None]","[203, 1, 'Jan', 0, None, None]","[380, 1, 'Jan', 0, None, None]",2020-01-19 18:13:52
Cuckmere Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[350, 1, 'Nov', 0, None, None]","[600, 1, 'Nov', 0, None, None]","[400, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[440, 1, 'Jan', 0, None, None]","[70, 1, 'Feb', 0, None, None]","[750, 1, 'Dec', 0, None, None]","[170, 1, 'Mar', 0, None, None]","[590, 1, 'Jan', 0, None, None]",2020-01-19 18:13:52
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[653, 1, 'Oct', 0, None, None]","[624, 1, 'Nov', 0, None, None]","[554, 1, 'Nov', 0, None, None]","[626, 1, 'Dec', 0, None, None]","[668, 1, 'Dec', 0, None, None]","[907, 1, 'Aug', 0, None, None]","[451, 1, 'Jan', 0, None, None]","[716, 1, 'Nov', 0, None, None]","[331, 1, 'Dec', 0, None, None]","[353, 1, 'Nov', 0, None, None]","[322, 1, 'Aug', 0, None, None]","[296, 1, 'Nov', 0, None, None]","[313, 1, 'Sep', 0, None, None]","[466, 1, 'Jan', 0, None, None]","[280, 1, 'Jun', 0, None, None]","[411, 1, 'Oct', 0, None, None]","[487, 1, 'Oct', 0, None, None]","[633, 1, 'Nov', 0, None, None]","[494, 1, 'Oct', 0, None, None]","[430, 1, 'Oct', 0, None, None]","[413, 1, 'Dec', 0, None, None]","[377, 1, 'Dec', 0, None, None]","[353, 1, 'Oct', 0, None, None]","[492, 1, 'Oct', 0, None, None]","[378, 1, 'Aug', 0, None, None]",2020-01-19 18:13:52
Albert Village Tip and Donington Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[400, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[400, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,2020-01-19 18:13:52
