Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Nosterfield Gravel Pits,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,nan,nan,nan,254,368,nan,nan,(23),129,771,682,993,678,1084,1746,1338,2215,1663,1898,2819,1953.0,3885,2024.0,4001.0,2901,3634,3099,2641,3554,1479,Sep,2881,2881,1,2019-11-28 06:15:01
North Norfolk Coast,138.0,300.0,20.0,100.0,70.0,430.0,570.0,491.0,520.0,610.0,195.0,417.0,251,224,329,1153,1089,1204,1669,2177,1892,1837,3431,1850,1657,1767,1371,1435,1725,1270,2203.0,1159,1859.0,1852.0,2482,2425,2242,2218,3390,2647,Oct,2584,2584,1,2019-11-28 06:15:01
Loch Leven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0,0,0,55,0,0,0,0,946,(254),(340),340,360,143,0,0,550,700,606.0,1545,1364.0,1534.0,1484,2639,2339,3295,2566,876,Jul,2343,2343,1,2019-11-28 06:15:01
Tiree,nan,nan,nan,nan,nan,nan,7.0,70.0,0.0,nan,nan,0.0,nan,nan,nan,0,nan,"1,302Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","2,475Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","2,417Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","3,137Supplementary visit under the WeBS Core Count SurveyWeBS","3,109Supplementary visit under the WeBS Core Count SurveyWeBS","3,535Supplementary visit under the WeBS Core Count SurveyWeBS","3,674Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","3,516Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","3,563Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","4,005Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","3,892Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,965SNH countsSNH Kirkwall office","1,671SNH countsSNH Kirkwall office",Dec,1818,1818,1,2019-11-28 06:15:01
Lower Derwent Ings,29.0,44.0,109.0,218.0,193.0,179.0,381.0,458.0,359.0,389.0,560.0,250.0,550,475,450,840,658,1304,"(1,200)",1063,1200,763,841,807,1219,1047,927,1401,1780,1056,1472.0,2468,1980.0,1543.0,1554,1323,1869,2023,2150,1700,Nov,1813,1813,1,2019-11-28 06:15:01
Humber Estuary,1.0,125.0,12.0,60.0,20.0,29.0,62.0,9.0,19.0,65.0,97.0,99.0,202,144,456,109,160,126,459,854,419,553,590,648,1053,769,821,525,785,906,945.0,1401,1105.0,1916.0,1604,"(1,149)",1392,2233,1382,1614,Sep,1655,1655,1,2019-11-28 06:15:01
Dungeness and Rye Bay,20.0,0.0,22.0,36.0,62.0,42.0,58.0,59.0,79.0,116.0,140.0,395.0,187,210,199,257,354,455,541,489,503,544,530,699,599,807,976,702,773,1409,964.0,740,787.0,1562.0,828,1715,1566,1561,1147,1256,Aug,1449,1449,1,2019-11-28 06:15:01
Bute,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,110Argyll goose countsSNH",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,440SNH countsSNH Kirkwall office",nan,nan,1440,1440,1,2019-11-28 06:15:01
Ouse Fen and Pits (Hanson/RSPB),nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,135Supplementary visit under the WeBS Core Count SurveyWeBS,208Supplementary visit under the WeBS Core Count SurveyWeBS,185Supplementary visit under the WeBS Core Count SurveyWeBS,151Supplementary visit under the WeBS Core Count SurveyWeBS,162Supplementary visit under the WeBS Core Count SurveyWeBS,149,155Supplementary visit under the WeBS Core Count SurveyWeBS,235,183Supplementary visit under the WeBS Core Count SurveyWeBS,337,261Supplementary visit under the WeBS Core Count SurveyWeBS,nan,312,412,369,457,669,404,697.0,531,351.0,602.0,498,706,2384,1963,491,606,Aug,1230,1230,1,2019-11-28 06:15:01
Bolton-on-Swale Gravel Pits,nan,nan,nan,nan,nan,27.0,320.0,346.0,475.0,467.0,432.0,nan,682,765,745,1266,841,572,955,635,508,880,1110,699,1060,710,729,774,615,1585,716.0,732,630.0,1386.0,1890,965,1186,412,1690,1732,Sep,1197,1197,1,2019-11-28 06:15:01
Sutton North Fen Gravel Pit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,170Supplementary visit under the WeBS Core Count SurveyWeBS","1,920Supplementary visit under the WeBS Core Count SurveyWeBS",670,nan,1020,Nov,1195,1195,1,2019-11-28 06:15:01
Castle Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,22,367,160,700.0,310,160.0,10.0,240,750,1800,850,560,2000,Oct,1192,1192,1,2019-11-28 06:15:01
The Wash,11.0,6.0,2.0,1.0,92.0,4.0,26.0,15.0,125.0,105.0,147.0,161.0,424,350,404,570,505,511,747,314,683,476,563,967,896,1011,1038,1005,1337,1159,1200.0,1291,1362.0,2338.0,1049,1448,919,727,1096,1522,Sep,1142,1142,1,2019-11-28 06:15:01
Derwent Reservoir,2.0,40.0,0.0,41.0,41.0,17.0,nan,nan,132.0,130.0,370.0,299.0,411,419,263,416,214,214,198,442,360,285Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,530,482,544,(568),297,210,510WWT/JNCC National Grey Goose Censusnull,(387),689.0,713,624.0,844.0,540,760,1153,1150,1196,1280,Jun,1108,1108,1,2019-11-28 06:15:01
Sutton and Lound Gravel Pits,0.0,0.0,3.0,0.0,3.0,2.0,58.0,21.0,27.0,22.0,78.0,80.0,nan,nan,180,nan,356,458,570,650,nan,800,nan,1057,1176,407,950,424,494,563,1095.0,868,1131.0,772.0,1199,1200,857,1041,999,1303,Nov,1080,1080,1,2019-11-28 06:15:01
Abberton Reservoir,34.0,54.0,65.0,55.0,73.0,84.0,84.0,75.0,68.0,72.0,69.0,58.0,114,155,163,144,216,223,307,297,537,589,469,"(2,500)",80,77,278,665,103,239,212.0,870,801.0,1249.0,1509,934,1351,741,1205,1026,Sep,1051,1051,1,2019-11-28 06:15:01
Forth Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,5.0,(0),5,0,(0),9,26,46,22,22,105,13,15,60,139,209,276,23,(7),175.0,51,167.0,308.0,(199),536,1110,1684,1047,667,Aug,1009,1009,1,2019-11-28 06:15:01
Machrihanish,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,272Argyll goose countsSNH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,117SNH countsSNH Kirkwall office",891SNH countsSNH Kirkwall office,Dec,1004,1004,1,2019-11-28 06:15:01
Eccup Reservoir,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,56.0,0.0,0.0,3,59,44,105,105,259,393,368,550,600,742,760,1000,1084,750,546,825,264,397.0,641,800.0,750.0,1200,1280,1200,250,750,1500,Oct,996,996,1,2019-11-28 06:15:01
North Cave Wetlands,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102,180,258,231,369,102,232,244,850,191,356,700.0,857,340.0,262.0,1485,244,828,1319,1150,1434,Oct,995,995,1,2019-11-28 06:15:01
Rutland Water,0.0,5.0,7.0,21.0,21.0,50.0,55.0,74.0,75.0,106.0,123.0,96.0,124,139,78,106,158,166,302,323,175,340,269,266,440,352,440,489,481,480,586.0,554,611.0,833.0,783,850,773,1191,1003,1082,Oct,980,980,1,2019-11-28 06:15:01
Point of Ayre Gravel Pit,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,140,185,402,550,530,900,1165,1630.0,1250,56.0,nan,nan,nan,900,150,1500,1300,Sep,963,963,1,2019-11-28 06:15:01
Masham Gravel Pits,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,50,125,nan,nan,55,200,103,440,160,86,585,270,353,199,164,1,nan,nan,nan,nan,716.0,1300,1000,(750),784,"(1,100)","(1,000)",Oct,971,971,1,2019-11-28 06:15:01
Hoveringham and Bleasby Gravel Pits,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,15.0,0.0,4,3,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,0,120,68,374,299.0,790,461.0,831.0,861,515,929,1430,600,745,Nov,844,844,1,2019-11-28 06:15:01
Whitton Sand (Humber),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,830Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,830,830,1,2019-11-28 06:15:01
Heigham Holmes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,728,(430),465,373,538,(410),577,865,nan,300Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,524,1445,810,482,Sep,815,815,1,2019-11-28 06:15:01
Thames Estuary,110.0,200.0,186.0,153.0,229.0,146.0,145.0,143.0,207.0,235.0,229.0,294.0,267,223,287,321,499,273,293,252,319,(310),465,329,378,456,593,400,464,487,595.0,569,972.0,824.0,802,656,927,849,925,646,Dec,801,801,1,2019-11-28 06:15:01
Ballamona Beg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,nan,800,800,1,2019-11-28 06:15:01
Ripon Race Course Gravel Pit,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,333,640,400,594,490,350.0,400,684.0,770.0,630,790,515,1030,715,(943),Aug,799,799,1,2019-11-28 06:15:01
Morecambe Bay,227.0,37.0,212.0,260.0,320.0,316.0,494.0,269.0,278.0,773.0,234.0,272.0,416,380,379,311,342,287,(370),401,351,411,327,867,741,629,786,881,618,585,1139.0,(538),861.0,1191.0,692,1249,706,639,662Supplementary visit under the WeBS Core Count SurveyWeBS,633,Aug,778,778,1,2019-11-28 06:15:01
Bardney Pit,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,0,5,1.0,36.0,89,59,113,250,290,350,450,350,490,230,230,nan,nan,8,422.0,156,175,209.0,432,187,372,610,1500,850,653,240,Dec,771,771,2,2019-11-28 06:15:25
Thoresby Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.0,0,0,49,nan,71,95,117,96,31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,398,1090,1215,440,(700),Jan,786,786,2,2019-11-28 06:15:25
Ouse Washes,81.0,155.0,82.0,132.0,214.0,176.0,153.0,175.0,186,104,205,271,202.0,148.0,141,145,324,305,(521),453,(276),596Supplementary visit under the WeBS Core Count SurveyWeBS,964,958,691Supplementary visit under the WeBS Core Count SurveyWeBS,883Supplementary visit under the WeBS Core Count SurveyWeBS,782,671,810.0,687Supplementary visit under the WeBS Core Count SurveyWeBS,1496,1061.0,750,1202,356,784,532,825,1061,625,Nov,765,765,2,2019-11-28 06:15:25
Tees Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,4,3,1,6.0,6.0,8,128,132,112,(144),150,134,210,222,(422),301,518,623,360,430.0,590,640,986.0,723,619,846,683,892,444,874,897,Oct,758,758,2,2019-11-28 06:15:25
Hay-a-Park Gravel Pits,nan,2.0,1.0,1.0,1.0,8.0,1.0,0.0,1,5,26,111,68.0,159.0,4,126,177,80,190,nan,nan,501,696,529,183,560,472,132,825.0,1503,606,1007.0,720,318,68,880,507,1100,540,750,Oct,755,755,2,2019-11-28 06:15:25
Llyn Traffwll,540.0,nan,112.0,253.0,306.0,163.0,300.0,200.0,414,400,232,334,96.0,304.0,104,264,466,457,537,646,464,746,450,700,769,891,341,395,941.0,589,789,650.0,880,590,236,1160,632,602,756,620,Aug,754,754,2,2019-11-28 06:15:25
Staveley Gravel Pit,0.0,0.0,1.0,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,0.0,130,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,111,nan,nan,nan,nan,nan,nan,250,525,417,(900),(700),(750),(800),Sep,713,713,2,2019-11-28 06:15:25
Collingham Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11,770.0,435,210,576,760,738,681,590,789,Aug,712,712,2,2019-11-28 06:15:25
Abbots Moss (Cumbria),nan,nan,nan,nan,nan,nan,0.0,75.0,0,0,0,0,0.0,0.0,0,88,0,0,nan,0,0,0,0,0,0,0,0,0,205.0,0,0,590.0,15,90,40,230,0,660,1840,nan,nan,683,683,2,2019-11-28 06:15:25
Tattershall Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,501,477.0,438.0,286,245,350,nan,700,300,600,570,403,400,730,1015,445,950,400.0,506,510,635.0,635,700,640,670,nan,nan,nan,nan,nan,670,670,2,2019-11-28 06:15:25
Island of Islay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,129Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,20Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,32Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,nan,102Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,nan,16Supplementary visit under the WeBS Core Count SurveyWeBS,8Supplementary visit under the WeBS Core Count SurveyWeBS,nan,217Argyll goose countsSNH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,483SNH countsSNH Kirkwall office,837SNH countsSNH Kirkwall office,Dec,660,660,2,2019-11-28 06:15:25
WWT Martin Mere,3.0,0.0,0.0,0.0,0.0,100.0,130.0,146.0,200,228,289Supplementary visit under the WeBS Core Count SurveyWeBS,288,200.0,319.0,340,424,430,458,420,419,435,460,440,438,580,600,620,530,532.0,390,(485),400.0,565,680,550,500,500,581,600,1085,Nov,653,653,2,2019-11-28 06:15:25
Wet Sleddale Reservoir,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0,0,0,0,0.0,0.0,0,32,0,34,152,110,275,215,140,198,141,104,197,119,82.0,185,216,194.0,164,207,261,435,500,576,840,915,Jun,653,653,2,2019-11-28 06:15:25
Alde Estuary,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,4,7,12,23,12.0,38.0,77,35,46,170,143,66,62,95,67,388Standard visit under the WeBS Low Tide Count SurveyWeBS,119,468,393,372,177.0,329,459,394.0,432,457,427,722,373,765,727,621,Jan,642,642,2,2019-11-28 06:15:25
Greenlaw Farm Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15,520,1152,860,665,Aug,642,642,2,2019-11-28 06:15:25
Leighton and Roundhill Reservoirs,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,nan,nan,0.0,0,0,nan,54,308,370,114,225,267,300,504,130,287,(202),177.0,143,nan,1180.0,nan,nan,nan,187,1078,nan,nan,nan,nan,633,633,2,2019-11-28 06:15:25
Dee Flood Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(175),220,230,430,(521),310,295,480,540,480,590Supplementary visit under the WeBS Core Count SurveyWeBS,577,440.0,382,508,706.0,329,320,584,985,245,"1,388Supplementary visit under the WeBS Core Count SurveyWeBS",190,340,Oct,630,630,2,2019-11-28 06:15:25
Alton Water,nan,nan,nan,nan,nan,nan,0.0,68.0,65,150,nan,78,209.0,177.0,222,283,356,815,523,680,542,550,624,490,577,571,419,612,1056.0,1068,625,824.0,566,764,694,645,592,400,892,585,Sep,623,623,2,2019-11-28 06:15:25
Hamford Water,0.0,13.0,50.0,49.0,51.0,40.0,66.0,50.0,(60),(104),75,75,0.0,0.0,89Standard visit under the WeBS Low Tide Count SurveyWeBS,182,559,576,358,168,284,(182),215,392,376,258,539,415,329.0,645,361Standard visit under the WeBS Low Tide Count SurveyWeBS,569.0,506,660,522,1247,588,539,318,414,Jan,621,621,2,2019-11-28 06:15:25
Hickling Broad,0.0,2.0,24.0,36.0,52.0,82.0,132.0,202.0,247,250,311,691,543.0,589.0,34,320,237,140,nan,nan,42,460,39,412,28,1106,831,909,529.0,nan,530,815.0,nan,85,370,1562,490,864,81,40,Jan,607,607,2,2019-11-28 06:15:25
Severn Estuary,80.0,100.0,148.0,142.0,207.0,200.0,121.0,141.0,213,211,440,290,261.0,276.0,383,253,330,273,285,320,289,273,227,281,393,337,489,450,436.0,526,430,510.0,467,623,536,503,598,705,570,652,Sep,606,606,2,2019-11-28 06:15:25
Bowesfield Marsh,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,300,150,513,386,782,642,698,Sep,604,604,2,2019-11-28 06:15:25
Severn Estuary (English counties),80.0,100.0,148.0,142.0,207.0,200.0,121.0,141.0,213,211,440,290,261.0,276.0,383,253,330,273,285,320,289,273,227,281,393,337,489,450,436.0,526,430,510.0,466,619,533,503,598,701,555,652,Sep,602,602,2,2019-11-28 06:15:25
Orwell Estuary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,10,6,(8),0.0,39.0,61,136,210Standard visit under the WeBS Low Tide Count SurveyWeBS,237,440,799Standard visit under the WeBS Low Tide Count SurveyWeBS,563,989Standard visit under the WeBS Low Tide Count SurveyWeBS,449,604Standard visit under the WeBS Low Tide Count SurveyWeBS,587Standard visit under the WeBS Low Tide Count SurveyWeBS,677Standard visit under the WeBS Low Tide Count SurveyWeBS,744Standard visit under the WeBS Low Tide Count SurveyWeBS,967Standard visit under the WeBS Low Tide Count SurveyWeBS,671.0,674Standard visit under the WeBS Low Tide Count SurveyWeBS,611Standard visit under the WeBS Low Tide Count SurveyWeBS,334.0,636Standard visit under the WeBS Low Tide Count SurveyWeBS,447,783,637Standard visit under the WeBS Low Tide Count SurveyWeBS,516,628,442,783,Nov,601,601,2,2019-11-28 06:15:25
River Lune - Arkholme to Whittington,nan,nan,nan,0.0,0.0,0.0,1.0,0.0,0,nan,nan,0,0.0,0.0,0,1,0,8,0,0,6,nan,nan,2,6,nan,nan,nan,nan,nan,nan,nan,nan,260,360,431,813,463,649,538,Aug,579,579,2,2019-11-28 06:15:25
Castle Howard Lake,53.0,146.0,129.0,172.0,232.0,167.0,183.0,208.0,181,241,256,363,449.0,487.0,383,406,nan,nan,nan,nan,nan,nan,nan,350,nan,nan,250,nan,370.0,638,355,762.0,594,600,458,520,579,588,680,522,Jun,578,578,2,2019-11-28 06:15:25
Murton Wildlife Reserve,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25,38,73.0,30,200,420.0,158,240,512,578,439,556,707,587,Aug,573,573,2,2019-11-28 06:15:25
Scorton Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,460,800,196,590.0,730,404,1085.0,422,920,509,474,610,450,760,563,Sep,571,571,2,2019-11-28 06:15:25
Blatherwyke Lake,45.0,nan,50.0,127.0,108.0,135.0,132.0,151.0,168,101,170,157,125.0,245.0,175,(234),(271),(204),184,231,(346),215,401,382,433,nan,153,(347),354.0,272,251,298.0,531,(560),(520),525,408,749,676,454,Jan,562,562,2,2019-11-28 06:15:25
Loughs Neagh and Beg,nan,nan,nan,nan,nan,nan,nan,0.0,352,301,305,146,206.0,214.0,63,70,243,347,448,510,296,602,785,915,1179,1270,1005,630,662.0,1284,917,1294.0,726,676,558,599,354,526,379,(945),Mar,561,561,2,2019-11-28 06:15:25
South Muskham Pits,0,0,2.0,0.0,6.0,3.0,13.0,7.0,9,4,16,28.0,28,78,60,85,1,2,72,158,28,167,80,nan,nan,5,3,10,16,61.0,205,17,180,310,557,643,530,950,332,345,Oct,560,560,3,2019-11-28 06:15:50
Broom Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,397,"1,232Supplementary roost count under the WeBS Core Count SurveyWeBS",584,811,530,754,427,582,447,556,Dec,553,553,3,2019-11-28 06:15:50
Scaling Dam Reservoir,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,26,50,75,nan,0,100,128,150,183,212,nan,280,315.0,377,405,503,500,555.0,553,616,670,856,735,538,651,542,482,546,Aug,552,552,3,2019-11-28 06:15:50
