Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Orkney,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[120, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20475, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[15914, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[22865, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[26635, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[43547, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[42697, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[76471, 1, 'Dec', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[60836, 1, 'Jan', 1, 'SNH counts', 'SNH Kirkwall office']","[129411, 1, 'Dec', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[68349, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[55038, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[68095, 1, 'Dec', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[77513, 1, 'Feb', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[66712, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[63665, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[65067, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",nan,"[22681, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[63045, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",2019-12-06 20:53:43
Caithness Lochs,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[290, 1, 'Nov', 0, None, None]","[147, 1, 'Oct', 0, None, None]","[350, 1, 'Nov', 0, None, None]",nan,nan,"[24, 1, 'Nov', 0, None, None]",nan,nan,nan,"[6000, 1, 'Nov', 0, None, None]",nan,"[4238, 1, 'Nov', 0, None, None]","[6550, 1, 'Nov', 0, None, None]","[3250, 1, 'Nov', 0, None, None]","[3050, 1, 'Nov', 0, None, None]","[4300, 1, 'Nov', 0, None, None]","[4144, 1, 'Nov', 0, None, None]","[7447, 1, 'Nov', 0, None, None]","[1950, 1, 'Mar', 0, None, None]","[3334, 1, 'Nov', 0, None, None]","[5879, 1, 'Nov', 0, None, None]","[4995, 1, 'Mar', 0, None, None]","[2787, 1, 'Apr', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10017, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[8326, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[5812, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[2792, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[2971, 1, 'Oct', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[11755, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[8727, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",nan,nan,"[12920, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",nan,nan,"[6207, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[16324, 1, 'Dec', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[11375, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[6570, 1, 'Feb', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",nan,nan,nan,2019-12-06 20:53:43
North and South Uists and Benbecula,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8233, 1, 'Sep', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",nan,nan,nan,2019-12-06 20:53:43
Shetland,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[85, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[85, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[259, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[13, 1, 'Oct', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[1045, 1, 'Oct', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[1814, 1, 'Oct', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[892, 1, 'Dec', 1, 'WWT/JNCC National Grey Goose Census', None]","[848, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[1724, 1, 'Oct', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",nan,"[2965, 1, 'Dec', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",nan,nan,"[6045, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[4751, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",nan,"[3121, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",nan,2019-12-06 20:53:43
Loch Eye,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[650, 1, 'Mar', 0, None, None]","[500, 1, 'Oct', 0, None, None]","[1500, 1, 'Oct', 0, None, None]","[1100, 1, 'Oct', 0, None, None]","[650, 1, 'Nov', 0, None, None]","[1100, 1, 'Mar', 0, None, None]","[800, 1, 'Mar', 0, None, None]","[1800, 1, 'Oct', 0, None, None]","[2000, 1, 'Mar', 0, None, None]","[1500, 1, 'Dec', 0, None, None]","[900, 1, 'Oct', 0, None, None]","[1500, 1, 'Jan', 0, None, None]","[2000, 1, 'Oct', 0, None, None]","[5000, 1, 'Nov', 0, None, None]","[9000, 1, 'Oct', 0, None, None]","[38000, 1, 'Nov', 0, None, None]","[10000, 1, 'Oct', 0, None, None]","[12000, 1, 'Oct', 0, None, None]",nan,"[10000, 1, 'Oct', 0, None, None]","[3470, 1, 'Oct', 0, None, None]","[3970, 1, 'Nov', 0, None, None]",nan,nan,"[16607, 1, 'Oct', 0, None, None]","[433, 1, 'Oct', 0, None, None]","[6186, 1, 'Oct', 0, None, None]","[479, 1, 'Feb', 0, None, None]","[6670, 1, 'Oct', 0, None, None]","[568, 1, 'Oct', 0, None, None]","[3175, 1, 'Oct', 0, None, None]","[524, 1, 'Oct', 0, None, None]","[2075, 1, 'Oct', 0, None, None]","[698, 1, 'Jan', 0, None, None]","[543, 2, 'Oct', 0, None, None]","[1850, 1, 'Dec', 0, None, None]","[305, 1, 'Jan', 0, None, None]","[1550, 1, 'Oct', 0, None, None]","[5313, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[12136, 1, 'Dec', 0, None, None]","[1631, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[6013, 1, 'Nov', 1, 'WWT/JNCC National Grey Goose Census', None]","[2574, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[400, 1, 'Feb', 0, None, None]","[2269, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[4463, 1, 'Dec', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[2378, 1, 'Nov', 1, 'unspecified sea-watch', None]","[2526, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[1762, 1, 'Oct', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[4219, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[5274, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[1492, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']",2019-12-06 20:53:43
Forth Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,nan,nan,"[191, 1, 'Mar', 0, None, None]","[254, 1, 'Mar', 0, None, None]","[259, 1, 'Mar', 0, None, None]","[175, 1, 'Jan', 0, None, None]","[80, 1, 'Dec', 0, None, None]","[25, 1, 'Jan', 0, None, None]","[105, 1, 'Jan', 0, None, None]","[10, 1, 'Nov', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[4, 1, 'Nov', 0, None, None]","[111, 1, 'Jan', 0, None, None]","[1, 1, 'Dec', 0, None, None]","[180, 1, 'Mar', 0, None, None]","[36, 1, 'Jan', 0, None, None]","[90, 1, 'Mar', 0, None, None]","[1101, 1, 'Jan', 0, None, None]","[1010, 1, 'Nov', 0, None, None]","[117, 1, 'Feb', 0, None, None]","[30, 1, 'Sep', 0, None, None]","[57, 1, 'Jan', 0, None, None]","[47, 1, 'Feb', 0, None, None]","[260, 1, 'Nov', 0, None, None]","[303, 1, 'Mar', 0, None, None]","[159, 1, 'Dec', 0, None, None]","[865, 1, 'Jan', 0, None, None]","[1045, 1, 'Dec', 0, None, None]","[425, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[408, 1, 'Dec', 0, None, None]","[349, 1, 'Feb', 0, None, None]","[624, 1, 'Jan', 0, None, None]","[640, 1, 'Dec', 0, None, None]","[380, 1, 'Nov', 0, None, None]","[133, 1, 'Dec', 0, None, None]","[217, 1, 'Feb', 0, None, None]","[321, 1, 'Jan', 0, None, None]","[826, 1, 'Nov', 0, None, None]","[1564, 1, 'Jan', 0, None, None]","[792, 1, 'Dec', 0, None, None]","[802, 1, 'Oct', 0, None, None]","[2107, 1, 'Mar', 0, None, None]","[471, 2, 'Mar', 0, None, None]","[875, 1, 'Mar', 0, None, None]","[936, 1, 'Dec', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[783, 1, 'Sep', 0, None, None]","[1101, 1, 'Sep', 0, None, None]","[482, 1, 'Sep', 0, None, None]","[2145, 1, 'Sep', 0, None, None]","[2070, 1, 'Sep', 0, None, None]","[3179, 1, 'Oct', 0, None, None]","[2088, 1, 'Sep', 0, None, None]","[3415, 1, 'Sep', 0, None, None]","[3863, 1, 'Sep', 0, None, None]",2019-12-06 20:53:43
Nosterfield Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[2, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[27, 1, 'Jan', 0, None, None]",nan,nan,nan,"[254, 1, 'Oct', 0, None, None]","[368, 1, 'Feb', 0, None, None]",nan,nan,"[23, 2, 'Feb', 0, None, None]","[129, 1, 'Jul', 0, None, None]","[771, 1, 'Feb', 0, None, None]","[682, 1, 'Aug', 0, None, None]","[993, 1, 'Dec', 0, None, None]","[678, 1, 'Nov', 0, None, None]","[1084, 1, 'Oct', 0, None, None]","[1746, 1, 'Nov', 0, None, None]","[1338, 1, 'Jul', 0, None, None]","[2215, 1, 'Dec', 0, None, None]","[1663, 1, 'Sep', 0, None, None]","[1898, 1, 'Aug', 0, None, None]","[2819, 1, 'Sep', 0, None, None]","[1953, 1, 'Aug', 0, None, None]","[3885, 1, 'Aug', 0, None, None]","[2024, 1, 'Aug', 0, None, None]","[4001, 1, 'Dec', 0, None, None]","[2901, 1, 'Nov', 0, None, None]","[3634, 1, 'Aug', 0, None, None]","[3099, 1, 'Sep', 0, None, None]","[2641, 1, 'Aug', 0, None, None]","[3554, 1, 'Aug', 0, None, None]","[1479, 1, 'Sep', 0, None, None]",2019-12-06 20:53:43
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[30, 1, 'Jan', 0, None, None]","[31, 1, 'Oct', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[40, 1, 'Dec', 0, None, None]","[22, 1, 'Oct', 0, None, None]","[47, 1, 'Jan', 0, None, None]","[71, 1, 'Feb', 0, None, None]","[45, 1, 'Sep', 0, None, None]","[93, 1, 'Sep', 0, None, None]","[82, 1, 'Jan', 0, None, None]","[165, 1, 'Sep', 0, None, None]","[200, 1, 'Feb', 0, None, None]","[138, 1, 'Oct', 0, None, None]","[300, 1, 'Dec', 0, None, None]","[20, 1, 'Jan', 0, None, None]","[100, 1, 'Dec', 0, None, None]","[70, 1, 'Mar', 0, None, None]","[430, 1, 'Dec', 0, None, None]","[570, 1, 'Oct', 0, None, None]","[491, 1, 'Oct', 0, None, None]","[520, 1, 'Oct', 0, None, None]","[610, 1, 'Sep', 0, None, None]","[195, 1, 'Mar', 0, None, None]","[417, 1, 'Jan', 0, None, None]","[251, 1, 'Feb', 0, None, None]","[224, 1, 'Jan', 0, None, None]","[329, 1, 'Apr', 0, None, None]","[1153, 1, 'Aug', 0, None, None]","[1089, 1, 'Nov', 0, None, None]","[1204, 1, 'Sep', 0, None, None]","[1669, 1, 'Sep', 0, None, None]","[2177, 1, 'Nov', 0, None, None]","[1892, 1, 'Sep', 0, None, None]","[1837, 1, 'Aug', 0, None, None]","[3431, 1, 'Aug', 0, None, None]","[1850, 1, 'Dec', 0, None, None]","[1657, 1, 'Nov', 0, None, None]","[1767, 1, 'Nov', 0, None, None]","[1371, 1, 'Dec', 0, None, None]","[1435, 1, 'Sep', 0, None, None]","[1725, 1, 'Aug', 0, None, None]","[1270, 1, 'Jan', 0, None, None]","[2203, 1, 'Aug', 0, None, None]","[1159, 1, 'Dec', 0, None, None]","[1859, 1, 'Aug', 0, None, None]","[1852, 1, 'Aug', 0, None, None]","[2482, 1, 'Sep', 0, None, None]","[2425, 1, 'Aug', 0, None, None]","[2242, 1, 'Oct', 0, None, None]","[2218, 1, 'Aug', 0, None, None]","[3390, 1, 'Sep', 0, None, None]","[2647, 1, 'Oct', 0, None, None]",2019-12-06 20:53:43
Loch Leven,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4846, 1, 'Dec', 0, None, None]","[4082, 1, 'Jan', 0, None, None]","[3142, 1, 'Dec', 0, None, None]","[2125, 1, 'Nov', 0, None, None]","[4700, 1, 'Dec', 0, None, None]","[2520, 1, 'Nov', 0, None, None]","[3500, 1, 'Dec', 0, None, None]","[3650, 1, 'Dec', 0, None, None]","[5000, 1, 'Feb', 0, None, None]","[3500, 1, 'Nov', 0, None, None]","[3400, 1, 'Nov', 0, None, None]","[3000, 1, 'Dec', 0, None, None]","[4200, 1, 'Dec', 0, None, None]","[2900, 1, 'Nov', 0, None, None]","[5615, 1, 'Nov', 0, None, None]","[3000, 1, 'Nov', 0, None, None]","[2500, 1, 'Nov', 0, None, None]","[2200, 1, 'Nov', 0, None, None]","[500, 1, 'Oct', 0, None, None]","[3000, 1, 'Oct', 0, None, None]","[2100, 1, 'Jan', 0, None, None]","[2250, 1, 'Dec', 0, None, None]","[2400, 1, 'Feb', 0, None, None]","[60, 1, 'Sep', 0, None, None]","[2300, 1, 'Jan', 0, None, None]","[250, 1, 'Nov', 0, None, None]","[370, 1, 'Feb', 0, None, None]","[170, 1, 'Sep', 0, None, None]","[340, 1, 'Mar', 0, None, None]","[550, 1, 'Mar', 0, None, None]","[400, 1, 'Sep', 0, None, None]","[631, 1, 'Sep', 0, None, None]","[946, 1, 'Aug', 0, None, None]","[720, 1, 'Mar', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[550, 1, 'Oct', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[1000, 1, 'Oct', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[567, 1, 'Sep', 0, None, None]","[967, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[274, 1, 'Sep', 0, None, None]","[395, 1, 'Oct', 0, None, None]","[620, 1, 'Sep', 0, None, None]","[700, 1, 'Jun', 0, None, None]","[1195, 1, 'Jun', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1545, 1, 'Jun', 0, None, None]","[1364, 1, 'Jul', 0, None, None]","[3868, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1484, 1, 'Jun', 0, None, None]","[2639, 1, 'Jun', 0, None, None]","[2724, 1, 'Jun', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[3295, 1, 'Jul', 0, None, None]","[2566, 1, 'Jun', 0, None, None]","[876, 1, 'Jul', 0, None, None]",2019-12-06 20:53:43
Loch Watten,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[4, 1, 'Jan', 0, None, None]","[11, 1, 'Nov', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[74, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]","[60, 1, 'Jan', 0, None, None]","[91, 1, 'Jan', 0, None, None]","[76, 1, 'Mar', 0, None, None]","[350, 1, 'Jan', 0, None, None]","[90, 1, 'Jan', 0, None, None]","[215, 1, 'Dec', 0, None, None]","[780, 1, 'Feb', 0, None, None]","[830, 1, 'Feb', 0, None, None]","[346, 1, 'Oct', 0, None, None]","[27, 1, 'Feb', 0, None, None]","[20, 1, 'Mar', 0, None, None]","[65, 1, 'Jan', 0, None, None]","[750, 1, 'Feb', 0, None, None]","[475, 1, 'Jan', 0, None, None]","[338, 1, 'Mar', 0, None, None]","[650, 1, 'Mar', 0, None, None]","[801, 1, 'Mar', 0, None, None]","[628, 1, 'Feb', 0, None, None]","[4500, 1, 'Nov', 0, None, None]","[661, 1, 'Mar', 0, None, None]","[1593, 1, 'Oct', 0, None, None]","[2600, 1, 'Dec', 0, None, None]","[2500, 1, 'Oct', 0, None, None]","[141, 1, 'Dec', 0, None, None]","[550, 1, 'Nov', 0, None, None]","[303, 1, 'Mar', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[3150, 1, 'Nov', 0, None, None]","[958, 1, 'Mar', 0, None, None]","[469, 1, 'Nov', 0, None, None]","[1310, 1, 'Feb', 0, None, None]","[395, 1, 'Feb', 0, None, None]","[708, 1, 'Feb', 0, None, None]","[600, 1, 'Feb', 0, None, None]","[2080, 1, 'Oct', 0, None, None]","[1273, 1, 'Oct', 0, None, None]","[400, 1, 'Feb', 0, None, None]","[2900, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[3715, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[3730, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[1047, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[2800, 1, 'Nov', 1, 'Icelandic-breeding Goose Census', 'Wildfowl and Wetlands Trust']","[421, 1, 'Mar', 0, None, None]","[2490, 1, 'Nov', 0, None, None]",2019-12-06 20:53:43
