Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Somerset Levels,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[16906, 1, 'Feb', 0, None, None]","[51411, 1, 'Jan', 0, None, None]","[29331, 2, 'Jan', 0, None, None]","[78362, 2, 'Jan', 0, None, None]","[49181, 1, 'Nov', 0, None, None]","[16443, 1, 'Nov', 0, None, None]","[62886, 1, 'Jan', 0, None, None]","[55654, 1, 'Jan', 0, None, None]","[28895, 1, 'Feb', 0, None, None]","[50328, 2, 'Feb', 0, None, None]","[41675, 1, 'Feb', 0, None, None]","[16053, 1, 'Feb', 0, None, None]","[23641, 1, 'Dec', 0, None, None]","[60834, 1, 'Jan', 0, None, None]","[48116, 1, 'Jan', 0, None, None]","[38388, 1, 'Feb', 0, None, None]","[44457, 1, 'Jan', 0, None, None]","[31928, 1, 'Jan', 0, None, None]","[19683, 1, 'Nov', 0, None, None]","[72319, 1, 'Jan', 0, None, None]","[30443, 1, 'Nov', 0, None, None]","[27321, 1, 'Feb', 0, None, None]","[35441, 1, 'Dec', 0, None, None]","[33393, 1, 'Dec', 0, None, None]","[31658, 1, 'Feb', 0, None, None]","[35495, 1, 'Jan', 0, None, None]","[32909, 1, 'Jan', 0, None, None]",2020-01-19 18:03:23
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[8475, 1, 'Oct', 0, None, None]","[3370, 1, 'Jan', 0, None, None]","[14444, 1, 'Aug', 0, None, None]","[3650, 1, 'Sep', 0, None, None]","[3500, 1, 'Nov', 0, None, None]","[4300, 1, 'Dec', 0, None, None]","[980, 1, 'Jan', 0, None, None]","[3650, 1, 'Jan', 0, None, None]",nan,"[3850, 1, 'Jan', 0, None, None]","[2850, 1, 'Jan', 0, None, None]",nan,"[5171, 2, 'Jan', 0, None, None]","[15692, 1, 'Nov', 0, None, None]","[13077, 1, 'Dec', 0, None, None]","[10635, 1, 'Dec', 0, None, None]","[10561, 2, 'Oct', 0, None, None]","[6672, 1, 'Feb', 0, None, None]","[26327, 1, 'Jan', 0, None, None]","[24171, 1, 'Jan', 0, None, None]","[12247, 1, 'Nov', 0, None, None]","[18857, 1, 'Feb', 0, None, None]","[23309, 1, 'Dec', 0, None, None]","[12502, 1, 'Jan', 0, None, None]","[16161, 1, 'Jan', 0, None, None]","[24293, 1, 'Dec', 0, None, None]","[15526, 2, 'Dec', 0, None, None]","[26190, 1, 'Dec', 0, None, None]","[17501, 2, 'Jan', 0, None, None]","[18796, 2, 'Jan', 0, None, None]","[16213, 1, 'Nov', 0, None, None]","[13504, 1, 'Nov', 0, None, None]","[13714, 2, 'Nov', 0, None, None]","[20750, 1, 'Nov', 0, None, None]","[16701, 1, 'Dec', 0, None, None]","[19192, 1, 'Jan', 0, None, None]","[13484, 1, 'Jan', 0, None, None]","[10683, 1, 'Dec', 0, None, None]","[17535, 1, 'Nov', 0, None, None]","[18225, 2, 'Nov', 0, None, None]","[19079, 1, 'Nov', 0, None, None]","[16488, 1, 'Dec', 0, None, None]","[11102, 1, 'Nov', 0, None, None]","[18229, 1, 'Jan', 0, None, None]","[15383, 1, 'Nov', 0, None, None]","[29344, 1, 'Jan', 0, None, None]","[18140, 1, 'Nov', 0, None, None]","[9952, 1, 'Oct', 0, None, None]",2020-01-19 18:03:23
Breydon Water and Berney Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[350, 2, 'Mar', 0, None, None]","[380, 2, 'Jan', 0, None, None]","[180, 1, 'Jan', 0, None, None]","[250, 1, 'Dec', 0, None, None]","[660, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,"[120, 1, 'Feb', 0, None, None]",nan,"[300, 1, 'Dec', 0, None, None]","[200, 1, 'Nov', 0, None, None]","[200, 1, 'Sep', 0, None, None]","[50, 1, 'Jul', 0, None, None]","[100, 1, 'Sep', 0, None, None]","[170, 1, 'Dec', 0, None, None]","[2000, 1, 'Jan', 0, None, None]","[1500, 1, 'Jan', 0, None, None]","[5000, 1, 'Jan', 0, None, None]","[12000, 1, 'Dec', 0, None, None]","[18600, 1, 'Nov', 0, None, None]","[16000, 1, 'Nov', 0, None, None]","[36000, 1, 'Dec', 0, None, None]","[35600, 1, 'Nov', 0, None, None]","[24000, 1, 'Dec', 0, None, None]","[31000, 1, 'Dec', 0, None, None]","[19400, 1, 'Dec', 0, None, None]","[27300, 1, 'Dec', 0, None, None]","[20500, 1, 'Nov', 0, None, None]","[18300, 1, 'Jan', 0, None, None]","[19380, 1, 'Feb', 0, None, None]","[15230, 1, 'Nov', 0, None, None]","[15890, 1, 'Dec', 0, None, None]","[29136, 1, 'Jan', 0, None, None]","[25140, 1, 'Feb', 0, None, None]","[17620, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[19700, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[38700, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[19820, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[16955, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[19341, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[17540, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[19314, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[12100, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[8100, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[22300, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[11700, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",2020-01-19 18:03:23
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1859, 1, 'Sep', 0, None, None]","[820, 1, 'Oct', 0, None, None]","[1000, 1, 'Dec', 0, None, None]","[973, 1, 'Sep', 0, None, None]","[904, 1, 'Jul', 0, None, None]","[1750, 1, 'Jan', 0, None, None]","[465, 1, 'Feb', 0, None, None]","[1447, 1, 'Feb', 0, None, None]","[504, 1, 'Dec', 0, None, None]","[364, 1, 'Dec', 0, None, None]","[621, 1, 'Jan', 0, None, None]","[1731, 1, 'Feb', 0, None, None]","[559, 1, 'Jan', 0, None, None]","[420, 1, 'Feb', 0, None, None]","[2333, 1, 'Nov', 0, None, None]","[2250, 1, 'Dec', 0, None, None]","[1982, 1, 'Dec', 0, None, None]","[5013, 1, 'Feb', 0, None, None]","[4943, 1, 'Feb', 0, None, None]","[10261, 1, 'Jan', 0, None, None]","[3007, 2, 'Dec', 0, None, None]","[5785, 1, 'Nov', 0, None, None]","[74281, 1, 'Dec', 0, None, None]","[13105, 1, 'Dec', 0, None, None]","[24225, 1, 'Feb', 0, None, None]","[24773, 1, 'Nov', 0, None, None]","[9132, 1, 'Feb', 0, None, None]","[41538, 1, 'Nov', 0, None, None]","[27585, 1, 'Jan', 0, None, None]","[86129, 1, 'Nov', 0, None, None]","[31165, 1, 'Feb', 0, None, None]","[43558, 1, 'Feb', 0, None, None]","[43672, 1, 'Dec', 0, None, None]","[29350, 1, 'Dec', 0, None, None]","[43822, 1, 'Dec', 0, None, None]","[36327, 1, 'Jan', 0, None, None]","[36998, 1, 'Dec', 0, None, None]","[11186, 1, 'Feb', 0, None, None]","[24543, 1, 'Nov', 0, None, None]","[21265, 1, 'Dec', 0, None, None]","[14490, 2, 'Feb', 0, None, None]","[14995, 1, 'Nov', 0, None, None]","[7768, 1, 'Nov', 0, None, None]","[25046, 1, 'Feb', 0, None, None]","[6600, 1, 'Feb', 0, None, None]","[6204, 1, 'Nov', 0, None, None]","[26323, 1, 'Dec', 0, None, None]","[8884, 1, 'Feb', 0, None, None]",2020-01-19 18:03:23
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1128, 1, 'Feb', 0, None, None]","[1834, 1, 'Dec', 0, None, None]","[940, 1, 'Feb', 0, None, None]","[983, 1, 'Mar', 0, None, None]","[3491, 1, 'Dec', 0, None, None]","[715, 1, 'Jan', 0, None, None]","[796, 2, 'Dec', 0, None, None]","[713, 2, 'Dec', 0, None, None]","[417, 1, 'Jan', 0, None, None]","[1723, 2, 'Feb', 0, None, None]","[2766, 2, 'Jan', 0, None, None]","[7934, 1, 'Feb', 0, None, None]","[2689, 1, 'Jan', 0, None, None]","[8687, 1, 'Nov', 0, None, None]","[10418, 1, 'Dec', 0, None, None]","[6421, 2, 'Dec', 0, None, None]","[6306, 2, 'Dec', 0, None, None]","[13165, 1, 'Feb', 0, None, None]","[12644, 1, 'Dec', 0, None, None]","[30892, 2, 'Jan', 0, None, None]","[26506, 2, 'Nov', 0, None, None]","[4924, 1, 'Feb', 0, None, None]","[8954, 1, 'Dec', 0, None, None]","[22954, 1, 'Dec', 0, None, None]","[90288, 1, 'Nov', 0, None, None]","[23477, 1, 'Jan', 0, None, None]","[9352, 2, 'Dec', 0, None, None]","[21884, 1, 'Dec', 0, None, None]","[32999, 2, 'Dec', 0, None, None]","[32720, 1, 'Nov', 0, None, None]","[16870, 1, 'Jan', 0, None, None]","[10719, 1, 'Jan', 0, None, None]","[36309, 1, 'Dec', 0, None, None]","[39865, 2, 'Dec', 0, None, None]","[16856, 2, 'Dec', 0, None, None]","[27421, 1, 'Jan', 0, None, None]","[19403, 1, 'Dec', 0, None, None]","[16500, 1, 'Jan', 0, None, None]","[11700, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[13581, 1, 'Dec', 0, None, None]","[6494, 2, 'Feb', 0, None, None]","[14507, 1, 'Nov', 0, None, None]","[3196, 1, 'Nov', 0, None, None]","[10692, 1, 'Jan', 0, None, None]","[8612, 1, 'Nov', 0, None, None]","[12810, 1, 'Dec', 0, None, None]","[23198, 1, 'Dec', 0, None, None]","[13135, 1, 'Feb', 0, None, None]",2020-01-19 18:03:23
Ouse Washes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2021, 1, 'Nov', 0, None, None]","[15591, 1, 'Nov', 0, None, None]","[8155, 1, 'Nov', 0, None, None]","[4675, 2, 'Feb', 0, None, None]","[15170, 1, 'Dec', 0, None, None]","[4435, 1, 'Jan', 0, None, None]","[29913, 1, 'Nov', 0, None, None]","[5819, 1, 'Oct', 0, None, None]","[19219, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[8125, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[13577, 1, 'Dec', 0, None, None]","[26072, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[25835, 1, 'Feb', 0, None, None]","[13026, 1, 'Nov', 0, None, None]","[11222, 1, 'Dec', 0, None, None]","[7343, 2, 'Dec', 0, None, None]","[7340, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[19530, 1, 'Feb', 0, None, None]","[4145, 1, 'Jan', 0, None, None]","[2491, 1, 'Oct', 0, None, None]","[33035, 1, 'Dec', 0, None, None]","[5770, 1, 'Nov', 0, None, None]","[14161, 1, 'Dec', 0, None, None]","[8420, 1, 'Dec', 0, None, None]","[6063, 1, 'Feb', 0, None, None]",2020-01-19 18:03:23
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[1088, 1, 'Dec', 0, None, None]","[1674, 1, 'Jan', 0, None, None]","[2475, 2, 'Feb', 0, None, None]","[1149, 1, 'Jan', 0, None, None]","[1453, 1, 'Oct', 0, None, None]","[639, 1, 'Nov', 0, None, None]","[473, 2, 'Dec', 0, None, None]","[2490, 1, 'Dec', 0, None, None]","[2554, 1, 'Dec', 0, None, None]","[2540, 1, 'Oct', 0, None, None]","[5977, 1, 'Jan', 0, None, None]","[2499, 2, 'Jan', 0, None, None]","[7521, 1, 'Dec', 0, None, None]","[5200, 1, 'Dec', 0, None, None]","[3751, 1, 'Nov', 0, None, None]","[7530, 1, 'Jan', 0, None, None]","[8823, 1, 'Feb', 0, None, None]","[8983, 2, 'Jan', 0, None, None]","[7668, 1, 'Jan', 0, None, None]","[9643, 1, 'Jan', 0, None, None]","[13659, 1, 'Mar', 0, None, None]","[15723, 1, 'Jan', 0, None, None]","[18977, 2, 'Nov', 0, None, None]","[8487, 1, 'Nov', 0, None, None]","[9676, 1, 'Feb', 0, None, None]","[23475, 2, 'Jan', 0, None, None]","[10753, 1, 'Jan', 0, None, None]","[11850, 1, 'Nov', 0, None, None]","[19073, 1, 'Feb', 0, None, None]","[10282, 1, 'Feb', 0, None, None]","[16036, 1, 'Jan', 0, None, None]","[10229, 1, 'Feb', 0, None, None]","[14657, 1, 'Jan', 0, None, None]","[18662, 1, 'Jan', 0, None, None]","[17270, 1, 'Feb', 0, None, None]","[8728, 1, 'Jan', 0, None, None]","[8101, 1, 'Dec', 0, None, None]","[9246, 1, 'Jan', 0, None, None]","[12397, 1, 'Jan', 0, None, None]","[9682, 1, 'Jan', 0, None, None]","[10245, 1, 'Dec', 0, None, None]","[18280, 1, 'Feb', 0, None, None]","[9879, 1, 'Jan', 0, None, None]","[15601, 1, 'Jan', 0, None, None]","[6123, 1, 'Feb', 0, None, None]","[7493, 1, 'Feb', 0, None, None]",2020-01-19 18:03:23
Ribble Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3730, 1, 'Feb', 0, None, None]","[3219, 1, 'Aug', 0, None, None]","[14500, 1, 'Feb', 0, None, None]","[5670, 1, 'Feb', 0, None, None]","[7820, 1, 'Jan', 0, None, None]","[13700, 1, 'Jan', 0, None, None]","[2063, 1, 'Jan', 0, None, None]","[7170, 2, 'Feb', 0, None, None]","[2294, 1, 'Dec', 0, None, None]","[6420, 1, 'Dec', 0, None, None]","[3852, 1, 'Jan', 0, None, None]","[5919, 1, 'Sep', 0, None, None]","[15482, 1, 'Dec', 0, None, None]","[7294, 1, 'Dec', 0, None, None]","[13562, 1, 'Dec', 0, None, None]","[9445, 1, 'Dec', 0, None, None]","[8917, 1, 'Nov', 0, None, None]","[10883, 1, 'Nov', 0, None, None]","[21174, 1, 'Jan', 0, None, None]","[32145, 1, 'Nov', 0, None, None]","[32590, 1, 'Dec', 0, None, None]","[27444, 1, 'Feb', 0, None, None]","[28802, 1, 'Dec', 0, None, None]","[6495, 1, 'Jan', 0, None, None]","[22308, 1, 'Feb', 0, None, None]","[28270, 1, 'Dec', 0, None, None]","[18108, 1, 'Dec', 0, None, None]","[24932, 1, 'Nov', 0, None, None]","[15360, 1, 'Jan', 0, None, None]","[11022, 2, 'Jan', 0, None, None]","[12405, 2, 'Nov', 0, None, None]","[10151, 2, 'Oct', 0, None, None]","[14500, 2, 'Dec', 0, None, None]","[15374, 2, 'Dec', 0, None, None]","[25991, 1, 'Jan', 0, None, None]","[24265, 1, 'Jan', 0, None, None]","[13821, 1, 'Feb', 0, None, None]","[18066, 1, 'Feb', 0, None, None]","[16777, 1, 'Nov', 0, None, None]","[19517, 1, 'Nov', 0, None, None]","[15213, 1, 'Nov', 0, None, None]","[11676, 1, 'Dec', 0, None, None]","[11460, 1, 'Nov', 0, None, None]","[16861, 1, 'Jan', 0, None, None]","[9486, 1, 'Nov', 0, None, None]","[9339, 2, 'Jan', 0, None, None]","[11585, 2, 'Dec', 0, None, None]","[7160, 1, 'Feb', 0, None, None]",2020-01-19 18:03:23
Severn Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[3355, 1, 'Dec', 0, None, None]","[12682, 1, 'Jan', 0, None, None]","[7874, 1, 'Aug', 0, None, None]","[14718, 1, 'Jan', 0, None, None]","[8259, 1, 'Jan', 0, None, None]","[7968, 1, 'Dec', 0, None, None]","[6462, 1, 'Nov', 0, None, None]","[9385, 1, 'Dec', 0, None, None]","[8949, 1, 'Dec', 0, None, None]","[1989, 1, 'Feb', 0, None, None]","[1455, 1, 'Jan', 0, None, None]","[4330, 1, 'Oct', 0, None, None]","[6022, 1, 'Jan', 0, None, None]","[7488, 1, 'Feb', 0, None, None]","[9177, 1, 'Nov', 0, None, None]","[4864, 1, 'Dec', 0, None, None]","[1884, 1, 'Oct', 0, None, None]","[1413, 1, 'Jan', 0, None, None]","[2676, 1, 'Feb', 0, None, None]","[4553, 1, 'Jan', 0, None, None]","[2975, 1, 'Dec', 0, None, None]","[3962, 1, 'Feb', 0, None, None]","[5716, 1, 'Feb', 0, None, None]","[6294, 1, 'Jan', 0, None, None]","[16251, 1, 'Jan', 0, None, None]","[10956, 1, 'Nov', 0, None, None]","[10441, 1, 'Dec', 0, None, None]","[14843, 2, 'Jan', 0, None, None]","[8029, 1, 'Jan', 0, None, None]","[19034, 2, 'Dec', 0, None, None]","[9817, 2, 'Feb', 0, None, None]","[7439, 1, 'Jan', 0, None, None]","[7836, 1, 'Jan', 0, None, None]","[6889, 2, 'Dec', 0, None, None]","[11312, 1, 'Jan', 0, None, None]","[19434, 1, 'Feb', 0, None, None]","[9895, 1, 'Feb', 0, None, None]","[11035, 1, 'Jan', 0, None, None]","[11951, 1, 'Feb', 0, None, None]","[8000, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[4455, 2, 'Jan', 0, None, None]","[12023, 1, 'Nov', 0, None, None]","[9943, 1, 'Feb', 0, None, None]","[13252, 1, 'Jan', 0, None, None]","[6731, 1, 'Dec', 0, None, None]","[8230, 2, 'Jan', 0, None, None]","[10023, 2, 'Dec', 0, None, None]","[11641, 1, 'Jan', 0, None, None]",2020-01-19 18:03:23
Mersey Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1400, 1, 'Feb', 0, None, None]","[2600, 1, 'Jan', 0, None, None]","[1481, 1, 'Feb', 0, None, None]","[1786, 1, 'Sep', 0, None, None]","[1476, 1, 'Jan', 0, None, None]","[3810, 1, 'Jan', 0, None, None]","[3070, 1, 'Oct', 0, None, None]","[1140, 1, 'Sep', 0, None, None]","[3780, 1, 'Nov', 0, None, None]","[5485, 1, 'Feb', 0, None, None]","[200, 1, 'Jan', 0, None, None]","[2700, 1, 'Oct', 0, None, None]","[2000, 1, 'Sep', 0, None, None]","[6000, 1, 'Nov', 0, None, None]","[8000, 1, 'Dec', 0, None, None]","[2200, 1, 'Dec', 0, None, None]","[1700, 1, 'Nov', 0, None, None]","[2180, 1, 'Feb', 0, None, None]","[2512, 1, 'Dec', 0, None, None]","[6150, 1, 'Jan', 0, None, None]","[11720, 1, 'Dec', 0, None, None]","[12500, 1, 'Nov', 0, None, None]","[8584, 1, 'Jan', 0, None, None]","[9036, 1, 'Jan', 0, None, None]","[16601, 1, 'Dec', 0, None, None]","[11137, 2, 'Dec', 0, None, None]","[10793, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[10173, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[10650, 1, 'Jan', 0, None, None]","[13620, 1, 'Nov', 0, None, None]","[1930, 1, 'Jan', 0, None, None]","[5284, 1, 'Dec', 0, None, None]","[5675, 1, 'Dec', 0, None, None]","[12150, 1, 'Dec', 0, None, None]","[9370, 1, 'Jan', 0, None, None]","[6266, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[4572, 1, 'Jan', 0, None, None]","[7154, 1, 'Feb', 0, None, None]","[3500, 1, 'Dec', 0, None, None]","[3290, 1, 'Feb', 0, None, None]","[2106, 1, 'Jan', 0, None, None]","[7022, 1, 'Dec', 0, None, None]","[4381, 1, 'Feb', 0, None, None]","[9776, 1, 'Jan', 0, None, None]","[11553, 1, 'Nov', 0, None, None]","[6419, 1, 'Jan', 0, None, None]","[10801, 1, 'Jan', 0, None, None]","[9034, 1, 'Nov', 0, None, None]",2020-01-19 18:03:23
