Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughAccessTime
Somerset Levels,6176,3992,6438,4243,4763,4774,4027,4612,4351,3767,1911,4287,4242,4780,4365,828,1056,1262,1125,1215,Nov,1097,1097,1,2019-11-21 13:58:19
Loughs Neagh and Beg,2093,1282,1620,910,1148,2784,2143,1686,2027,1733,2048,2199,2205,2377,2037,1050,1101,811,1103,1060,Sep,1025,1025,1,2019-11-21 13:58:19
Fleet and Wey,702,794,929,1123,704,889,779,1032,820,1300,1352,1524,1636,1797,1803,695,799,1167,992,947,Nov,920,920,1,2019-11-21 13:58:19
Upper Lough Erne,2402,"4,168Supplementary visit under the WeBS Core Count SurveyWeBS",3657,4457,"3,580Supplementary visit under the WeBS Core Count SurveyWeBS","3,988Supplementary visit under the WeBS Core Count SurveyWeBS","3,595Supplementary visit under the WeBS Core Count SurveyWeBS",2454,"2,606Supplementary visit under the WeBS Core Count SurveyWeBS","2,918Supplementary visit under the WeBS Core Count SurveyWeBS","(3,024)","3,336Supplementary visit under the WeBS Core Count SurveyWeBS","3,182Supplementary roost count under the WeBS Core Count SurveyWeBS",2416,2430,692,722,586,718,462,Dec,636,636,1,2019-11-21 13:58:19
Loch Leven,3450,4250,3950,1370,2630,2560,1725,1641,2890,1272,2001,1865,4350,3352,3168,524,686,474,588,627,Jul,580,580,1,2019-11-21 13:58:19
Loch Bee (South Uist),2465,2767,3265,2761,2936,2836,3353,3884,3661,2954,3091,3086,3334,2846,"(2,431)",420,437,575,498,497,Aug,485,485,1,2019-11-21 13:58:19
Rutland Water,2440,2230,2400,3800,3280,3350,2930,3150,2211,2000,1665,2250,2640,2350,2000,396,403,537,450,472,Sep,452,452,1,2019-11-21 13:58:19
Severn Estuary,2211,1912,2066,2200,2181,2020,2580,"(2,524)",2824,2022,2203,2343,2153,1897,1656,365,500,460,403,374,Dec,420,420,1,2019-11-21 13:58:19
Ouse Washes,471,487,800,671,459,574,456,728,658,731,722,842,1074,1134,1250,505,436,377,384,287,Nov,398,398,1,2019-11-21 13:58:19
Aqualate Mere,1907,1906,1600,1590,1460,"1,625Supplementary visit under the WeBS Core Count SurveyWeBS",1060,1200,1620,1261,1178,675,2169,"(1,418)",992,335,387,452,424,381,Aug,396,396,1,2019-11-21 13:58:19
Cotswold Water Park,"(1,528)",1615,2681,1925,2624,1335,1345,1557,1646,2029,1251,1776,1077,1004,"(1,638)",359,410,469,388,337,Nov,393,393,1,2019-11-21 13:58:19
Abberton Reservoir,"(1,022)",2512,541,613,1162,689,352,1093,187,208,311,643,1454,810,987,479,390,335,361,267,Aug,366,366,1,2019-11-21 13:58:19
Tweed Estuary,1496,1650,1309,1164,1531,1222,1295,1563,1660,1250,1270,1697,1396,1432,1524,314,360,334,406,395,Jun,362,362,1,2019-11-21 13:58:19
Loch of Harray,1192,1181,1277,"(1,049)","(1,240)",959,995,1308,1547,1103,1003,948,1382,1076,1220,368,368,290,287,311,Jan,325,325,1,2019-11-21 13:58:19
Loch of Strathbeg,1971,2356,3295,1816,2384,2649,2453,2534,2417,2316,2586,3030,1886,1910,3118,437,282,198,372,281,Sep,314,314,1,2019-11-21 13:58:19
Stour Estuary,1291,1995,"(1,619)",1279,1556,1092,1217,1348,1011,935,1001,1392,"(1,390)",1181,1701,436Standard visit under the WeBS Low Tide Count SurveyWeBS,294,222,242,249,Sep,289,289,1,2019-11-21 13:58:19
Chichester Harbour,1236,1551,1086,1213,1194,1405,1094,1324,1643,1089,1233,1518,1276,1823,858,297,280,237,253,284,Nov,270,270,1,2019-11-21 13:58:19
Cotswold Water Park (West),3045,3334,3126,1683,2455,2208,1891,1740,1895,1240,1926,2145,2380,1954,2153,251,272,nan,nan,nan,nan,262,262,1,2019-11-21 13:58:19
Severn Estuary (Welsh counties),1819,1539,1778,1635,1452,1800,2010,2247,"(1,301)",2972,"(1,981)",1432,1427,1474,1029,206,345,291,254,213,Jul,262,262,1,2019-11-21 13:58:19
Severn Estuary (English counties),1198,1514,1807,2227,1851,1568,1621,1586,1010,1950,2177,2125,1630,1530,1222,215,253,253,291,272,Feb,257,257,1,2019-11-21 13:58:19
Ditchford Gravel Pits,690,960,630,975,660,1015,895,1195,590,710,625,1180,1200,1185,675,209,163,232,346,283,Oct,247,247,1,2019-11-21 13:58:19
Earls Barton Gravel Pits,"(2,089)",2001,3460,1626,"(2,957)","(2,347)",2455,2155,"(1,911)",2166,1644,2417,1799,1097,1184,252,281,216,166,307,Dec,244,244,1,2019-11-21 13:58:19
Dungeness and Rye Bay,1734,868,2237,1730,1455,1920,1370,1117,1159,1022,960,1282,975,885,1015,279,315,253,150,173,Oct,234,234,1,2019-11-21 13:58:19
Fen Drayton Lakes,1767,"(1,557)",1818,2031,1622,1505,1632,1902,972,872,1126,"(1,182)",1413,1131,956,(265),194,199,239,257,Jun,231,231,1,2019-11-21 13:58:19
Sutton and Lound Gravel Pits,1339,1134,1239,670,886,941,1006,883,611,(607),(452),(549),(431),359,826,235,189,245,234Supplementary visit under the WeBS Core Count SurveyWeBS,226,Jul,226,226,1,2019-11-21 13:58:19
Montrose Basin,1376,"(1,242)",1206,(828),(813),721,670,464,686,563,939,890,989,846,964,227,(144),203,(189),(145),Aug,215,215,1,2019-11-21 13:58:19
Deben Estuary,493,371,763,855,697,539,406,402,517,1164,854,1291,1104,869,439,203,235,(168),186,217,Jan,210,210,1,2019-11-21 13:58:19
Fairburn Ings,nan,70Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,597,1144,289,(199),221,158,163,Jul,208,208,1,2019-11-21 13:58:19
Forth Estuary,645,628,726,936,778,673,733,(529),666,361,320,(289),633,588,677,177,(177),222,223,211,Aug,208,208,1,2019-11-21 13:58:19
Alde Estuary,1696,1336,1298,1181,705,791,1025,1133,1036,824,965,995,1079,1103,1099,166,196,179,201,212,Jan,191,191,1,2019-11-21 13:58:19
