Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Brookleys Lake,nan,nan,nan,nan,nan,"2Staffordshire Mandarin countsS.J.Turner, West Midlands Bird Club",nan,"4Staffordshire Mandarin countsS.J.Turner, West Midlands Bird Club","11Staffordshire Mandarin countsS.J.Turner, West Midlands Bird Club","98Staffordshire Mandarin countsS.J.Turner, West Midlands Bird Club","51Staffordshire Mandarin countsS.J.Turner, West Midlands Bird Club","160Staffordshire Mandarin countsS.J.Turner, West Midlands Bird Club",86,87,63,160,126,202.0,118,208.0,Dec,163,163,1,2019-11-22 02:51:25
River Wharfe - Strid Wood,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80Supplementary visit under the WeBS Core Count SurveyWeBS,163Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,nan,122,122,1,2019-11-22 02:51:25
Stratfield Saye,29,6,5,0,4,0,7,5,6,13,10,10,(60),21,73,34,103,40.0,125,100.0,Jan,80,80,1,2019-11-22 02:51:25
Harewood Lake,8,6,10,11,53,35,31,15,39,25,44,62,32,61,53,101,79,81.0,28,80.0,Sep,74,74,1,2019-11-22 02:51:25
Welbeck Estate,nan,1,0,0,0,4,(7),1,1,2,5,0,6,0,0,5,39,79.0,52,157.0,Nov,66,66,1,2019-11-22 02:51:25
River Derwent - Chatsworth,0,0,0,0,1,2,2,0,1,2,8,4,4,nan,7,35,27,123.0,73,49.0,Feb,61,61,1,2019-11-22 02:51:25
Linacre Reservoirs,1,2,3,5,14,17,23,23,25,35,23,45,135,41,70,58,50,77.0,85,30.0,Jun,60,60,1,2019-11-22 02:51:25
Stockgrove Country Park,34,66,80,54,70,43,nan,nan,nan,3,67,39,121,25,40,50,28,82.0,73,43.0,Oct,55,55,1,2019-11-22 02:51:25
Bowood Lake,0,7,0,0,7,13,4,4,6,26,2,10,17,39,7,51,43,48.0,34,46.0,Sep,44,44,1,2019-11-22 02:51:25
Radnor Mere,5,11,13,0,9,12,12,4,6,15,12,26,33,41,154Supplementary visit under the WeBS Core Count SurveyWeBS,37,43,44.0,22,76.0,Aug,44,44,1,2019-11-22 02:51:25
Etherow Country Park,0,0,(0),(0),0,0,1,2,nan,16,nan,32,21,46,24,nan,nan,nan,37,nan,nan,37,37,1,2019-11-22 02:51:25
Burnham Beeches NR - Upper and Middle Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18,35,26.0,72,28.0,Jan,36,36,1,2019-11-22 02:51:25
Blackbrook Reservoir,nan,nan,nan,1,0,2,2,17,16,13,8,64Supplementary visit under the WeBS Core Count SurveyWeBS,79Supplementary visit under the WeBS Core Count SurveyWeBS,27Supplementary visit under the WeBS Core Count SurveyWeBS,2,7,26,11.0,88,36.0,Oct,34,34,1,2019-11-22 02:51:25
Dee Flood Meadows,38,36,31,79,49,32,42,36,83,48,35,47,30,143,64,65,12,42.0,35,14.0,Oct,34,34,1,2019-11-22 02:51:25
