Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Somerset Levels,15.0,96,35.0,207.0,248.0,110.0,29.0,74.0,55,233,271.0,311,234,356.0,525,(469),(602),(608),710,734.0,(733),"(1,011)",1110,1084,1098,883,1076,1024,1164,1098,1252,1174,951,1074,778,828,1056,1262,1125,1215,Nov,1097,1097,1,2019-11-27 18:13:04
Loughs Neagh and Beg,nan,nan,nan,nan,nan,nan,nan,401.0,1075,1238,1114.0,1458,1205,1594.0,1746,1290,1709,2179,1844,1678.0,2422,2016,1950,1423,1510,920,949,1024,770,1012,702,898,951,857,851,1050,1101,811,1103,1060,Sep,1025,1025,1,2019-11-27 18:13:04
Fleet and Wey,831.0,1137,847.0,877.0,815.0,747.0,618.0,641.0,657,669,88.0,891,1029,1173.0,1126,1196,1227,1151,1185,1313.0,1141,1177,1150,1228,1368,1092,1118,1147,1013,867,990,897,922,774,743,695,799,1167,992,947,Nov,920,920,1,2019-11-27 18:13:04
Upper Lough Erne,nan,nan,nan,nan,nan,nan,nan,nan,197,229,336.0,430,470,nan,355,413,456,456,590,468.0,351,328,445,306,323,272,449,300,457,354,351,396,650,440,399,692,722,586,718,462,Dec,636,636,1,2019-11-27 18:13:04
Loch Leven,58.0,73,30.0,89.0,97.0,181.0,31.0,172.0,94,165,133.0,286,140,49.0,48,298,86,60,199,71.0,423,406,496,506,550,526,202,319,542,520,544,434,428,665,685,524,686,474,588,627,Jul,580,580,1,2019-11-27 18:13:04
Loch Bee (South Uist),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,254,307,nan,nan,nan,nan,nan,nan,nan,nan,341,343,200,297,407,630,267,401,399,605,nan,481,398,509,420,437,575,498,497,Aug,485,485,1,2019-11-27 18:13:04
Rutland Water,64.0,73,65.0,97.0,125.0,184.0,181.0,171.0,147,229,258.0,205,246,299.0,257,342,280,295,396,485.0,469,617,547,590,594,542,593,510,588,499,562,555,637,542,497,396,403,537,450,472,Sep,452,452,1,2019-11-27 18:13:04
Severn Estuary,6.0,10,11.0,27.0,16.0,24.0,16.0,24.0,44,45,54.0,119,127,132.0,125,131,151,184,239,302.0,299,248,337,339,284,(318),390,390,421,477,383,381,334,368,365,365,500,460,403,374,Dec,420,420,1,2019-11-27 18:13:04
Ouse Washes,318.0,371,443.0,548.0,621.0,643.0,570.0,477.0,500,586,399.0,544,414,365.0,615,923,726,427,(364),432.0,(663),662,726Supplementary visit under the WeBS Core Count SurveyWeBS,"1,110Supplementary visit under the WeBS Core Count SurveyWeBS",782Supplementary visit under the WeBS Core Count SurveyWeBS,606,806Supplementary visit under the WeBS Core Count SurveyWeBS,427Supplementary visit under the WeBS Core Count SurveyWeBS,508Supplementary visit under the WeBS Core Count SurveyWeBS,1151,"(1,010)",625Supplementary visit under the WeBS Core Count SurveyWeBS,437,247,749,505,436,377,384,287,Nov,398,398,1,2019-11-27 18:13:04
Aqualate Mere,0.0,1,3.0,2.0,2.0,5.0,12.0,0.0,0,3,10.0,8,53,7.0,8,4,15,24,92,11.0,64,11,23,5,27,18,22,36,35,93,63,75,37,108,199,335,387,452,424,381,Aug,396,396,1,2019-11-27 18:13:04
Cotswold Water Park,140.0,130,140.0,151.0,206.0,173.0,210.0,195.0,183,180,200.0,205,258,223.0,201,214,240,271,267,239.0,256,227,175,307,237,284,324,378,319,332,340,403,363,402,306,359,410,469,388,337,Nov,393,393,1,2019-11-27 18:13:04
Abberton Reservoir,189.0,239,139.0,117.0,346.0,427.0,432.0,450.0,547,481,440.0,599,635,562.0,487,572,624,538,480,428.0,512,520,328,187,387,379,318,373,(399),311,348,326,428,549,465,479,390,335,361,267,Aug,366,366,1,2019-11-27 18:13:04
Tweed Estuary,120.0,431,683.0,482.0,564.0,767.0,674.0,602.0,309,268,240.0,360,368,405.0,640,720,593,212,(664),544.0,615,580,575,464Supplementary visit under the WeBS Core Count SurveyWeBS,414,582,614,460,583,364,477,632,456,390,228,314,360,334,406,395,Jun,362,362,1,2019-11-27 18:13:04
Loch of Harray,102.0,93,95.0,153.0,183.0,234.0,177.0,216.0,293,456,655.0,683,1205,564.0,261,275,211,219,249,413.0,441,(495),597,597,672,522,467,251,263,206,236,293,320,357,394,368,368,290,287,311,Jan,325,325,1,2019-11-27 18:13:04
Loch of Strathbeg,293.0,306,278.0,314.0,309.0,280.0,242.0,263.0,163,187,50.0,129,126,212.0,168,249,167,186,(177),178.0,175,352,209,96,180,345,214,265,275,174,229,206,298,215,458,437,282,198,372,281,Sep,314,314,1,2019-11-27 18:13:04
