Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Alvecote Pools,0,(0),0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Barcombe Mills Reservoir,0,0,0,0.0,1.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Barton Pits and Catholme,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,(0),0.0,0,0,0.0,nan,nan,nan,nan,0,0,1,2019-11-22 02:49:24
Blithfield Reservoir,0,1,0,0.0,0.0,0.0,0,nan,nan,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Bramshill Park Lake,0,0,(0),0.0,0.0,0.0,(0),(0),0.0,(0),0,0.0,0,0.0,0,1,1.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Chew Valley Lake,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Croxall Pits,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,nan,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Cuckmere Estuary,0,0,0,0.0,1.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,(0),0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Dee Estuary (England and Wales),0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,2.0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Dee Estuary (English counties),0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,2.0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Dee Estuary (Welsh counties),0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Enton Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,0,0.0,1,0.0,nan,nan,0,0,1,2019-11-22 02:49:24
Epsom Common Ponds,(0),nan,0,0.0,0.0,0.0,0,0,nan,nan,nan,nan,nan,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
King George VI Reservoir,0,0,0,0.0,0.0,0.0,0,0,0.0,0,(0),0.0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Lyndridge Farm,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Middle Tame Valley Gravel Pits,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,(0),0,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Par Sands Pools and St Andrews Road,0,0,0,0.0,0.0,1.0,1,0,0.0,0,0,0.0,0,0.0,(0),0,0.0,0,nan,0.0,nan,0,0,1,2019-11-22 02:49:24
Petworth Park Lakes,0,(0),0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1,2.0,3,1Supplementary visit under the WeBS Core Count SurveyWeBS,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
Shakerley Mere,0,0,0,0.0,0.0,0.0,0,0,0.0,0,1,1.0,0,0.0,0,0,0.0,0,0.0,0.0,nan,0,0,1,2019-11-22 02:49:24
END
