Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Montrose Basin,600,0.0,1700.0,1800.0,6130.0,9500,9425.0,12000.0,12600,35000.0,22000.0,12000.0,"(15,000)",15000,23000.0,41200,36000,16000,12000,"15,150Standard visit under the WeBS Low Tide Count SurveyWeBS",27830,"18,480Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","29,922Supplementary roost count under the WeBS Core Count SurveyWeBS","38,669Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","11,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","10,149Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","31,896Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","30,181Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","25,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","23,945WWT/JNCC National Grey Goose Censusnull","38,911Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",6500,"65,060Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","63,356Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","63,844Supplementary roost count under the WeBS Core Count SurveyWeBS","46,796Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","78,970Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","85,632Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","90,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","80,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Oct,76280,76280,1,2019-11-28 10:23:17
North Norfolk Coast,0,0.0,1.0,0.0,3000.0,8000,337.0,9800.0,2500,4001.0,10350.0,15600.0,8216,14000,200.0,27330,18356,10262,41618,49787,83,"66,370Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","63,850Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","69,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","91,100Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","122,000Supplementary roost count under the WeBS Core Count SurveyWeBS","110,000Supplementary daytime countsnull","84,330Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","86,300Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","60,583WWT/JNCC National Grey Goose Censusnull","56,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","47,890Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","55,537Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","61,760Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","44,720Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","68,609Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","35,475Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","43,450Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","46,434Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","48,483Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Nov,48490,48490,1,2019-11-28 10:23:17
West Water Reservoir,6500,4300.0,7000.0,12340.0,10680.0,19400,8700.0,13780.0,24610,22400.0,19334.0,23170.0,12430,31100,23500.0,15200,26400,nan,"(25,500)",38700,18540,"28,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","26,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","23,270Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","40,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","34,210Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",496,"(64,100)","(56,900)","27,960WWT/JNCC National Grey Goose Censusnull","47,361Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","26,400Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","16,650Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","18,400Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","20,250unspecified sea-watchnull","28,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","29,600Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",82920,"15,300Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",48218,Oct,40848,40848,1,2019-11-28 10:23:17
Loch of Strathbeg,6200,5000.0,5200.0,5900.0,6200.0,7400,20200.0,27900.0,29800,20850.0,30200.0,30400.0,28150,17150,25450.0,38970,52700,"(30,000)","(32,000)",27600,"(37,078)",31031,"42,615Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","46,898Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",39900,"66,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","65,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","68,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",37396,"39,370WWT/JNCC National Grey Goose Censusnull","53,454Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","60,626Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","35,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","27,260Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",31680,"(22,620)","64,655Supplementary roost count under the WeBS Core Count SurveyWeBS","31,720Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","31,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",11992,Oct,34842,34842,1,2019-11-28 10:23:17
Loch of Skene,0,0.0,0.0,0.0,20.0,0,1.0,2.0,40,20.0,nan,7.0,4,3,100.0,264,30,100,0,(51),(244),60Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,13550,"13,175Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","8,420Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","8,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","12,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","17,730Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","22,930Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","19,000WWT/JNCC National Grey Goose Censusnull","18,560Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","16,780Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","27,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","18,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","34,410unspecified sea-watchnull","28,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","48,675Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","31,700Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","34,610Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","28,450Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Jan,34387,34387,1,2019-11-28 10:23:17
The Wash,2284,6450.0,5041.0,10500.0,5811.0,5500,9500.0,8288.0,2692,6621.0,9382.0,19168.0,25330,17804,8131.0,42665,25560,24589,14828,17244,35744,"19,450Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","22,050Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",35000,37853,27353,"35,360Supplementary daytime countsnull","49,610Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",33485,49317,"51,950Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","28,700Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","37,350Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","32,150Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","28,100Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","43,260Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",34425,24144,"47,600Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","21,685Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Nov,34223,34223,1,2019-11-28 10:23:17
WWT Martin Mere,1700,1500.0,5000.0,3000.0,10000.0,3500,2000.0,4400.0,11500,10000.0,2000.0,7000.0,5000,3500,5000.0,7100,7500,8900,2970,2600,11000,16200,5000,"18,000Supplementary visit under the WeBS Core Count SurveyWeBS","23,000Supplementary roost count under the WeBS Core Count SurveyWeBS","12,000Supplementary visit under the WeBS Core Count SurveyWeBS","21,000Supplementary roost count under the WeBS Core Count SurveyWeBS","20,000Supplementary roost count under the WeBS Core Count SurveyWeBS",16000,13500,17000,"(16,000)","12,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",16000,"11,750Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",29400,"19,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","32,290Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",33250,30050,Oct,28838,28838,1,2019-11-28 10:23:17
Inner Moray and Beauly Firths,1000,420.0,30.0,500.0,75.0,"1,600Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",0.0,0.0,21,8611.0,956.0,37.0,910,2405,564.0,869,(72),1000,1516,"3,000Supplementary visit under the WeBS Core Count SurveyWeBS",4402,750Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"5,563Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","14,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",947Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"25,110Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","18,080Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","13,100Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","3,800Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","7,800WWT/JNCC National Grey Goose Censusnull","9,850Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","14,526Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","8,800Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","11,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",20474,"19,600Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",13820,26002,41914,"34,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Oct,27167,27167,1,2019-11-28 10:23:17
Morecambe Bay,280,115.0,0.0,2160.0,15.0,21,20.0,8.0,2313,446.0,389.0,1596.0,1702,2523,3009.0,"(2,229)",540,5503,8671,"(3,000)",(189),2347,7143,"14,100Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","14,600Supplementary visit under the WeBS Core Count SurveyWeBS","20,550Supplementary visit under the WeBS Core Count SurveyWeBS","26,910Supplementary roost count under the WeBS Core Count SurveyWeBS","25,180Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","(7,145)","4,250WWT/JNCC National Grey Goose Censusnull","(7,255)",2757,10689,"23,450Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","36,382Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","22,590Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","31,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","15,630Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","21,850Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","38,600Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Oct,25934,25934,1,2019-11-28 10:23:17
Carsebreck and Rhynd Lochs,3810,nan,nan,1890.0,4920.0,2840,500.0,7200.0,9,11400.0,15090.0,11200.0,6900,7770,8000.0,"(4,720)",14500,8000,0,670,760,"15,400Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","16,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","14,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","10,320Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","11,450Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","8,770Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","11,130Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","12,600Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","11,200WWT/JNCC National Grey Goose Censusnull","15,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","18,250Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","16,550Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","19,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","20,700unspecified sea-watchnull","18,200Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","20,600Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","23,000Supplementary roost count under the WeBS Core Count SurveyWeBS","18,000Supplementary roost count under the WeBS Core Count SurveyWeBS","27,000Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Oct,21360,21360,1,2019-11-28 10:23:17
