Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Abberton Reservoir,0,0.0,0,0,0.0,0,0.0,0,(0),0,2,2,0.0,2.0,3,2,2,0.0,0.0,0,nan,1,1,1,2019-11-24 05:17:03
Capesthorne Hall Pools,0,0.0,0,0,0.0,0,0.0,0,nan,0,0,0,0.0,0.0,1,1,nan,nan,nan,nan,nan,1,1,1,2019-11-24 05:17:03
Edington Lake,0,0.0,0,0,0.0,0,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,1,1.0,0.0,0,nan,1,1,1,2019-11-24 05:17:03
North Warren and Thorpeness Mere,0,0.0,nan,0,0.0,0,0.0,1Supplementary visit under the WeBS Core Count SurveyWeBS,2,1,1,1,5.0,4.0,3,2,2,2.0,0.0,0,nan,1,1,1,2019-11-24 05:17:03
Redesmere,0,0.0,0,0,0.0,0,0.0,0,nan,0,0,0,0.0,0.0,1,1,nan,nan,nan,nan,nan,1,1,1,2019-11-24 05:17:03
Alde Estuary,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,1,0,0.0,0.0,0,nan,0,0,1,2019-11-24 05:17:03
Aqualate Mere,0,0.0,0,0,0.0,0,1.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,nan,0,0,1,2019-11-24 05:17:03
Ardingly Reservoir,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,1,0.0,0.0,0,nan,0,0,1,2019-11-24 05:17:03
Arun Valley,1,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,1,1,0.0,0.0,0,nan,0,0,1,2019-11-24 05:17:03
Barcombe Mills Reservoir,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1.0,0.0,0,0,0,0.0,0.0,0,nan,0,0,1,2019-11-24 05:17:03
Barrow Upon Trent Gravel Pit,0,0.0,0,0,0.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),nan,0,0,1,2019-11-24 05:17:03
Beaulieu Estuary,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1.0,0,1,0,0.0,0.0,0,nan,0,0,1,2019-11-24 05:17:03
Big Waters,nan,nan,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,Nov,0,0,1,2019-11-24 05:17:03
Blackwater Estuary,0,0.0,0,0,0.0,0,0.0,0,0,1,2,2,0.0,0.0,0,0,0,0.0,0.0,0,nan,0,0,1,2019-11-24 05:17:03
Blagdon Lake,0,0.0,0,1,1.0,1,1.0,0,0,0,(0),0,0.0,0.0,0,0,0,0.0,0.0,0,nan,0,0,1,2019-11-24 05:17:03
Block Fen Pits,(0),nan,nan,nan,nan,nan,nan,0,0,1,0,0,0.0,0.0,(0),0,0,nan,nan,nan,nan,0,0,1,2019-11-24 05:17:03
