Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Bray Gravel Pits,0,0,nan,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,nan,nan,nan,nan,1,1,1,2019-11-22 02:56:28
Drift Reservoir,0,0,0,1,0,0,0,0.0,0,0,nan,0,0,0,0,0.0,1.0,0.0,2,0,nan,1,1,1,2019-11-22 02:56:28
Loch of Skaill,0,(0),0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,1.0,1.0,1,0,nan,1,1,1,2019-11-22 02:56:28
Milton Loch (Dumfries and Galloway),0,(0),0,(0),0,(0),0,nan,0,(0),nan,0,0,0,0,0.0,0.0,2.0,1,1,Nov,1,1,1,2019-11-22 02:56:28
The Cuilc,0,0,0,0,0,0,0,0.0,0,0,0,0,nan,nan,nan,nan,nan,1.0,1,0,nan,1,1,1,2019-11-22 02:56:28
Abberton Reservoir,0,0,0,0,0,0,0,0.0,(0),0,0,0,0,0,0,0.0,0.0,0.0,0,1,Oct,0,0,1,2019-11-22 02:56:28
Altofts Ings,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,nan,nan,nan,0,0,1,2019-11-22 02:56:28
Angle Park Loch (Birns Farm Gravel Pit),nan,nan,nan,0,0,0,0,0.0,0,0,0,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0.0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:56:28
Anglers Country Park Lake,1,0,0,0,1,0,0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:56:28
Argal and College Reservoirs,0,0,0,0,0,0,0,1.0,2,0,0,0,0,0,0,0.0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:56:28
Ashford Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0.0,1.0,0.0,0,0,nan,0,0,1,2019-11-22 02:56:28
Attenborough Gravel Pits,(0),(0),0,0,nan,0,1,0.0,0,0,(0),(0),(0),(0),(0),0.0,0.0,0.0,0,nan,nan,0,0,1,2019-11-22 02:56:28
Balranald Nature Reserve,nan,0,(0),0,0,0,0,0.0,0,0,0,0,0,0,1,1.0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:56:28
Barcombe Mills Reservoir,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:56:28
Bardney Pit,0,0,0,0,0,nan,nan,0.0,0,0,0,0,1,0,1,0.0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:56:28
Barrow Gurney Reservoir,1,1,0,1,1,1,1,1.0,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:56:28
Bassenthwaite Lake,0,(0),0,(0),0,0,(0),0.0,0,1,1,0,0,(0),0,0.0,0.0,0.0,(0),(0),nan,0,0,1,2019-11-22 02:56:28
Beesands Ley,0,0,0,0,(0),0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,Feb,0,0,1,2019-11-22 02:56:28
