Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Kilmardinny Loch,(2),5,4,4,4,(2),(4),2,2,2.0,2.0,4.0,(0),4,7.0,6,6,6.0,(2),0,nan,5,5,1,2019-11-22 03:20:12
Chew Valley Lake,255,390Ruddy Duck supplementary countsWWT/CSL,647Ruddy Duck supplementary countsWWT/CSL,491Supplementary visit under the WeBS Core Count SurveyWeBS,427Supplementary visit under the WeBS Core Count SurveyWeBS,488Ruddy Duck supplementary countsWWT/CSL,220Ruddy Duck supplementary countsWWT/CSL,257Ruddy Duck supplementary countsWWT/CSL,130,17.0,65.0,19.0,11,3,10.0,7,6,2.0,0,0,nan,3,3,1,2019-11-22 03:20:12
Leybourne and New Hythe Gravel Pits,nan,nan,1,0,0,0,nan,0,0,nan,nan,0.0,0,0,0.0,nan,3,nan,nan,nan,nan,3,3,1,2019-11-22 03:20:12
Blagdon Lake,426,360,152,463,394,249,151Ruddy Duck supplementary countsWWT/CSL,172,85,103.0,36.0,4.0,4,(2),1.0,3,5,1.0,0,0,nan,2,2,1,2019-11-22 03:20:12
Brent Reservoir,46,44,61,73,104,25,133,77,85,46.0,30.0,12.0,15,9,15.0,3,7,0.0,0,0,nan,2,2,1,2019-11-22 03:20:12
Dearne Valley,nan,21Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,nan,nan,nan,40Ruddy Duck supplementary countsWWT/CSL,3Ruddy Duck supplementary countsWWT/CSL,nan,nan,nan,nan,4,9.0,4,4,1.0,1,0,nan,2,2,1,2019-11-22 03:20:12
Dungeness and Rye Bay,41,110,137,224,268,230,287,257,193,73.0,31.0,6.0,16,9,2.0,4,3,0.0,0,1,Oct,2,2,1,2019-11-22 03:20:12
Amberswood Common,nan,1,0,0,0,(0),(2),6,11,nan,2.0,0.0,2,nan,nan,nan,nan,nan,nan,1,Dec,1,1,1,2019-11-22 03:20:12
Aston On Trent Gravel Pits,nan,0,5,nan,nan,0,1,0,nan,nan,nan,nan,0,0,0.0,nan,nan,0.0,1,nan,nan,1,1,1,2019-11-22 03:20:12
Cotswold Water Park (East),2,3,2,3,1,22,3,1,1,1.0,6.0,1.0,0,0,1.0,(0),1,nan,nan,nan,nan,1,1,1,2019-11-22 03:20:12
