Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Cotswold Water Park,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,0,0,3,0.0,1.0,4,0,nan,2,2,1,2019-11-22 02:48:17
Cotswold Water Park (Central),nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,0.0,0,0,0,3,0.0,nan,nan,nan,nan,2,2,1,2019-11-22 02:48:17
Humber Estuary,0,4,0.0,0.0,0.0,2.0,1.0,0.0,0,0.0,0.0,2.0,2,3Standard visit under the WeBS Low Tide Count SurveyWeBS,4Standard visit under the WeBS Low Tide Count SurveyWeBS,3,3.0,2.0,1,2,Dec,2,2,1,2019-11-22 02:48:17
Arun Valley,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,2.0,0.0,0,0,0,0,2.0,0.0,0,2,Jan,1,1,1,2019-11-22 02:48:17
Coate Water,0,0,nan,nan,0.0,nan,nan,0.0,0,0.0,0.0,0.0,0,0,0,2,1.0,0.0,2,0,nan,1,1,1,2019-11-22 02:48:17
Mersey Estuary,0,2,2.0,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,2.0,2,2,2,2,2.0,1.0,1,1,Apr,1,1,1,2019-11-22 02:48:17
Middle Tame Valley Gravel Pits,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,(0),0,0.0,0.0,1,2,Feb,1,1,1,2019-11-22 02:48:17
Pagham Harbour,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,2Standard visit under the WeBS Low Tide Count SurveyWeBS,2.0,0.0,0,0,nan,1,1,1,2019-11-22 02:48:17
Pitsford Reservoir,(0),0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1,2.0,1.0,1,0,nan,1,1,1,2019-11-22 02:48:17
Severn Estuary,2,1,1.0,1.0,0.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,1,0,1,1.0,1.0,0,0,nan,1,1,1,2019-11-22 02:48:17
Severn Estuary (English counties),2,1,1.0,1.0,0.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0,1,0,1,1.0,1.0,0,0,nan,1,1,1,2019-11-22 02:48:17
The Wash,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,3,1,0.0,0.0,1,1,Aug,1,1,1,2019-11-22 02:48:17
Wolterton Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,Dec,1,1,1,2019-11-22 02:48:17
Abberton Reservoir,0,0,0.0,0.0,0.0,0.0,0.0,0.0,(0),0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,1,Sep,0,0,1,2019-11-22 02:48:17
Acre Nook Sand Quarry,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,7.0,0,0,0,0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:48:17
Alt Estuary,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,(0),0,0,0,0.0,0.0,0,1,Feb,0,0,1,2019-11-22 02:48:17
Alton Water,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:48:17
Alvecote Pools,0,(0),0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,nan,0,0,1,2019-11-22 02:48:17
Aqualate Mere,0,0,1.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:48:17
Attenborough Gravel Pits,(0),(0),0.0,0.0,nan,0.0,0.0,0.0,0,0.0,1.0,1.0,(0),(0),(0),0,0.0,0.0,0,nan,nan,0,0,1,2019-11-22 02:48:17
Bainton Pits,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:48:17
Barcombe Mills Reservoir,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,0,0,0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:48:17
Barcraigs Reservoir,(0),0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0,0,nan,0.0,nan,nan,nan,0,0,1,2019-11-22 02:48:17
Barrow Upon Trent Gravel Pit,0,0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),nan,0,0,1,2019-11-22 02:48:17
Barton Pits and Catholme,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,(0),0,0,0,0.0,nan,nan,nan,nan,0,0,1,2019-11-22 02:48:17
Bawsey Country Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,0,0,0.0,0.0,0,nan,nan,0,0,1,2019-11-22 02:48:17
Beddington Sewage Farm,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:48:17
Belvide Reservoir,0,0,0.0,0.0,nan,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:48:17
Bewl Water,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,(0),0,nan,0,0,1,2019-11-22 02:48:17
Blackwater Estuary,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,nan,0,0,1,2019-11-22 02:48:17
Blenheim Park Lake,0.0,0,0,0,0,0,0,0,0,1,0,0,nan,nan,nan,nan,nan,nan,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Blithfield Reservoir,2.0,0,1,0,0,0,3,nan,nan,0,0,0,0,0,0,1,1,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Bolton-on-Swale Gravel Pits,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0,Jan,0,0,2,2019-11-22 02:48:24
Bothal Pond,nan,nan,0,0,0,0,0,nan,0,nan,0,nan,0,0,0,0,0,0.0,1,0.0,nan,0,0,2,2019-11-22 02:48:24
Bowood Lake,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Brampton Gravel Pits,0.0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,0,0,2,2019-11-22 02:48:24
Brooklands Lake (East Worthing),0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Burleydam Pool,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,2,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Burton and Chingford Ponds,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Calvert Brick Works,0.0,1,nan,nan,nan,nan,nan,nan,0,0,0,0,2,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Cam Washes (Upware),0.0,0,0,0,0,0,0,nan,1,0,0,0,1,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Carlton and Manby Washlands,0.0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,1,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Carlton and Oulton Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0.0,(0),0.0,nan,0,0,2,2019-11-22 02:48:24
Carmarthen Bay,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Cassington and Yarnton Gravel Pits,0.0,0,1,0,0,3,1,2,0,2,0,1,0,0,0,0,0,0.0,nan,nan,nan,0,0,2,2019-11-22 02:48:24
Chew Valley Lake,4.0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Chichester Harbour,2.0,0,(0),0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
Clennon Valley,nan,(0),2,2,2,2,0,2,2,2,2,2,0,0,0,0,0,0.0,0,0.0,nan,0,0,2,2019-11-22 02:48:24
