Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1362, 1, 'Aug', 0, None, None]","[1168, 1, 'Jul', 0, None, None]","[1380, 1, 'Jul', 0, None, None]","[1876, 1, 'Aug', 0, None, None]","[1270, 1, 'Jul', 0, None, None]","[570, 1, 'Dec', 0, None, None]","[408, 1, 'Feb', 0, None, None]","[201, 1, 'Feb', 0, None, None]","[562, 2, 'Sep', 0, None, None]","[574, 1, 'Sep', 0, None, None]","[1022, 1, 'Feb', 0, None, None]","[331, 1, 'Nov', 0, None, None]","[182, 1, 'Feb', 0, None, None]","[166, 1, 'Feb', 0, None, None]","[802, 1, 'Nov', 0, None, None]","[594, 2, 'Sep', 0, None, None]","[768, 1, 'Jan', 0, None, None]","[785, 2, 'Aug', 0, None, None]","[1652, 1, 'Jul', 0, None, None]","[1277, 1, 'Sep', 0, None, None]","[1455, 2, 'Aug', 0, None, None]","[1661, 1, 'Aug', 0, None, None]","[1153, 1, 'Aug', 0, None, None]","[1371, 2, 'Jul', 0, None, None]","[2027, 1, 'Jul', 0, None, None]","[2375, 1, 'Aug', 0, None, None]","[2315, 1, 'Sep', 0, None, None]","[797, 1, 'Jul', 0, None, None]","[4867, 1, 'May', 0, None, None]","[3306, 1, 'Aug', 0, None, None]","[2061, 1, 'Aug', 0, None, None]","[4216, 1, 'Aug', 0, None, None]","[4239, 1, 'Aug', 0, None, None]","[2563, 1, 'Aug', 0, None, None]","[2386, 1, 'Aug', 0, None, None]","[3291, 1, 'Jul', 0, None, None]","[1504, 1, 'Sep', 0, None, None]","[1430, 1, 'May', 0, None, None]","[1420, 1, 'Aug', 0, None, None]","[5794, 1, 'Aug', 0, None, None]","[3469, 1, 'Sep', 0, None, None]","[2750, 1, 'Aug', 0, None, None]","[3651, 1, 'Jul', 0, None, None]","[3829, 2, 'Sep', 0, None, None]","[5836, 1, 'Aug', 0, None, None]","[8254, 1, 'Aug', 0, None, None]","[6055, 1, 'Jul', 0, None, None]","[7742, 1, 'Aug', 0, None, None]",2020-01-19 18:07:16
Ribble Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7690, 1, 'May', 0, None, None]","[5729, 1, 'May', 0, None, None]","[9450, 1, 'Jul', 0, None, None]","[7400, 1, 'Jul', 0, None, None]","[7009, 1, 'May', 0, None, None]","[3004, 1, 'Jan', 0, None, None]","[1291, 1, 'Jan', 0, None, None]","[1772, 2, 'Dec', 0, None, None]","[2324, 1, 'Dec', 0, None, None]","[2025, 1, 'Feb', 0, None, None]","[1739, 1, 'Dec', 0, None, None]","[1790, 1, 'Jan', 0, None, None]","[4378, 1, 'May', 0, None, None]","[5768, 1, 'May', 0, None, None]","[5284, 1, 'Jun', 0, None, None]","[6400, 2, 'May', 0, None, None]","[1706, 2, 'May', 0, None, None]","[6949, 2, 'May', 0, None, None]","[5051, 1, 'May', 0, None, None]","[7409, 2, 'May', 0, None, None]","[5043, 2, 'Jul', 0, None, None]","[8737, 1, 'May', 0, None, None]","[2884, 2, 'Aug', 0, None, None]","[4456, 1, 'May', 0, None, None]","[7157, 1, 'May', 0, None, None]","[7660, 1, 'May', 0, None, None]","[5640, 1, 'Jul', 0, None, None]","[7345, 2, 'Jul', 0, None, None]","[8250, 1, 'Aug', 0, None, None]","[4370, 1, 'May', 0, None, None]","[2964, 2, 'Sep', 0, None, None]","[3004, 1, 'Mar', 0, None, None]","[8203, 1, 'May', 0, None, None]","[4477, 1, 'Apr', 0, None, None]","[4830, 1, 'Apr', 0, None, None]","[3491, 1, 'May', 0, None, None]","[4690, 2, 'May', 0, None, None]","[4700, 1, 'Aug', 0, None, None]","[4800, 2, 'Apr', 0, None, None]","[2444, 2, 'Sep', 0, None, None]","[1895, 1, 'May', 0, None, None]","[2771, 1, 'Aug', 0, None, None]","[4582, 2, 'Sep', 0, None, None]","[6084, 1, 'May', 0, None, None]","[2766, 1, 'Aug', 0, None, None]","[8000, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1586, 2, 'Apr', 0, None, None]","[5790, 1, 'Jul', 0, None, None]",2020-01-19 18:07:16
Alt Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[354, 1, 'Dec', 0, None, None]","[900, 1, 'Jul', 0, None, None]","[1626, 1, 'May', 0, None, None]","[1561, 1, 'May', 0, None, None]","[1454, 1, 'May', 0, None, None]","[850, 1, 'Jan', 0, None, None]","[380, 1, 'Jan', 0, None, None]","[250, 1, 'Feb', 0, None, None]","[331, 1, 'Dec', 0, None, None]","[616, 1, 'Feb', 0, None, None]","[809, 1, 'Feb', 0, None, None]","[356, 2, 'Feb', 0, None, None]","[547, 1, 'Dec', 0, None, None]","[1366, 1, 'May', 0, None, None]","[1881, 1, 'May', 0, None, None]","[1760, 2, 'May', 0, None, None]","[2234, 1, 'May', 0, None, None]","[1587, 1, 'May', 0, None, None]","[1943, 2, 'May', 0, None, None]","[1606, 1, 'May', 0, None, None]","[980, 1, 'May', 0, None, None]","[1388, 1, 'May', 0, None, None]","[666, 1, 'Apr', 0, None, None]","[2033, 1, 'May', 0, None, None]","[1879, 1, 'May', 0, None, None]","[607, 1, 'Mar', 0, None, None]","[2102, 1, 'May', 0, None, None]","[3359, 1, 'May', 0, None, None]","[2106, 1, 'May', 0, None, None]","[3760, 1, 'May', 0, None, None]","[1841, 1, 'Aug', 0, None, None]","[5118, 1, 'May', 0, None, None]","[4892, 1, 'May', 0, None, None]","[6894, 1, 'Aug', 0, None, None]","[2278, 1, 'May', 0, None, None]","[2317, 1, 'Aug', 0, None, None]","[3090, 1, 'Aug', 0, None, None]","[2171, 1, 'Aug', 0, None, None]","[1833, 1, 'May', 0, None, None]","[3629, 1, 'Apr', 0, None, None]","[2523, 1, 'Apr', 0, None, None]","[1072, 1, 'Sep', 0, None, None]","[1604, 1, 'Feb', 0, None, None]","[2629, 1, 'May', 0, None, None]","[2157, 1, 'May', 0, None, None]","[2215, 1, 'May', 0, None, None]","[2678, 1, 'Aug', 0, None, None]","[2747, 1, 'Aug', 0, None, None]",2020-01-19 18:07:16
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[0, 2, '', 0, None, None]","[0, 2, '', 0, None, None]","[1, 1, 'Aug', 0, None, None]","[172, 1, 'Apr', 0, None, None]","[120, 1, 'Jul', 0, None, None]","[20, 1, 'Mar', 0, None, None]","[86, 1, 'Sep', 0, None, None]","[31, 1, 'Jan', 0, None, None]","[39, 1, 'Sep', 0, None, None]","[11, 1, 'Feb', 0, None, None]","[50, 1, 'Apr', 0, None, None]","[76, 1, 'Apr', 0, None, None]","[57, 1, 'Sep', 0, None, None]","[60, 2, 'Oct', 0, None, None]","[41, 1, 'Nov', 0, None, None]","[153, 1, 'Sep', 0, None, None]","[83, 1, 'Oct', 0, None, None]","[26, 1, 'Sep', 0, None, None]","[35, 1, 'Sep', 0, None, None]","[11, 1, 'Jan', 0, None, None]","[124, 1, 'Oct', 0, None, None]","[354, 1, 'Oct', 0, None, None]","[378, 1, 'Oct', 0, None, None]","[305, 1, 'Oct', 0, None, None]","[565, 1, 'Sep', 0, None, None]","[341, 1, 'Oct', 0, None, None]","[584, 1, 'Oct', 0, None, None]","[375, 1, 'Oct', 0, None, None]","[687, 1, 'Mar', 0, None, None]","[813, 1, 'Sep', 0, None, None]","[407, 1, 'Aug', 0, None, None]","[756, 1, 'Oct', 0, None, None]","[1141, 1, 'Sep', 0, None, None]","[1394, 1, 'Oct', 0, None, None]","[1269, 1, 'Sep', 0, None, None]","[1072, 1, 'Aug', 0, None, None]","[870, 1, 'Dec', 0, None, None]","[689, 1, 'Nov', 0, None, None]","[951, 1, 'Oct', 0, None, None]","[587, 1, 'Oct', 0, None, None]","[897, 1, 'Oct', 0, None, None]","[1080, 1, 'Sep', 0, None, None]","[938, 1, 'Oct', 0, None, None]","[923, 1, 'Nov', 0, None, None]","[1204, 2, 'Apr', 0, None, None]","[1774, 1, 'Apr', 0, None, None]","[1106, 2, 'Feb', 0, None, None]","[1416, 1, 'Feb', 0, None, None]",2020-01-19 18:07:16
Ardivachar Point (South Uist),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[110, 1, 'Oct', 0, None, None]","[40, 1, 'Oct', 0, None, None]","[230, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[398, 1, 'Nov', 0, None, None]","[700, 1, 'Aug', 0, None, None]","[550, 1, 'Sep', 0, None, None]","[500, 1, 'Sep', 0, None, None]","[350, 1, 'Sep', 0, None, None]","[267, 1, 'Nov', 0, None, None]","[372, 1, 'Sep', 0, None, None]",nan,"[184, 1, 'Mar', 0, None, None]","[700, 1, 'Dec', 0, None, None]","[700, 1, 'Sep', 0, None, None]","[1011, 1, 'Sep', 0, None, None]","[1884, 1, 'May', 0, None, None]","[739, 1, 'Aug', 0, None, None]","[1166, 1, 'Jul', 0, None, None]","[190, 1, 'Nov', 0, None, None]",2020-01-19 18:07:16
Severn Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[9, 1, 'May', 0, None, None]","[34, 1, 'May', 0, None, None]","[200, 1, 'Nov', 0, None, None]","[267, 1, 'Jul', 0, None, None]","[146, 1, 'May', 0, None, None]","[76, 1, 'May', 0, None, None]","[141, 1, 'Sep', 0, None, None]","[203, 1, 'Jul', 0, None, None]","[61, 1, 'Aug', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[21, 1, 'Sep', 0, None, None]","[38, 1, 'Sep', 0, None, None]","[78, 2, 'Aug', 0, None, None]","[9, 1, 'Sep', 0, None, None]","[57, 1, 'May', 0, None, None]","[41, 1, 'Jul', 0, None, None]","[86, 1, 'Aug', 0, None, None]","[58, 1, 'Aug', 0, None, None]","[85, 2, 'May', 0, None, None]","[46, 1, 'Sep', 0, None, None]","[91, 2, 'Aug', 0, None, None]","[77, 1, 'Aug', 0, None, None]","[41, 1, 'Aug', 0, None, None]","[50, 1, 'May', 0, None, None]","[63, 1, 'Sep', 0, None, None]","[67, 2, 'May', 0, None, None]","[61, 1, 'Aug', 0, None, None]","[92, 2, 'Aug', 0, None, None]","[78, 2, 'Aug', 0, None, None]","[81, 2, 'Feb', 0, None, None]","[75, 1, 'May', 0, None, None]","[61, 1, 'Aug', 0, None, None]","[127, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[147, 1, 'Oct', 0, None, None]","[213, 1, 'Aug', 0, None, None]","[222, 1, 'Jul', 0, None, None]","[140, 2, 'Jan', 0, None, None]","[200, 1, 'Jun', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[324, 1, 'Mar', 0, None, None]","[45, 1, 'May', 0, None, None]","[70, 1, 'Dec', 0, None, None]","[1100, 1, 'Oct', 0, None, None]","[141, 1, 'Aug', 0, None, None]","[160, 2, 'Aug', 0, None, None]","[30, 1, 'May', 0, None, None]","[405, 1, 'Dec', 0, None, None]","[700, 1, 'Mar', 0, None, None]","[2512, 2, 'Nov', 0, None, None]",2020-01-19 18:07:16
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[10230, 1, 'May', 0, None, None]","[11500, 1, 'May', 0, None, None]","[9500, 1, 'May', 0, None, None]","[15200, 1, 'May', 0, None, None]","[12200, 1, 'May', 0, None, None]","[65, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Jan', 0, None, None]",nan,"[20, 1, 'Jan', 0, None, None]","[40, 1, 'Jan', 0, None, None]",nan,"[70, 2, 'May', 0, None, None]","[200, 1, 'May', 0, None, None]","[48, 1, 'Sep', 0, None, None]","[4191, 2, 'May', 0, None, None]","[1976, 1, 'Aug', 0, None, None]","[8836, 1, 'May', 0, None, None]","[327, 1, 'Sep', 0, None, None]","[934, 1, 'Aug', 0, None, None]","[4354, 1, 'May', 0, None, None]","[2385, 2, 'May', 0, None, None]","[1326, 1, 'Oct', 0, None, None]","[653, 1, 'Jul', 0, None, None]","[2519, 1, 'May', 0, None, None]","[1148, 2, 'May', 0, None, None]","[2491, 1, 'May', 0, None, None]","[1085, 1, 'May', 0, None, None]","[480, 1, 'Apr', 0, None, None]","[813, 1, 'May', 0, None, None]","[391, 1, 'Jan', 0, None, None]","[435, 1, 'Apr', 0, None, None]","[356, 1, 'Aug', 0, None, None]","[640, 1, 'Aug', 0, None, None]","[765, 1, 'Sep', 0, None, None]","[925, 1, 'Oct', 0, None, None]","[332, 1, 'Dec', 0, None, None]","[477, 1, 'Oct', 0, None, None]","[532, 1, 'Sep', 0, None, None]","[624, 1, 'May', 0, None, None]","[705, 1, 'May', 0, None, None]","[784, 1, 'Oct', 0, None, None]","[726, 1, 'Sep', 0, None, None]","[322, 1, 'Aug', 0, None, None]","[869, 1, 'Sep', 0, None, None]","[715, 1, 'Aug', 0, None, None]","[1962, 1, 'May', 0, None, None]","[258, 1, 'Sep', 0, None, None]",2020-01-19 18:07:16
Dee Estuary (England and Wales),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7800, 1, 'May', 0, None, None]","[4800, 2, 'Jul', 0, None, None]","[10490, 1, 'Jul', 0, None, None]","[10596, 1, 'May', 0, None, None]","[7010, 1, 'Aug', 0, None, None]","[7410, 1, 'May', 0, None, None]","[12501, 1, 'Aug', 0, None, None]","[19, 2, 'Jan', 0, None, None]","[106, 2, 'Jan', 0, None, None]","[350, 1, 'Dec', 0, None, None]","[1510, 1, 'Sep', 0, None, None]","[840, 1, 'Sep', 0, None, None]","[1180, 1, 'Oct', 0, None, None]","[290, 2, 'Nov', 0, None, None]","[427, 1, 'Jan', 0, None, None]","[268, 1, 'Dec', 0, None, None]","[680, 1, 'Apr', 0, None, None]","[616, 1, 'Aug', 0, None, None]","[367, 1, 'Oct', 0, None, None]","[823, 1, 'Dec', 0, None, None]","[1011, 1, 'Nov', 0, None, None]","[1581, 1, 'Jan', 0, None, None]","[421, 1, 'Nov', 0, None, None]","[624, 2, 'Nov', 0, None, None]","[1180, 1, 'Nov', 0, None, None]","[313, 1, 'May', 0, None, None]","[598, 1, 'Jan', 0, None, None]","[612, 1, 'Oct', 0, None, None]","[463, 1, 'Nov', 0, None, None]","[452, 1, 'Apr', 0, None, None]","[245, 2, 'Oct', 0, None, None]","[550, 1, 'Nov', 0, None, None]","[286, 1, 'Jan', 0, None, None]","[379, 1, 'Dec', 0, None, None]","[1026, 1, 'Oct', 0, None, None]","[1020, 1, 'Nov', 0, None, None]","[370, 1, 'Nov', 0, None, None]","[762, 1, 'Feb', 0, None, None]","[778, 1, 'Nov', 0, None, None]","[280, 1, 'Nov', 0, None, None]","[474, 1, 'Dec', 0, None, None]","[861, 1, 'Nov', 0, None, None]","[2158, 1, 'Nov', 0, None, None]","[965, 1, 'Nov', 0, None, None]","[1545, 1, 'Nov', 0, None, None]","[764, 1, 'Nov', 0, None, None]","[450, 1, 'Nov', 0, None, None]","[380, 1, 'Feb', 0, None, None]",2020-01-19 18:07:16
Carmarthen Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[250, 1, 'May', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[500, 1, 'Nov', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,"[3, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Oct', 0, None, None]","[165, 1, 'Sep', 0, None, None]","[0, 2, '', 0, None, None]",nan,"[0, 2, '', 0, None, None]","[617, 1, 'Oct', 0, None, None]","[654, 1, 'Nov', 0, None, None]","[528, 1, 'Oct', 0, None, None]","[398, 1, 'Mar', 0, None, None]","[396, 2, 'Aug', 0, None, None]","[323, 1, 'Mar', 0, None, None]","[386, 1, 'Jan', 0, None, None]","[470, 1, 'Nov', 0, None, None]","[797, 1, 'Jan', 0, None, None]","[592, 1, 'Mar', 0, None, None]","[730, 1, 'Mar', 0, None, None]","[1600, 1, 'Dec', 0, None, None]","[1770, 1, 'Jan', 0, None, None]","[833, 1, 'Feb', 0, None, None]","[769, 1, 'Mar', 0, None, None]","[800, 1, 'Mar', 0, None, None]","[2343, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1930, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1812, 1, 'Dec', 0, None, None]","[2224, 1, 'Jan', 0, None, None]","[1824, 1, 'Nov', 0, None, None]","[1990, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1119, 1, 'Jan', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1478, 1, 'Nov', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[546, 1, 'Mar', 0, None, None]","[1050, 1, 'Sep', 0, None, None]","[350, 1, 'Feb', 0, None, None]","[641, 1, 'Jan', 0, None, None]",2020-01-19 18:07:16
Dee Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[7800, 1, 'May', 0, None, None]","[4800, 2, 'Jul', 0, None, None]","[10490, 1, 'Jul', 0, None, None]","[10596, 1, 'May', 0, None, None]","[7010, 1, 'Aug', 0, None, None]","[7410, 1, 'May', 0, None, None]","[12501, 1, 'Aug', 0, None, None]","[19, 2, 'Jan', 0, None, None]","[106, 2, 'Jan', 0, None, None]","[350, 1, 'Dec', 0, None, None]","[1510, 1, 'Sep', 0, None, None]","[840, 1, 'Sep', 0, None, None]","[1180, 1, 'Oct', 0, None, None]","[290, 2, 'Nov', 0, None, None]","[427, 1, 'Jan', 0, None, None]","[268, 1, 'Dec', 0, None, None]","[680, 1, 'Apr', 0, None, None]","[616, 1, 'Aug', 0, None, None]","[367, 1, 'Oct', 0, None, None]","[823, 1, 'Dec', 0, None, None]","[1011, 1, 'Nov', 0, None, None]","[1581, 1, 'Jan', 0, None, None]","[421, 1, 'Nov', 0, None, None]","[138, 2, 'Nov', 0, None, None]","[80, 1, 'Jan', 0, None, None]","[160, 1, 'May', 0, None, None]","[148, 1, 'Jan', 0, None, None]","[422, 1, 'Jan', 0, None, None]","[357, 1, 'Jan', 0, None, None]","[352, 1, 'Apr', 0, None, None]","[65, 2, 'Oct', 0, None, None]","[400, 1, 'Nov', 0, None, None]","[142, 1, 'Feb', 0, None, None]","[376, 1, 'Dec', 0, None, None]","[1026, 1, 'Oct', 0, None, None]","[1020, 1, 'Nov', 0, None, None]","[365, 1, 'Nov', 0, None, None]","[762, 1, 'Feb', 0, None, None]","[775, 1, 'Nov', 0, None, None]","[280, 1, 'Nov', 0, None, None]","[434, 1, 'Dec', 0, None, None]","[840, 1, 'Nov', 0, None, None]","[2069, 1, 'Nov', 0, None, None]","[940, 1, 'Nov', 0, None, None]","[1511, 1, 'Nov', 0, None, None]","[752, 1, 'Nov', 0, None, None]","[450, 1, 'Nov', 0, None, None]","[380, 1, 'Feb', 0, None, None]",2020-01-19 18:07:16
