Site,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,RoughTimeAccessed
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[395, 1, 'Aug', 0, None, None]","[266, 1, 'Aug', 0, None, None]","[472, 1, 'Aug', 0, None, None]","[311, 1, 'Aug', 0, None, None]","[1165, 1, 'Jul', 0, None, None]","[1574, 1, 'Jul', 0, None, None]","[5015, 1, 'Jun', 0, None, None]","[3365, 1, 'Jul', 0, None, None]","[4600, 1, 'Jul', 0, None, None]","[4170, 1, 'Jun', 0, None, None]","[5533, 1, 'Jun', 0, None, None]","[3228, 1, 'Jul', 0, None, None]","[8062, 1, 'Jul', 0, None, None]","[2873, 1, 'Jun', 0, None, None]","[5729, 1, 'May', 0, None, None]","[4687, 1, 'Jun', 0, None, None]","[3787, 1, 'Jun', 0, None, None]","[5450, 1, 'Jun', 0, None, None]","[4545, 1, 'Jul', 0, None, None]","[4229, 1, 'Jun', 0, None, None]","[4481, 1, 'Jul', 0, None, None]","[6323, 1, 'May', 0, None, None]","[3962, 1, 'Jun', 0, None, None]","[6161, 1, 'May', 0, None, None]",2020-01-19 18:16:48
Dee Estuary (England and Wales),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[601, 1, 'Aug', 0, None, None]","[446, 1, 'Jul', 0, None, None]","[2090, 1, 'Aug', 0, None, None]","[636, 1, 'Aug', 0, None, None]","[1256, 1, 'Aug', 0, None, None]","[629, 1, 'Jul', 0, None, None]","[672, 2, 'Aug', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[1632, 1, 'Jul', 0, None, None]","[716, 1, 'Jul', 0, None, None]","[759, 1, 'Jul', 0, None, None]","[829, 1, 'Jul', 0, None, None]","[530, 1, 'Jul', 0, None, None]","[1334, 1, 'Jul', 0, None, None]","[953, 1, 'Aug', 0, None, None]","[1235, 1, 'Aug', 0, None, None]","[1669, 1, 'Aug', 0, None, None]","[2004, 1, 'Aug', 0, None, None]","[2203, 1, 'Jul', 0, None, None]","[1236, 1, 'Aug', 0, None, None]","[2304, 1, 'Aug', 0, None, None]","[1140, 1, 'Jul', 0, None, None]","[2007, 1, 'Aug', 0, None, None]","[1070, 1, 'Aug', 0, None, None]",2020-01-19 18:16:48
Forth Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1844, 1, 'Sep', 0, None, None]","[1809, 1, 'Aug', 0, None, None]","[1394, 1, 'Aug', 0, None, None]","[1499, 1, 'Sep', 0, None, None]","[918, 1, 'Sep', 0, None, None]","[3868, 1, 'Aug', 0, None, None]","[3424, 1, 'Aug', 0, None, None]","[994, 1, 'Sep', 0, None, None]","[2317, 2, 'Aug', 0, None, None]","[2802, 1, 'Aug', 0, None, None]","[1526, 1, 'Aug', 0, None, None]","[1243, 1, 'Jul', 0, None, None]","[1037, 1, 'Aug', 0, None, None]","[680, 1, 'Jul', 0, None, None]","[448, 1, 'Sep', 0, None, None]","[312, 1, 'Jul', 0, None, None]","[790, 1, 'Sep', 0, None, None]","[577, 1, 'Jul', 0, None, None]","[943, 1, 'Sep', 0, None, None]","[700, 1, 'Sep', 0, None, None]","[2914, 1, 'Aug', 0, None, None]","[1138, 1, 'Aug', 0, None, None]","[1457, 1, 'Aug', 0, None, None]","[1447, 1, 'Sep', 0, None, None]",2020-01-19 18:16:48
The Wash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[284, 1, 'Jul', 0, None, None]","[178, 1, 'Sep', 0, None, None]","[186, 1, 'Sep', 0, None, None]","[586, 1, 'Jul', 0, None, None]","[674, 1, 'Jul', 0, None, None]","[420, 1, 'Jul', 0, None, None]","[310, 1, 'Jul', 0, None, None]","[512, 1, 'Aug', 0, None, None]","[150, 1, 'Aug', 0, None, None]","[223, 1, 'Sep', 0, None, None]","[208, 1, 'Aug', 0, None, None]","[307, 1, 'Aug', 0, None, None]","[164, 1, 'Sep', 0, None, None]","[338, 1, 'Aug', 0, None, None]","[498, 1, 'Jul', 0, None, None]","[213, 1, 'Jul', 0, None, None]","[602, 1, 'Jul', 0, None, None]","[2172, 1, 'Jul', 0, None, None]","[1041, 1, 'Jul', 0, None, None]","[605, 1, 'Aug', 0, None, None]","[1504, 1, 'Jul', 0, None, None]","[1232, 1, 'Jul', 0, None, None]","[1605, 1, 'Sep', 0, None, None]","[1688, 1, 'Jul', 0, None, None]",2020-01-19 18:16:48
Dee Estuary (English counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[232, 1, 'Aug', 0, None, None]","[74, 1, 'Aug', 0, None, None]","[1350, 1, 'Aug', 0, None, None]","[306, 1, 'Aug', 0, None, None]","[895, 1, 'Aug', 0, None, None]","[179, 1, 'Jul', 0, None, None]","[140, 1, 'Aug', 0, None, None]","[11, 1, 'Sep', 0, None, None]","[898, 1, 'Jul', 0, None, None]","[422, 1, 'Jul', 0, None, None]","[330, 1, 'Jun', 0, None, None]","[87, 1, 'Aug', 0, None, None]","[230, 1, 'Jul', 0, None, None]","[990, 1, 'Aug', 0, None, None]","[950, 1, 'Aug', 0, None, None]","[235, 1, 'Aug', 0, None, None]","[695, 1, 'Aug', 0, None, None]","[1204, 1, 'Aug', 0, None, None]","[1661, 1, 'Jul', 0, None, None]","[1069, 1, 'Jul', 0, None, None]","[1707, 1, 'Aug', 0, None, None]","[865, 1, 'Jul', 0, None, None]","[1532, 1, 'Jul', 0, None, None]","[970, 1, 'Aug', 0, None, None]",2020-01-19 18:16:48
Cemlyn Bay and Lagoon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1450, 1, 'May', 0, None, None]",nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[2455, 1, 'May', 0, None, None]","[2700, 1, 'May', 0, None, None]","[2000, 1, 'Jun', 0, None, None]","[12, 1, 'Apr', 0, None, None]","[208, 1, 'Apr', 0, None, None]","[22, 1, 'Apr', 0, None, None]","[42, 1, 'Apr', 0, None, None]",nan,"[54, 1, 'Aug', 0, None, None]","[186, 1, 'Apr', 0, None, None]","[7, 1, 'Sep', 0, None, None]","[212, 1, 'Apr', 0, None, None]","[4600, 1, 'Jun', 0, None, None]","[52, 1, 'Apr', 0, None, None]","[103, 1, 'Apr', 0, None, None]",2020-01-19 18:16:48
Duddon Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[487, 1, 'Jun', 0, None, None]","[470, 1, 'Aug', 0, None, None]","[650, 1, 'Aug', 0, None, None]","[808, 1, 'May', 0, None, None]","[656, 1, 'Jul', 0, None, None]","[1204, 1, 'Jul', 0, None, None]","[994, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[704, 1, 'Jun', 0, None, None]","[955, 1, 'Jul', 0, None, None]","[1144, 1, 'Jul', 0, None, None]","[604, 1, 'Jun', 0, None, None]","[843, 1, 'May', 0, None, None]","[460, 1, 'Jul', 0, None, None]","[886, 1, 'May', 0, None, None]","[877, 1, 'May', 0, None, None]","[405, 1, 'Jun', 0, None, None]","[226, 1, 'Apr', 0, None, None]","[299, 1, 'Aug', 0, None, None]","[273, 1, 'Aug', 0, None, None]","[569, 1, 'Aug', 0, None, None]","[627, 2, 'May', 0, None, None]","[59, 2, 'Aug', 0, None, None]","[1510, 1, 'May', 0, None, None]",2020-01-19 18:16:48
Dee Estuary (Welsh counties),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[369, 1, 'Aug', 0, None, None]","[418, 1, 'Jul', 0, None, None]","[740, 1, 'Aug', 0, None, None]","[330, 1, 'Jul', 0, None, None]","[361, 1, 'Aug', 0, None, None]","[450, 1, 'Jul', 0, None, None]","[532, 2, 'Aug', 0, None, None]","[0, 1, '', 0, None, None]","[734, 1, 'Jul', 0, None, None]","[478, 1, 'Aug', 0, None, None]","[655, 2, 'Aug', 0, None, None]","[795, 1, 'Jul', 0, None, None]","[300, 1, 'Jul', 0, None, None]","[502, 1, 'Jul', 0, None, None]","[153, 1, 'Sep', 0, None, None]","[1000, 1, 'Aug', 0, None, None]","[974, 1, 'Aug', 0, None, None]","[800, 1, 'Aug', 0, None, None]","[952, 1, 'Aug', 0, None, None]","[605, 1, 'Aug', 0, None, None]","[597, 1, 'Aug', 0, None, None]","[275, 1, 'Jul', 0, None, None]","[1807, 1, 'Aug', 0, None, None]","[237, 1, 'May', 0, None, None]",2020-01-19 18:16:48
Humber Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[26, 1, 'Sep', 0, None, None]","[36, 1, 'Aug', 0, None, None]","[32, 1, 'Aug', 0, None, None]","[240, 1, 'Aug', 0, None, None]","[62, 1, 'Sep', 0, None, None]","[154, 1, 'Aug', 0, None, None]","[1329, 1, 'Aug', 0, None, None]","[124, 1, 'Sep', 0, None, None]","[396, 2, 'Jul', 0, None, None]","[303, 1, 'Sep', 0, None, None]","[324, 1, 'Sep', 0, None, None]","[325, 1, 'Jul', 0, None, None]","[957, 2, 'Jul', 0, None, None]","[805, 1, 'Aug', 0, None, None]","[383, 2, 'Jul', 0, None, None]","[349, 1, 'Aug', 0, None, None]","[92, 2, 'Aug', 0, None, None]","[606, 2, 'Jul', 0, None, None]","[700, 1, 'Jul', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[424, 1, 'Jul', 0, None, None]","[710, 1, 'Aug', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[427, 1, 'Aug', 0, None, None]","[721, 1, 'Jul', 0, None, None]","[476, 1, 'Jul', 0, None, None]",2020-01-19 18:16:48
Morecambe Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[865, 1, 'Jul', 0, None, None]","[312, 1, 'Jun', 0, None, None]","[34, 1, 'May', 0, None, None]","[143, 1, 'May', 0, None, None]","[150, 1, 'Jul', 0, None, None]","[23, 1, 'Aug', 0, None, None]","[110, 1, 'Jul', 0, None, None]","[0, 1, '', 0, None, None]","[220, 1, 'Sep', 0, None, None]","[531, 1, 'Apr', 0, None, None]","[500, 1, 'Apr', 0, None, None]","[110, 1, 'May', 0, None, None]","[190, 1, 'Apr', 0, None, None]","[201, 1, 'Jul', 0, None, None]","[216, 1, 'Jun', 0, None, None]","[280, 1, 'Apr', 0, None, None]","[332, 1, 'Aug', 0, None, None]","[280, 1, 'Jul', 0, None, None]","[207, 1, 'Aug', 0, None, None]","[632, 1, 'Aug', 0, None, None]","[347, 1, 'Apr', 0, None, None]","[433, 1, 'Aug', 0, None, None]","[281, 1, 'May', 0, None, None]","[950, 1, 'Sep', 0, None, None]",2020-01-19 18:16:48
