Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Mersey Estuary,7082,7375.0,11800.0,12170.0,7110,6800,7605,4000.0,2355,2225,2583,4040,5757,7946,3905,3746,4584,4507,7025,14516,10600,15070,10084,5740,19810,17823,13420,15605,"(16,721)","(10,644)","(4,237)","(3,613)",2395,"(7,885)",2969,"12,000Supplementary visit under the WeBS Core Count SurveyWeBS",8999,10667,10867,10558,Jul,10618,10618,1,2019-11-29 10:10:19
Dee Estuary (England and Wales),(0),4419.0,7315.0,4335.0,4975,"(5,745)",6540,5670.0,6130,4600,4896,6924,6617,6487,6893,6229,8742,5786,8047,10418,5634,8814,11563,10200,10533,12630,13334,"(8,872)",10869,9425,9457,11688,12234,5254,9166,5061,6947,7171,10031,11019,Oct,8046,8046,1,2019-11-29 10:10:19
Dee Estuary (English counties),(0),4419.0,7315.0,4335.0,4975,"(5,745)",6540,5670.0,6130,4600,4896,6924,6113,5150,6388,5652,8231,5364,7691,9401,5365,7200,10220,9050,8405,10568,12684,"(8,210)",9771,8152,8385,9969,10659,4034,8115,4065,5718,4571,8411,7402,Oct,6033,6033,1,2019-11-29 10:10:19
Severn Estuary,2231,1269.0,1275.0,1001.0,1364,1667,"(1,931)",1611.0,2459,2707,2319,2678,4167,3505,2560,2627,4466,3508,4117,2371,3150,1996,"(2,912)",3776,"2,245Standard visit under the WeBS Low Tide Count SurveyWeBS",2579,3460,4182,3711,"(5,414)",3943,5148,2945,3977,4365,2692,3871,"(3,705)",6611,4625,Sep,4450,4450,1,2019-11-29 10:10:19
Humber Estuary,1303,1187.0,776.0,2456.0,1958,6877,4613,4397.0,5429,3900,4890,4245,7361,4612,4061,4481,3383,5240,3900,4843,"(5,262)",4020,6918,3655,"(4,819)","4,390Standard visit under the WeBS Low Tide Count SurveyWeBS","(4,188)",5223,4823,5804,2892,"(6,137)",4095,3668,5763,3222,3948,4939,"(5,158)",4098,Nov,4273,4273,1,2019-11-29 10:10:19
Morecambe Bay,1635,828.0,887.0,3417.0,1948,770,3602,3084.0,3688,5062,3761,5781,6510,7764,6192,5734,8524,6098,5632,8426,8030,6225,"(6,707)",6137,7164,8228,7728,6609,9816,5804,"(8,409)",8367,6081,5118,4493,3751,5213,4562,3120,3075,Nov,3944,3944,1,2019-11-29 10:10:19
Ribble Estuary,1790,1503.0,2218.0,2119.0,2077,2660,2243,3078.0,5055,6037,3534,3162,3113,4849,3160,5230,"(3,278)",4523,3788,4106,2644,2908,2536,3190,3063,3829,3850,2935,2577,2216,2878,"(2,327)",3094,3380,"(1,805)","(3,416)",3940,5415,2870,3213,Nov,3860,3860,1,2019-11-29 10:10:19
Severn Estuary (English counties),2231,1269.0,1275.0,1001.0,1279,1251,1447,1304.0,1090,2472,1971,2678,2306,2768,2203,"(2,371)",3789,2688,3121,"(1,936)",1900,1648,2622,2885,1862,2528,2578,2938,3059,"(3,595)",2919,3284,1927,3254,3667,2080,"(3,693)","(3,076)",5392,3995,Sep,3822,3822,1,2019-11-29 10:10:19
Forth Estuary,666,434.0,236.0,246.0,224,352,1894,2069.0,2399,2468,2219,2670,3195,3313,4414,4258,5337,5077,5065,"(5,507)",4684,3775,3009,2920,3531,3452,"3,164Supplementary visit under the WeBS Core Count SurveyWeBS",3063,3546,3283,2774,4047,3444,"(4,510)",3100,2717,3668,3888,3159,3736,Sep,3434,3434,1,2019-11-29 10:10:19
Strangford Lough,nan,nan,nan,nan,nan,nan,nan,nan,nan,1579,3973,1867,2311,1950,"4,462Standard visit under the WeBS Low Tide Count SurveyWeBS","4,138Standard visit under the WeBS Low Tide Count SurveyWeBS",2189,"4,669Standard visit under the WeBS Low Tide Count SurveyWeBS","3,493Standard visit under the WeBS Low Tide Count SurveyWeBS","3,036Standard visit under the WeBS Low Tide Count SurveyWeBS",3574,"4,207Standard visit under the WeBS Low Tide Count SurveyWeBS","2,893Standard visit under the WeBS Low Tide Count SurveyWeBS",4162,"4,078Standard visit under the WeBS Low Tide Count SurveyWeBS",4475,"5,709Standard visit under the WeBS Low Tide Count SurveyWeBS","4,442Standard visit under the WeBS Low Tide Count SurveyWeBS",3346,"6,084Standard visit under the WeBS Low Tide Count SurveyWeBS","5,507Standard visit under the WeBS Low Tide Count SurveyWeBS","2,846Standard visit under the WeBS Low Tide Count SurveyWeBS","2,335Standard visit under the WeBS Low Tide Count SurveyWeBS",4515,"2,807Standard visit under the WeBS Low Tide Count SurveyWeBS","3,993Standard visit under the WeBS Low Tide Count SurveyWeBS","3,406Standard visit under the WeBS Low Tide Count SurveyWeBS",2279,4017,2859,Nov,3311,3311,1,2019-11-29 10:10:19
