Site,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,1936,1937,1938,1939,RoughTimeAccessed
Abberton Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[414, 1, 'Oct', 0, None, None]","[142, 1, 'Oct', 0, None, None]","[398, 1, 'Sep', 0, None, None]","[253, 1, 'Sep', 0, None, None]","[503, 1, 'Sep', 0, None, None]","[412, 1, 'Sep', 0, None, None]","[657, 1, 'Oct', 0, None, None]","[583, 1, 'Sep', 0, None, None]","[366, 1, 'Sep', 0, None, None]","[541, 1, 'Nov', 0, None, None]","[649, 1, 'Nov', 0, None, None]","[852, 1, 'Oct', 0, None, None]","[328, 1, 'Oct', 0, None, None]","[310, 1, 'Oct', 0, None, None]","[281, 1, 'Jan', 0, None, None]","[485, 1, 'Nov', 0, None, None]","[612, 1, 'Sep', 0, None, None]","[303, 1, 'Oct', 0, None, None]","[313, 1, 'Dec', 0, None, None]","[379, 1, 'Sep', 0, None, None]","[522, 1, 'Oct', 0, None, None]","[240, 1, 'Sep', 0, None, None]","[418, 1, 'Aug', 0, None, None]","[829, 1, 'Oct', 0, None, None]","[1085, 1, 'Sep', 0, None, None]","[608, 1, 'Oct', 0, None, None]","[520, 1, 'Sep', 0, None, None]","[606, 1, 'Sep', 0, None, None]","[598, 1, 'Sep', 0, None, None]","[937, 1, 'Oct', 0, None, None]","[628, 1, 'Sep', 0, None, None]","[541, 1, 'Sep', 0, None, None]","[488, 2, 'Sep', 0, None, None]","[375, 1, 'Sep', 0, None, None]","[352, 1, 'Oct', 0, None, None]","[440, 1, 'Nov', 0, None, None]","[422, 1, 'Nov', 0, None, None]","[488, 1, 'Nov', 0, None, None]","[355, 1, 'Oct', 0, None, None]","[674, 2, 'Nov', 0, None, None]","[152, 2, 'Aug', 0, None, None]","[604, 1, 'Nov', 0, None, None]","[606, 1, 'Oct', 0, None, None]","[566, 1, 'Oct', 0, None, None]","[918, 1, 'Sep', 0, None, None]","[1504, 1, 'Sep', 0, None, None]","[1951, 1, 'Sep', 0, None, None]","[2031, 1, 'Sep', 0, None, None]","[651, 1, 'Aug', 0, None, None]","[2129, 1, 'Oct', 0, None, None]","[2754, 1, 'Oct', 0, None, None]","[788, 1, 'Sep', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:44:53
Somerset Levels,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[30, 1, 'Mar', 0, None, None]","[30, 1, 'Feb', 0, None, None]","[290, 1, 'Mar', 0, None, None]","[50, 1, 'Feb', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[140, 1, 'Mar', 0, None, None]","[100, 1, 'Feb', 0, None, None]","[260, 1, 'Feb', 0, None, None]","[10, 1, 'Dec', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[128, 1, 'Mar', 0, None, None]","[164, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[8, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[95, 1, 'Jan', 0, None, None]","[33, 1, 'Feb', 0, None, None]","[26, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]","[7, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[14, 1, 'Mar', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[152, 1, 'Mar', 0, None, None]","[42, 1, 'Mar', 0, None, None]","[70, 1, 'Mar', 0, None, None]","[291, 1, 'Feb', 0, None, None]","[373, 1, 'Feb', 0, None, None]","[931, 1, 'Feb', 0, None, None]","[839, 2, 'Feb', 0, None, None]","[435, 1, 'Mar', 0, None, None]","[504, 1, 'Feb', 0, None, None]","[485, 1, 'Jan', 0, None, None]","[635, 1, 'Jan', 0, None, None]","[1343, 1, 'Dec', 0, None, None]","[1170, 1, 'Feb', 0, None, None]","[2190, 2, 'Jan', 0, None, None]","[784, 1, 'Jan', 0, None, None]","[902, 2, 'Feb', 0, None, None]","[845, 1, 'Feb', 0, None, None]","[1520, 1, 'Feb', 0, None, None]","[1806, 1, 'Jan', 0, None, None]","[971, 1, 'Feb', 0, None, None]","[713, 1, 'Feb', 0, None, None]","[396, 1, 'Feb', 0, None, None]","[651, 1, 'Feb', 0, None, None]","[1368, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1242, 1, 'Feb', 0, None, None]","[2020, 1, 'Jan', 0, None, None]","[1348, 1, 'Jan', 0, None, None]","[925, 1, 'Feb', 0, None, None]","[1129, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:44:53
Breydon Water and Berney Marshes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Mar', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[4, 1, 'Sep', 0, None, None]","[5, 2, 'Oct', 0, None, None]","[5, 2, 'Mar', 0, None, None]","[9, 2, 'Oct', 0, None, None]","[14, 1, 'Dec', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[16, 1, 'Feb', 0, None, None]","[8, 1, 'Dec', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[6, 1, 'Oct', 0, None, None]","[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]","[13, 1, 'Mar', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[7, 1, 'Dec', 0, None, None]","[3, 1, 'Dec', 0, None, None]","[0, 1, '', 0, None, None]","[105, 1, 'Mar', 0, None, None]","[119, 1, 'Mar', 0, None, None]","[206, 1, 'Mar', 0, None, None]","[215, 1, 'Mar', 0, None, None]","[236, 1, 'Feb', 0, None, None]","[204, 1, 'Feb', 0, None, None]","[120, 1, 'Feb', 0, None, None]","[213, 1, 'Mar', 0, None, None]","[46, 1, 'Jan', 0, None, None]","[172, 1, 'Feb', 0, None, None]","[183, 1, 'Feb', 0, None, None]","[319, 1, 'Mar', 0, None, None]","[356, 1, 'Feb', 0, None, None]","[620, 1, 'Nov', 0, None, None]","[679, 1, 'Feb', 0, None, None]","[415, 1, 'Mar', 0, None, None]","[322, 1, 'Mar', 0, None, None]","[468, 1, 'Mar', 0, None, None]","[333, 1, 'Mar', 0, None, None]","[769, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[754, 1, 'Feb', 0, None, None]","[570, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[546, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[568, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[404, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[756, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1070, 1, 'Feb', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[734, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1173, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[720, 1, 'Dec', 1, 'Standard visit under the WeBS Low Tide Count Survey', 'WeBS']","[1049, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,2019-12-06 11:44:53
Ouse Washes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[475, 1, 'Feb', 0, None, None]","[400, 1, 'Apr', 0, None, None]","[1200, 1, 'Oct', 0, None, None]","[300, 1, 'Mar', 0, None, None]","[1059, 1, 'Feb', 0, None, None]","[1080, 1, 'Mar', 0, None, None]","[340, 1, 'Dec', 0, None, None]","[770, 1, 'Mar', 0, None, None]","[610, 1, 'Mar', 0, None, None]","[228, 1, 'Jan', 0, None, None]","[479, 1, 'Oct', 0, None, None]","[513, 1, 'Nov', 0, None, None]","[212, 1, 'Oct', 0, None, None]","[334, 1, 'Mar', 0, None, None]","[411, 1, 'Nov', 0, None, None]","[296, 1, 'Feb', 0, None, None]","[685, 1, 'Mar', 0, None, None]","[397, 1, 'Mar', 0, None, None]","[403, 1, 'Mar', 0, None, None]","[505, 1, 'Mar', 0, None, None]","[445, 1, 'Mar', 0, None, None]","[1433, 1, 'Mar', 0, None, None]","[523, 1, 'Mar', 0, None, None]","[696, 1, 'Mar', 0, None, None]","[625, 1, 'Mar', 0, None, None]","[567, 1, 'Mar', 0, None, None]","[724, 1, 'Feb', 0, None, None]","[1066, 1, 'Mar', 0, None, None]","[837, 1, 'Dec', 0, None, None]","[212, 1, 'Oct', 0, None, None]","[663, 2, 'Mar', 0, None, None]","[540, 1, 'Dec', 0, None, None]","[503, 2, 'Apr', 0, None, None]","[980, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[396, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[968, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1125, 1, 'Mar', 0, None, None]","[1104, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2725, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1548, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[696, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1071, 1, 'Mar', 0, None, None]","[2039, 1, 'Mar', 0, None, None]","[503, 1, 'Mar', 0, None, None]","[1186, 1, 'Mar', 1, 'Supplementary roost count under the WeBS Core Count Survey', 'WeBS']","[1209, 1, 'Mar', 0, None, None]","[350, 1, 'Mar', 0, None, None]","[849, 1, 'Mar', 0, None, None]","[784, 1, 'Nov', 0, None, None]","[987, 1, 'Apr', 0, None, None]","[1342, 1, 'Apr', 0, None, None]","[370, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:44:53
Dungeness and Rye Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[19, 1, 'Jan', 0, None, None]","[62, 1, 'Mar', 0, None, None]","[11, 1, 'Nov', 0, None, None]","[67, 1, 'Jan', 0, None, None]","[36, 1, 'Jan', 0, None, None]","[97, 1, 'Jan', 0, None, None]","[132, 1, 'Feb', 0, None, None]","[156, 1, 'Nov', 0, None, None]","[102, 1, 'Oct', 0, None, None]","[70, 1, 'Dec', 0, None, None]","[155, 1, 'Feb', 0, None, None]","[80, 1, 'Feb', 0, None, None]","[190, 1, 'Dec', 0, None, None]","[56, 1, 'Feb', 0, None, None]","[269, 1, 'Jan', 0, None, None]","[190, 1, 'Nov', 0, None, None]","[166, 1, 'Jan', 0, None, None]","[312, 1, 'Nov', 0, None, None]","[206, 1, 'Dec', 0, None, None]","[195, 1, 'Feb', 0, None, None]","[193, 1, 'Dec', 0, None, None]","[271, 1, 'Oct', 0, None, None]","[211, 1, 'Feb', 0, None, None]","[366, 1, 'Sep', 0, None, None]","[254, 1, 'Jan', 0, None, None]","[287, 1, 'Oct', 0, None, None]","[511, 1, 'Nov', 0, None, None]","[346, 1, 'Oct', 0, None, None]","[284, 1, 'Oct', 0, None, None]","[461, 1, 'Dec', 0, None, None]","[493, 1, 'Oct', 0, None, None]","[440, 1, 'Feb', 0, None, None]","[558, 1, 'Feb', 0, None, None]","[592, 1, 'Jan', 0, None, None]","[667, 1, 'Jan', 0, None, None]","[860, 1, 'Feb', 0, None, None]","[515, 1, 'Jan', 0, None, None]","[453, 1, 'Feb', 0, None, None]","[451, 1, 'Dec', 0, None, None]","[626, 1, 'Sep', 0, None, None]","[553, 1, 'Dec', 0, None, None]","[581, 1, 'Nov', 0, None, None]","[588, 1, 'Feb', 0, None, None]","[735, 1, 'Oct', 0, None, None]","[506, 1, 'Mar', 0, None, None]","[507, 1, 'Feb', 0, None, None]","[586, 1, 'Dec', 0, None, None]","[830, 1, 'Jan', 0, None, None]","[889, 1, 'Jan', 0, None, None]","[877, 1, 'Jan', 0, None, None]","[722, 1, 'Jan', 0, None, None]","[915, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:44:53
Thames Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[109, 1, 'Mar', 0, None, None]","[164, 1, 'Dec', 0, None, None]","[548, 1, 'Nov', 0, None, None]","[161, 1, 'Jan', 0, None, None]","[227, 1, 'Feb', 0, None, None]","[91, 1, 'Jan', 0, None, None]","[77, 1, 'Jan', 0, None, None]","[45, 1, 'Jan', 0, None, None]","[59, 1, 'Mar', 0, None, None]","[115, 1, 'Mar', 0, None, None]","[302, 1, 'Feb', 0, None, None]","[82, 1, 'Feb', 0, None, None]","[333, 1, 'Dec', 0, None, None]","[489, 1, 'Dec', 0, None, None]","[382, 1, 'Nov', 0, None, None]","[460, 1, 'Oct', 0, None, None]","[377, 1, 'Jan', 0, None, None]","[327, 1, 'Dec', 0, None, None]","[390, 1, 'Dec', 0, None, None]","[625, 1, 'Nov', 0, None, None]","[178, 1, 'Nov', 0, None, None]","[207, 1, 'Nov', 0, None, None]","[258, 1, 'Nov', 0, None, None]","[300, 1, 'Feb', 0, None, None]","[158, 1, 'Sep', 0, None, None]","[134, 1, 'Mar', 0, None, None]","[144, 1, 'Feb', 0, None, None]","[187, 1, 'Jan', 0, None, None]","[264, 1, 'Feb', 0, None, None]","[202, 1, 'Jan', 0, None, None]","[197, 1, 'Dec', 0, None, None]","[173, 1, 'Feb', 0, None, None]","[374, 1, 'Feb', 0, None, None]","[187, 1, 'Jan', 0, None, None]","[564, 1, 'Feb', 0, None, None]","[605, 1, 'Mar', 0, None, None]","[697, 1, 'Jan', 0, None, None]","[415, 1, 'Feb', 0, None, None]","[402, 1, 'Jan', 0, None, None]","[357, 1, 'Nov', 0, None, None]","[524, 1, 'Feb', 0, None, None]","[227, 1, 'Feb', 0, None, None]","[486, 1, 'Jan', 0, None, None]","[355, 1, 'Feb', 0, None, None]","[537, 1, 'Mar', 0, None, None]","[266, 1, 'Mar', 0, None, None]","[453, 1, 'Mar', 0, None, None]","[1057, 1, 'Feb', 0, None, None]","[727, 1, 'Mar', 0, None, None]","[691, 1, 'Feb', 0, None, None]","[911, 1, 'Jan', 0, None, None]","[845, 1, 'Feb', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:44:53
Severn Estuary,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[130, 1, 'Oct', 0, None, None]","[180, 1, 'Jan', 0, None, None]","[400, 1, 'Jan', 0, None, None]","[300, 1, 'Jan', 0, None, None]","[207, 1, 'Jan', 0, None, None]","[166, 1, 'Jan', 0, None, None]","[132, 1, 'Jan', 0, None, None]","[454, 1, 'Jan', 0, None, None]","[141, 1, 'Jan', 0, None, None]","[141, 1, 'Dec', 0, None, None]","[202, 1, 'Dec', 0, None, None]","[165, 1, 'Dec', 0, None, None]","[152, 1, 'Jan', 0, None, None]","[206, 1, 'Jan', 0, None, None]","[100, 1, 'Nov', 0, None, None]","[141, 1, 'Dec', 0, None, None]","[120, 1, 'Feb', 0, None, None]","[76, 1, 'Dec', 0, None, None]","[238, 1, 'Dec', 0, None, None]","[266, 1, 'Dec', 0, None, None]","[115, 1, 'Jan', 0, None, None]","[138, 1, 'Jan', 0, None, None]","[78, 1, 'Nov', 0, None, None]","[62, 1, 'Feb', 0, None, None]","[56, 1, 'Nov', 0, None, None]","[73, 1, 'Jan', 0, None, None]","[95, 1, 'Feb', 0, None, None]","[160, 1, 'Jan', 0, None, None]","[168, 1, 'Feb', 0, None, None]","[270, 1, 'Jan', 0, None, None]","[169, 2, 'Oct', 0, None, None]","[150, 1, 'Jan', 0, None, None]","[259, 1, 'Dec', 0, None, None]","[206, 2, 'Nov', 0, None, None]","[306, 2, 'Feb', 0, None, None]","[366, 1, 'Nov', 0, None, None]","[311, 1, 'Jan', 0, None, None]","[325, 1, 'Feb', 0, None, None]","[266, 1, 'Feb', 0, None, None]","[603, 1, 'Jan', 0, None, None]","[600, 1, 'Jan', 0, None, None]","[811, 1, 'Jan', 0, None, None]","[526, 1, 'Nov', 0, None, None]","[497, 1, 'Dec', 0, None, None]","[426, 1, 'Dec', 0, None, None]","[481, 1, 'Dec', 0, None, None]","[524, 1, 'Oct', 0, None, None]","[514, 1, 'Feb', 0, None, None]","[472, 1, 'Nov', 0, None, None]","[589, 1, 'Feb', 0, None, None]","[419, 1, 'Feb', 0, None, None]","[441, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:44:53
North Norfolk Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[13, 1, 'Jan', 0, None, None]","[20, 1, 'Dec', 0, None, None]","[16, 1, 'Dec', 0, None, None]","[23, 1, 'Sep', 0, None, None]","[35, 1, 'Jan', 0, None, None]","[252, 1, 'Feb', 0, None, None]","[114, 1, 'Feb', 0, None, None]","[148, 1, 'Dec', 0, None, None]","[103, 1, 'Nov', 0, None, None]","[48, 1, 'Oct', 0, None, None]","[100, 1, 'Mar', 0, None, None]","[50, 1, 'Jan', 0, None, None]","[31, 1, 'Sep', 0, None, None]","[36, 1, 'Oct', 0, None, None]","[23, 1, 'Sep', 0, None, None]","[15, 1, 'Dec', 0, None, None]","[27, 1, 'Nov', 0, None, None]","[51, 1, 'Dec', 0, None, None]","[52, 1, 'Oct', 0, None, None]","[72, 1, 'Nov', 0, None, None]","[57, 1, 'Nov', 0, None, None]","[128, 1, 'Feb', 0, None, None]","[57, 1, 'Feb', 0, None, None]","[113, 1, 'Feb', 0, None, None]","[69, 1, 'Jan', 0, None, None]","[115, 1, 'Mar', 0, None, None]","[158, 1, 'Sep', 0, None, None]","[162, 1, 'Feb', 0, None, None]","[279, 2, 'Nov', 0, None, None]","[206, 1, 'Dec', 0, None, None]","[135, 1, 'Aug', 0, None, None]","[121, 1, 'Nov', 0, None, None]","[138, 1, 'Apr', 0, None, None]","[153, 1, 'Sep', 0, None, None]","[203, 1, 'Oct', 0, None, None]","[289, 1, 'Feb', 0, None, None]","[182, 1, 'Jan', 0, None, None]","[212, 1, 'Mar', 0, None, None]","[234, 1, 'Dec', 0, None, None]","[278, 1, 'Jan', 0, None, None]","[380, 1, 'Dec', 0, None, None]","[258, 1, 'Feb', 0, None, None]","[297, 1, 'Dec', 0, None, None]","[309, 1, 'Dec', 0, None, None]","[282, 1, 'Nov', 0, None, None]","[262, 1, 'Apr', 0, None, None]","[228, 1, 'Dec', 0, None, None]","[585, 1, 'Mar', 0, None, None]","[407, 1, 'Mar', 0, None, None]","[615, 1, 'Apr', 0, None, None]","[487, 1, 'Dec', 0, None, None]","[303, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:44:53
Nene Washes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[60, 1, 'Jan', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[20, 1, 'Nov', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[5, 1, 'Mar', 0, None, None]","[1, 1, 'Sep', 0, None, None]","[2, 1, 'Sep', 0, None, None]","[2, 1, 'Nov', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[17, 1, 'Mar', 0, None, None]","[41, 1, 'Mar', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[85, 1, 'Mar', 0, None, None]","[32, 1, 'Feb', 0, None, None]","[176, 1, 'Mar', 0, None, None]","[98, 1, 'Mar', 0, None, None]","[148, 1, 'Mar', 0, None, None]","[30, 1, 'Mar', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[121, 1, 'Apr', 0, None, None]",nan,nan,"[81, 1, 'Mar', 0, None, None]","[247, 1, 'Jan', 0, None, None]","[97, 1, 'Mar', 0, None, None]","[41, 1, 'Feb', 0, None, None]","[318, 1, 'Mar', 0, None, None]","[367, 1, 'Feb', 0, None, None]","[517, 1, 'Mar', 0, None, None]","[347, 1, 'Mar', 0, None, None]","[143, 1, 'Mar', 0, None, None]","[689, 1, 'Mar', 0, None, None]","[482, 1, 'Mar', 0, None, None]","[406, 1, 'Mar', 0, None, None]","[190, 1, 'Dec', 0, None, None]","[374, 1, 'Mar', 0, None, None]","[262, 1, 'Mar', 0, None, None]","[200, 1, 'Feb', 0, None, None]","[177, 1, 'Mar', 0, None, None]","[213, 1, 'Mar', 0, None, None]","[448, 1, 'Feb', 0, None, None]","[384, 1, 'Feb', 0, None, None]","[272, 1, 'Mar', 0, None, None]","[330, 1, 'Mar', 0, None, None]","[79, 1, 'Mar', 0, None, None]","[84, 1, 'Mar', 0, None, None]","[239, 1, 'Mar', 0, None, None]","[496, 1, 'Mar', 0, None, None]","[287, 1, 'Mar', 0, None, None]","[537, 1, 'Mar', 0, None, None]","[418, 1, 'Mar', 0, None, None]","[639, 1, 'Mar', 0, None, None]",nan,nan,nan,nan,2019-12-06 11:44:53
Blagdon Lake,nan,nan,nan,"[6, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[16, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[75, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[75, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[53, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[85, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[28, 1, 'Jan', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[50, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[93, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[22, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[40, 1, 'Dec', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,"[22, 1, 'Oct', 0, None, None]","[161, 1, 'Feb', 0, None, None]","[139, 1, 'Oct', 0, None, None]","[80, 1, 'Oct', 0, None, None]","[48, 1, 'Mar', 0, None, None]","[80, 1, 'Mar', 0, None, None]","[195, 1, 'Sep', 0, None, None]","[85, 1, 'Sep', 0, None, None]","[330, 1, 'Aug', 0, None, None]","[207, 1, 'Oct', 0, None, None]","[37, 1, 'Nov', 0, None, None]","[127, 1, 'Sep', 0, None, None]","[100, 1, 'Oct', 0, None, None]","[46, 1, 'Sep', 0, None, None]","[63, 1, 'Oct', 0, None, None]","[58, 1, 'Oct', 0, None, None]","[113, 1, 'Oct', 0, None, None]","[92, 1, 'Nov', 0, None, None]","[162, 1, 'Oct', 0, None, None]","[230, 1, 'Nov', 0, None, None]","[106, 1, 'Sep', 0, None, None]","[166, 1, 'Dec', 0, None, None]","[92, 1, 'Oct', 0, None, None]","[136, 1, 'Sep', 0, None, None]","[208, 1, 'Oct', 0, None, None]","[64, 1, 'Sep', 0, None, None]","[144, 1, 'Nov', 0, None, None]","[195, 1, 'Oct', 0, None, None]","[160, 1, 'Sep', 0, None, None]","[115, 1, 'Oct', 0, None, None]","[404, 1, 'Oct', 0, None, None]","[64, 1, 'Nov', 0, None, None]","[52, 1, 'Oct', 0, None, None]","[95, 1, 'Mar', 0, None, None]","[145, 1, 'Oct', 0, None, None]","[400, 1, 'Oct', 0, None, None]","[75, 1, 'Mar', 0, None, None]","[146, 1, 'Sep', 0, None, None]","[160, 1, 'Aug', 0, None, None]","[220, 2, 'Sep', 0, None, None]","[542, 1, 'Sep', 0, None, None]","[137, 1, 'Oct', 0, None, None]","[76, 1, 'Mar', 0, None, None]","[41, 1, 'Oct', 0, None, None]","[45, 1, 'Nov', 0, None, None]","[305, 1, 'Oct', 0, None, None]","[15, 1, 'Feb', 0, None, None]","[669, 1, 'Oct', 0, None, None]","[46, 1, 'Oct', 0, None, None]","[460, 1, 'Oct', 0, None, None]","[690, 1, 'Oct', 0, None, None]","[270, 1, 'Oct', 0, None, None]","[100, 1, 'Apr', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[40, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[50, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[25, 1, 'Oct', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",2019-12-06 11:44:53
