Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Lower Windrush Valley Gravel Pits,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,5,6.0,7,8,1,5,9.0,11,14.0,14,13.0,12,0,0.0,6.0,3,10,69,18.0,8,6.0,96,Apr,39,39,1,2019-11-28 05:19:12
University of York Lake Heslington,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29,28.0,28,34.0,27,Aug,29,29,1,2019-11-28 05:19:12
Farmoor Reservoirs,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,nan,nan,nan,nan,0,0,0.0,0,0.0,93,Jan,19,19,1,2019-11-28 05:19:12
Blenheim Park Lake,0.0,0.0,0.0,0,0,0,0.0,0.0,nan,0.0,0,0,0.0,0.0,29.0,30.0,21,17,17,14.0,0,12,13,0,0.0,15,15.0,12,14.0,12,0,0.0,nan,nan,nan,nan,nan,nan,6.0,5,Aug,6,6,1,2019-11-28 05:19:12
Mersey Estuary,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,1,0.0,0,0.0,0,0,1.0,0.0,0,0,0,0.0,0,24.0,0,nan,5,5,1,2019-11-28 05:19:12
Canal Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,0,nan,(0),(0),0.0,0.0,(0),(0),(0),0.0,nan,14.0,0,nan,5,5,1,2019-11-28 05:19:12
Gouthwaite Reservoir,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,(0),0,0,0.0,0,0,(0),0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,6,6,4.0,3,4.0,4,Feb,4,4,1,2019-11-28 05:19:12
Loch of Strathbeg,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1,1,1,0.0,(0),0.0,1,1.0,0,1,3.0,0.0,0,0,2,2.0,0,3.0,2,Mar,2,2,1,2019-11-28 05:19:12
Abbots Moss (Cumbria),nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2.0,0.0,0,0,nan,0.0,0,0,0,0,0.0,0,0.0,0,1.0,0,0,0.0,0.0,0,0,0,0.0,1,1.0,nan,nan,1,1,1,2019-11-28 05:19:12
Acre Dell Pool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,0,0.0,0,nan,1,1,1,2019-11-28 05:19:12
