Site,35/36,36/37,37/38,38/39,39/40,40/41,41/42,42/43,43/44,44/45,45/46,46/47,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Loch Leven,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[1310, 1, 'May', 0, None, None]","[643, 1, 'Sep', 0, None, None]","[629, 1, 'Mar', 0, None, None]","[1933, 1, 'Sep', 0, None, None]","[4000, 1, 'Sep', 0, None, None]","[1600, 1, 'Sep', 0, None, None]","[1500, 1, 'Sep', 0, None, None]","[3000, 1, 'Sep', 0, None, None]","[800, 1, 'Sep', 0, None, None]","[1000, 1, 'Sep', 0, None, None]","[1500, 1, 'Sep', 0, None, None]","[1250, 1, 'Sep', 0, None, None]","[2000, 1, 'Sep', 0, None, None]","[4500, 1, 'Sep', 0, None, None]","[4273, 1, 'Sep', 0, None, None]","[4560, 1, 'Sep', 0, None, None]","[3455, 1, 'Oct', 0, None, None]","[4830, 1, 'Sep', 0, None, None]","[1463, 1, 'Sep', 0, None, None]","[3310, 1, 'Sep', 0, None, None]","[1800, 1, 'Oct', 0, None, None]","[2580, 1, 'Sep', 0, None, None]","[3180, 1, 'Sep', 0, None, None]","[2700, 1, 'Sep', 0, None, None]","[3120, 1, 'Sep', 0, None, None]","[4064, 1, 'Sep', 0, None, None]","[2500, 1, 'Sep', 0, None, None]","[3481, 1, 'Aug', 0, None, None]","[3800, 1, 'Sep', 0, None, None]","[3000, 1, 'Sep', 0, None, None]","[4589, 1, 'Sep', 0, None, None]","[3310, 1, 'Sep', 0, None, None]","[3434, 1, 'Sep', 0, None, None]","[3550, 1, 'Sep', 0, None, None]","[3900, 1, 'Nov', 0, None, None]","[3650, 1, 'Sep', 0, None, None]","[4872, 1, 'Oct', 0, None, None]","[3913, 1, 'Oct', 0, None, None]","[3826, 1, 'Sep', 0, None, None]","[3802, 1, 'Sep', 0, None, None]","[3553, 1, 'Oct', 0, None, None]","[4140, 1, 'Oct', 0, None, None]","[3610, 1, 'Sep', 0, None, None]","[3601, 1, 'Aug', 0, None, None]","[6455, 1, 'Sep', 0, None, None]","[7835, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[6220, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[11614, 1, 'Oct', 0, None, None]","[5657, 1, 'Oct', 0, None, None]","[7209, 1, 'Oct', 0, None, None]","[8019, 1, 'Sep', 0, None, None]","[7156, 1, 'Oct', 0, None, None]",2019-12-06 21:03:36
Loughs Neagh and Beg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6197, 1, 'Jan', 0, None, None]","[8927, 1, 'Jan', 0, None, None]","[19548, 1, 'Jan', 0, None, None]","[16489, 1, 'Jan', 0, None, None]","[29333, 1, 'Dec', 0, None, None]","[22191, 1, 'Nov', 0, None, None]","[25168, 1, 'Jan', 0, None, None]","[17986, 1, 'Dec', 0, None, None]","[22474, 1, 'Oct', 0, None, None]","[21101, 1, 'Nov', 0, None, None]","[25340, 1, 'Jan', 0, None, None]","[27368, 1, 'Dec', 0, None, None]","[18720, 1, 'Nov', 0, None, None]","[20360, 1, 'Dec', 0, None, None]","[20620, 1, 'Dec', 0, None, None]","[26417, 1, 'Dec', 0, None, None]","[13318, 1, 'Jan', 0, None, None]","[9771, 1, 'Jan', 0, None, None]","[8999, 1, 'Dec', 0, None, None]","[9277, 1, 'Feb', 0, None, None]","[7871, 1, 'Jan', 0, None, None]","[6441, 1, 'Jan', 0, None, None]","[6076, 1, 'Jan', 0, None, None]","[5126, 1, 'Jan', 0, None, None]","[8968, 1, 'Jan', 0, None, None]","[8078, 1, 'Feb', 0, None, None]","[9009, 1, 'Jan', 0, None, None]","[8547, 1, 'Dec', 0, None, None]","[7682, 1, 'Jan', 0, None, None]","[6526, 1, 'Jan', 0, None, None]","[9439, 1, 'Jan', 0, None, None]","[8052, 1, 'Jan', 0, None, None]","[6049, 1, 'Dec', 0, None, None]",2019-12-06 21:03:36
Rutland Water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[252, 1, 'Dec', 0, None, None]","[703, 1, 'Nov', 0, None, None]","[949, 1, 'Oct', 0, None, None]","[2287, 1, 'Nov', 0, None, None]","[2208, 1, 'Sep', 0, None, None]","[1523, 1, 'Dec', 0, None, None]","[1804, 1, 'Oct', 0, None, None]","[2380, 1, 'Nov', 0, None, None]","[3062, 1, 'Aug', 0, None, None]","[3379, 1, 'Sep', 0, None, None]","[3000, 1, 'Aug', 0, None, None]","[3301, 1, 'Aug', 0, None, None]","[3237, 1, 'Sep', 0, None, None]","[5582, 1, 'Sep', 0, None, None]","[3709, 1, 'Sep', 0, None, None]","[2097, 1, 'Sep', 0, None, None]","[2397, 1, 'Sep', 0, None, None]","[1723, 1, 'Sep', 0, None, None]","[2500, 1, 'Aug', 0, None, None]","[2448, 1, 'Sep', 0, None, None]","[3775, 1, 'Aug', 0, None, None]","[3159, 1, 'Oct', 0, None, None]","[3557, 1, 'Aug', 0, None, None]","[4692, 1, 'Sep', 0, None, None]","[3325, 1, 'Sep', 0, None, None]","[3313, 1, 'Sep', 0, None, None]","[5115, 1, 'Sep', 0, None, None]","[7496, 1, 'Oct', 0, None, None]","[6818, 1, 'Sep', 0, None, None]","[6488, 1, 'Oct', 0, None, None]","[8487, 1, 'Oct', 0, None, None]","[9758, 1, 'Sep', 0, None, None]","[5134, 1, 'Sep', 0, None, None]","[3678, 1, 'Sep', 0, None, None]","[7216, 1, 'Sep', 0, None, None]","[5449, 1, 'Jan', 0, None, None]","[7692, 1, 'Sep', 0, None, None]","[4984, 1, 'Oct', 0, None, None]","[6114, 1, 'Oct', 0, None, None]","[3560, 1, 'Sep', 0, None, None]","[8135, 1, 'Sep', 0, None, None]","[2924, 1, 'Sep', 0, None, None]","[5403, 1, 'Dec', 0, None, None]",2019-12-06 21:03:36
Abberton Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[470, 1, 'Jul', 0, None, None]","[258, 1, 'Dec', 0, None, None]","[768, 1, 'Jul', 0, None, None]","[1288, 1, 'Jul', 0, None, None]","[916, 1, 'Jul', 0, None, None]","[1026, 1, 'Jul', 0, None, None]","[2657, 1, 'Dec', 0, None, None]","[2260, 1, 'Jul', 0, None, None]","[1926, 1, 'Jul', 0, None, None]","[2101, 1, 'Jul', 0, None, None]","[3389, 1, 'Aug', 0, None, None]","[2065, 1, 'Sep', 0, None, None]","[3354, 1, 'Jul', 0, None, None]","[2478, 1, 'Aug', 0, None, None]","[1660, 1, 'Aug', 0, None, None]","[2670, 1, 'Sep', 0, None, None]","[3130, 1, 'Aug', 0, None, None]","[3025, 1, 'Aug', 0, None, None]","[2700, 1, 'Jul', 0, None, None]","[2200, 1, 'Aug', 0, None, None]","[3375, 1, 'Aug', 0, None, None]","[3463, 1, 'Jul', 0, None, None]","[3987, 1, 'Dec', 0, None, None]","[4387, 1, 'Aug', 0, None, None]","[3550, 1, 'Aug', 0, None, None]","[2428, 1, 'Sep', 0, None, None]","[1724, 1, 'Dec', 0, None, None]","[2126, 1, 'Nov', 0, None, None]","[1803, 1, 'Sep', 0, None, None]","[1356, 1, 'Aug', 0, None, None]","[3218, 1, 'Sep', 0, None, None]","[2268, 1, 'Sep', 0, None, None]","[2602, 2, 'Sep', 0, None, None]","[4654, 1, 'Sep', 0, None, None]","[4414, 1, 'Aug', 0, None, None]","[1418, 1, 'Aug', 0, None, None]","[2487, 1, 'Aug', 0, None, None]","[2067, 1, 'Aug', 0, None, None]","[5112, 1, 'Oct', 0, None, None]","[4857, 2, 'Nov', 0, None, None]","[1187, 1, 'Apr', 0, None, None]","[3796, 1, 'Oct', 0, None, None]","[3928, 1, 'Oct', 0, None, None]","[5078, 1, 'Oct', 0, None, None]","[2790, 1, 'Sep', 0, None, None]","[2872, 1, 'Sep', 0, None, None]","[2075, 1, 'Sep', 0, None, None]","[2729, 1, 'Sep', 0, None, None]","[2874, 1, 'Oct', 0, None, None]","[2869, 1, 'Sep', 0, None, None]","[2969, 1, 'Aug', 0, None, None]","[2971, 1, 'Aug', 0, None, None]",2019-12-06 21:03:36
Cotswold Water Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[50, 1, 'Jan', 0, None, None]",nan,nan,"[93, 1, 'Dec', 0, None, None]","[170, 1, 'Nov', 0, None, None]","[206, 1, 'Nov', 0, None, None]","[329, 1, 'Feb', 0, None, None]","[586, 1, 'Nov', 0, None, None]","[654, 1, 'Dec', 0, None, None]","[961, 1, 'Jan', 0, None, None]","[802, 1, 'Nov', 0, None, None]","[1174, 1, 'Dec', 0, None, None]","[1034, 1, 'Oct', 0, None, None]","[1068, 1, 'Feb', 0, None, None]","[862, 1, 'Jan', 0, None, None]","[1144, 1, 'Sep', 0, None, None]","[929, 1, 'Jan', 0, None, None]","[1197, 1, 'Jan', 0, None, None]","[1175, 1, 'Nov', 0, None, None]","[1011, 1, 'Jan', 0, None, None]","[928, 1, 'Dec', 0, None, None]","[961, 1, 'Sep', 0, None, None]","[1823, 1, 'Feb', 0, None, None]","[859, 1, 'Mar', 0, None, None]","[1143, 1, 'Dec', 0, None, None]","[1022, 1, 'Jan', 0, None, None]","[971, 1, 'Mar', 0, None, None]","[1081, 1, 'Feb', 0, None, None]","[1170, 1, 'Dec', 0, None, None]","[1049, 1, 'Feb', 0, None, None]","[1064, 1, 'Dec', 0, None, None]","[1178, 1, 'Dec', 0, None, None]","[1350, 1, 'Nov', 0, None, None]","[1230, 1, 'Feb', 0, None, None]","[1330, 1, 'Dec', 0, None, None]","[1203, 1, 'Feb', 0, None, None]","[1168, 1, 'Feb', 0, None, None]","[1569, 1, 'Jan', 0, None, None]","[1533, 1, 'Feb', 0, None, None]","[1677, 1, 'Jan', 0, None, None]","[1745, 1, 'Dec', 0, None, None]","[2143, 1, 'Dec', 0, None, None]","[2065, 1, 'Nov', 0, None, None]","[1978, 1, 'Nov', 0, None, None]","[1900, 1, 'Mar', 0, None, None]","[2081, 1, 'Feb', 0, None, None]","[2026, 1, 'Feb', 0, None, None]","[1895, 1, 'Feb', 0, None, None]","[2119, 1, 'Feb', 0, None, None]","[2386, 1, 'Feb', 0, None, None]","[2290, 1, 'Feb', 0, None, None]","[2558, 1, 'Feb', 0, None, None]",2019-12-06 21:03:36
Chew Valley Lake,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[315, 1, 'Apr', 0, None, None]","[103, 1, 'Apr', 0, None, None]","[360, 1, 'Mar', 0, None, None]","[333, 1, 'Apr', 0, None, None]","[369, 1, 'Apr', 0, None, None]","[439, 1, 'Feb', 0, None, None]","[204, 1, 'Mar', 0, None, None]","[354, 1, 'Apr', 0, None, None]","[384, 1, 'Jan', 0, None, None]","[367, 1, 'Mar', 0, None, None]","[300, 1, 'Feb', 0, None, None]","[401, 1, 'Oct', 0, None, None]","[435, 1, 'Dec', 0, None, None]","[327, 1, 'Sep', 0, None, None]","[317, 1, 'Mar', 0, None, None]","[182, 1, 'Mar', 0, None, None]","[490, 1, 'Jul', 0, None, None]","[915, 1, 'Aug', 0, None, None]","[515, 1, 'Aug', 0, None, None]","[455, 1, 'Aug', 0, None, None]","[535, 1, 'Aug', 0, None, None]","[525, 1, 'Sep', 0, None, None]","[830, 1, 'Oct', 0, None, None]","[710, 1, 'Sep', 0, None, None]","[375, 1, 'Jul', 0, None, None]","[345, 1, 'Aug', 0, None, None]","[390, 1, 'Jan', 0, None, None]","[385, 1, 'Jul', 0, None, None]","[310, 1, 'Mar', 0, None, None]","[355, 1, 'Sep', 0, None, None]","[520, 1, 'Jul', 0, None, None]","[750, 1, 'Nov', 0, None, None]","[735, 1, 'Sep', 0, None, None]","[965, 1, 'Sep', 0, None, None]","[785, 1, 'Sep', 0, None, None]","[1020, 1, 'Sep', 0, None, None]","[1080, 1, 'Sep', 0, None, None]","[1465, 1, 'Sep', 0, None, None]","[1235, 1, 'Oct', 0, None, None]","[2115, 1, 'Oct', 0, None, None]","[1325, 1, 'Nov', 0, None, None]","[1480, 1, 'Sep', 0, None, None]","[1350, 1, 'Sep', 0, None, None]","[1480, 1, 'Oct', 0, None, None]","[2420, 1, 'Oct', 0, None, None]","[2100, 1, 'Sep', 0, None, None]","[2475, 1, 'Sep', 0, None, None]","[2100, 1, 'Sep', 0, None, None]","[2355, 1, 'Sep', 0, None, None]","[1625, 1, 'Sep', 0, None, None]","[2585, 1, 'Oct', 0, None, None]","[2505, 1, 'Sep', 0, None, None]",2019-12-06 21:03:36
Hanningfield Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[278, 1, 'Mar', 0, None, None]","[415, 1, 'Feb', 0, None, None]","[534, 1, 'Dec', 0, None, None]","[538, 1, 'Mar', 0, None, None]","[769, 1, 'Jan', 0, None, None]","[414, 1, 'Nov', 0, None, None]","[663, 1, 'Feb', 0, None, None]","[283, 1, 'Mar', 0, None, None]","[524, 1, 'Sep', 0, None, None]","[438, 1, 'Jan', 0, None, None]","[383, 1, 'Sep', 0, None, None]","[549, 1, 'Oct', 0, None, None]","[523, 1, 'Sep', 0, None, None]","[441, 1, 'Sep', 0, None, None]","[716, 1, 'Mar', 0, None, None]","[393, 1, 'Mar', 0, None, None]","[304, 1, 'Sep', 0, None, None]","[466, 1, 'Sep', 0, None, None]","[1010, 1, 'Sep', 0, None, None]","[460, 1, 'Nov', 0, None, None]","[790, 1, 'Oct', 0, None, None]","[870, 1, 'Sep', 0, None, None]","[655, 1, 'Dec', 0, None, None]","[530, 1, 'Sep', 0, None, None]","[537, 1, 'Jan', 0, None, None]","[1463, 1, 'Aug', 0, None, None]","[2055, 1, 'Aug', 0, None, None]","[1624, 1, 'Jul', 0, None, None]","[1213, 1, 'Aug', 0, None, None]","[1594, 1, 'Aug', 0, None, None]","[1600, 1, 'Sep', 0, None, None]","[1747, 1, 'Aug', 0, None, None]","[851, 1, 'Nov', 0, None, None]","[1534, 1, 'Aug', 0, None, None]","[2183, 1, 'Nov', 0, None, None]","[1160, 1, 'Nov', 0, None, None]","[1641, 1, 'Sep', 0, None, None]","[3109, 1, 'Sep', 0, None, None]","[400, 1, 'Jan', 0, None, None]","[1573, 1, 'Aug', 0, None, None]","[2194, 1, 'Aug', 0, None, None]","[486, 1, 'Mar', 0, None, None]","[3269, 1, 'Jul', 0, None, None]","[2275, 1, 'Aug', 0, None, None]","[1596, 1, 'Aug', 0, None, None]","[1866, 1, 'Aug', 0, None, None]","[1465, 1, 'Aug', 0, None, None]","[2454, 1, 'Aug', 0, None, None]","[2628, 1, 'Aug', 0, None, None]","[1492, 1, 'Sep', 0, None, None]","[1830, 1, 'Aug', 0, None, None]","[1439, 1, 'Aug', 0, None, None]",2019-12-06 21:03:36
Ouse Washes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[595, 1, 'Dec', 0, None, None]","[120, 1, 'Jan', 0, None, None]","[900, 1, 'Mar', 0, None, None]","[289, 1, 'Mar', 0, None, None]","[461, 1, 'Feb', 0, None, None]","[400, 1, 'Mar', 0, None, None]","[140, 1, 'Mar', 0, None, None]","[275, 1, 'Feb', 0, None, None]","[720, 1, 'Mar', 0, None, None]","[271, 1, 'Jan', 0, None, None]","[1165, 1, 'Feb', 0, None, None]","[401, 1, 'Feb', 0, None, None]","[616, 1, 'Feb', 0, None, None]","[474, 1, 'Feb', 0, None, None]","[490, 1, 'Mar', 0, None, None]","[352, 1, 'Jan', 0, None, None]","[365, 1, 'Feb', 0, None, None]","[492, 1, 'Feb', 0, None, None]","[617, 1, 'Feb', 0, None, None]","[675, 1, 'Feb', 0, None, None]","[1078, 1, 'Mar', 0, None, None]","[1847, 1, 'Feb', 0, None, None]","[470, 1, 'Mar', 0, None, None]","[528, 1, 'Mar', 0, None, None]","[365, 1, 'Mar', 0, None, None]","[273, 1, 'Jan', 0, None, None]","[1347, 1, 'Feb', 0, None, None]","[1737, 1, 'Mar', 0, None, None]","[761, 1, 'Feb', 0, None, None]","[811, 1, 'Mar', 0, None, None]","[391, 1, 'Mar', 0, None, None]","[1165, 1, 'Feb', 0, None, None]","[1662, 1, 'Mar', 0, None, None]","[1361, 1, 'Mar', 0, None, None]","[2214, 1, 'Jan', 0, None, None]","[1395, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1192, 1, 'Feb', 0, None, None]","[973, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2251, 1, 'Nov', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1140, 1, 'Mar', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[2057, 1, 'Feb', 0, None, None]","[3328, 1, 'Feb', 0, None, None]","[2978, 2, 'Feb', 0, None, None]","[1647, 1, 'Mar', 0, None, None]","[1548, 1, 'Mar', 0, None, None]","[665, 1, 'Mar', 0, None, None]","[5105, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[1916, 1, 'Mar', 0, None, None]","[2912, 1, 'Feb', 0, None, None]","[1128, 1, 'Feb', 0, None, None]","[1952, 1, 'Mar', 0, None, None]","[1049, 1, 'Feb', 0, None, None]",2019-12-06 21:03:36
Pitsford Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[50, 1, 'Feb', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']",nan,nan,nan,nan,nan,nan,nan,"[300, 1, 'Oct', 0, None, None]","[75, 1, 'Jan', 0, None, None]","[150, 1, 'Dec', 0, None, None]","[200, 1, 'Nov', 0, None, None]","[200, 1, 'Oct', 0, None, None]","[500, 1, 'Oct', 0, None, None]","[400, 1, 'Sep', 0, None, None]","[100, 1, 'Sep', 0, None, None]","[250, 1, 'Dec', 0, None, None]","[750, 1, 'Oct', 0, None, None]","[100, 1, 'Dec', 0, None, None]","[200, 1, 'Dec', 0, None, None]","[275, 1, 'Oct', 0, None, None]","[600, 1, 'Sep', 0, None, None]","[530, 1, 'Feb', 0, None, None]","[985, 1, 'Oct', 0, None, None]","[721, 1, 'Oct', 0, None, None]","[568, 1, 'Sep', 0, None, None]","[770, 1, 'Nov', 0, None, None]","[403, 1, 'Oct', 0, None, None]","[451, 1, 'Sep', 0, None, None]","[435, 1, 'Oct', 0, None, None]","[501, 1, 'Sep', 0, None, None]","[697, 1, 'Nov', 0, None, None]","[764, 1, 'Oct', 0, None, None]","[766, 1, 'Sep', 0, None, None]","[1107, 1, 'Sep', 0, None, None]","[1428, 1, 'Jan', 0, None, None]","[1616, 1, 'Nov', 0, None, None]","[854, 1, 'Nov', 0, None, None]","[2034, 1, 'Oct', 0, None, None]","[1129, 1, 'Feb', 0, None, None]","[2585, 2, 'Oct', 0, None, None]","[1312, 1, 'Sep', 0, None, None]","[1202, 1, 'Sep', 0, None, None]","[1263, 1, 'Nov', 0, None, None]","[2441, 1, 'Oct', 0, None, None]","[2226, 1, 'Oct', 0, None, None]","[2506, 1, 'Oct', 0, None, None]","[2066, 1, 'Sep', 0, None, None]","[1374, 1, 'Sep', 0, None, None]","[774, 1, 'Sep', 0, None, None]","[1654, 1, 'Dec', 0, None, None]","[1749, 1, 'Sep', 0, None, None]","[1164, 1, 'Aug', 0, None, None]","[1492, 1, 'Aug', 0, None, None]","[1104, 1, 'Sep', 0, None, None]","[1434, 1, 'Sep', 0, None, None]","[2218, 1, 'Sep', 0, None, None]","[1551, 1, 'Sep', 0, None, None]","[2282, 1, 'Sep', 0, None, None]","[1415, 1, 'Sep', 0, None, None]",2019-12-06 21:03:36
Upper Lough Erne,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[230, 1, 'Mar', 0, None, None]","[323, 1, 'Feb', 0, None, None]","[637, 1, 'Jan', 0, None, None]","[620, 1, 'Feb', 0, None, None]","[349, 1, 'Jan', 0, None, None]",nan,"[588, 1, 'Feb', 0, None, None]","[381, 1, 'Feb', 0, None, None]","[293, 1, 'Jan', 0, None, None]","[349, 1, 'Feb', 0, None, None]","[644, 1, 'Jan', 0, None, None]","[542, 1, 'Jan', 0, None, None]","[255, 1, 'Jan', 0, None, None]","[546, 1, 'Mar', 0, None, None]","[745, 1, 'Dec', 0, None, None]","[998, 1, 'Feb', 0, None, None]","[1065, 1, 'Dec', 0, None, None]","[1236, 1, 'Dec', 0, None, None]","[1295, 1, 'Feb', 0, None, None]","[1457, 1, 'Feb', 0, None, None]","[1478, 1, 'Dec', 0, None, None]","[1772, 1, 'Dec', 0, None, None]","[1895, 1, 'Feb', 0, None, None]","[2240, 1, 'Feb', 0, None, None]","[2836, 1, 'Feb', 0, None, None]","[2348, 1, 'Jan', 0, None, None]","[1451, 1, 'Jan', 0, None, None]","[1354, 1, 'Nov', 0, None, None]","[2152, 1, 'Dec', 0, None, None]","[2219, 1, 'Feb', 0, None, None]","[1325, 1, 'Feb', 0, None, None]","[1073, 1, 'Mar', 0, None, None]",2019-12-06 21:03:36
