Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Heigham Holmes,740,(415),nan,nan,nan,505European White-fronted Geese supplementary countsNorfolk Bird Report,450European White-fronted Geese supplementary countsNorfolk Bird Report,512European White-fronted Geese supplementary countsNorfolk Bird Report,570European White-fronted Geese supplementary countsNorfolk Bird Report,800European White-fronted Geese supplementary countsNorfolk Bird Report,200European White-fronted Geese supplementary countsNorfolk Bird Report,150European White-fronted Geese supplementary countsNorfolk Bird Report,230European White-fronted Geese supplementary countsNorfolk Bird Report,nan,nan,nan,235,385,827,315,Feb,441,441,1,2019-11-22 01:52:25
North Norfolk Coast,383,343,240,380,347,540,340,404,200,275,226,96,257,422,181,139,129,263,709,216,Mar,291,291,1,2019-11-22 01:52:25
North Warren and Thorpeness Mere,0,350Supplementary visit under the WeBS Core Count SurveyWeBS,nan,250,310Supplementary visit under the WeBS Core Count SurveyWeBS,190Supplementary visit under the WeBS Core Count SurveyWeBS,302,330Supplementary visit under the WeBS Core Count SurveyWeBS,180,452Supplementary visit under the WeBS Core Count SurveyWeBS,245,293,483,355,325,153,150,192,360,145,Feb,200,200,1,2019-11-22 01:52:25
Severn Estuary,1840,1931,996,1250,990Standard visit under the WeBS Low Tide Count SurveyWeBS,780Supplementary visit under the WeBS Core Count SurveyWeBS,745Svalbard Barnacle Goose on SolwayWWT data,750,542Common Scoter aerial surveyWWT unpublished data,527WWT reserve countsWWT,507Standard visit under the WeBS Low Tide Count SurveyWeBS,676WWT reserve countsWWT,650Supplementary visit under the WeBS Core Count SurveyWeBS,286Supplementary visit under the WeBS Core Count SurveyWeBS,191,238,178,132,162,125,Feb,167,167,1,2019-11-22 01:52:25
Severn Estuary (English counties),1840,1931,996,1250,900,520,740,750,475,520,427,300,(560),280,191,238,178,132,162,125,Feb,167,167,1,2019-11-22 01:52:25
Middle Yare Marshes,(84),155,298,74,89,120,109,76,66,193,72,425Supplementary visit under the WeBS Core Count SurveyWeBS,202,452,72,245,65,92,399,30,Nov,166,166,1,2019-11-22 01:52:25
Breydon Water and Berney Marshes,91,51,112,110,181,455,267,290,0,61Supplementary visit under the WeBS Core Count SurveyWeBS,0,28Supplementary roost count under the WeBS Core Count SurveyWeBS,155Supplementary visit under the WeBS Core Count SurveyWeBS,42Supplementary visit under the WeBS Core Count SurveyWeBS,88Supplementary visit under the WeBS Core Count SurveyWeBS,120Supplementary visit under the WeBS Core Count SurveyWeBS,78Supplementary visit under the WeBS Core Count SurveyWeBS,110Supplementary roost count under the WeBS Core Count SurveyWeBS,415Supplementary roost count under the WeBS Core Count SurveyWeBS,48Supplementary roost count under the WeBS Core Count SurveyWeBS,Jan,154,154,1,2019-11-22 01:52:25
Swale Estuary,(973),455,432,360,655,327,(398),430,355,315,160,523,758,230,210,35Supplementary visit under the WeBS Core Count SurveyWeBS,50,(280),180,144,Jan,138,138,1,2019-11-22 01:52:25
Hickling Broad,0,0,0,0,0,(0),0,0,0,nan,0,0,nan,0,0,0,0,0,426Norfolk Bird ReportNorfolk and Norwich Naturalists' Society,0,nan,85,85,1,2019-11-22 01:52:25
Dungeness and Rye Bay,320,416,234Supplementary visit under the WeBS Core Count SurveyWeBS,685,545,205Supplementary visit under the WeBS Core Count SurveyWeBS,238,550,151,244,239,388,17,94,130Supplementary visit under the WeBS Core Count SurveyWeBS,69,33Supplementary visit under the WeBS Core Count SurveyWeBS,40Supplementary visit under the WeBS Core Count SurveyWeBS,49,28Supplementary visit under the WeBS Core Count SurveyWeBS,Jan,44,44,1,2019-11-22 01:52:25
