Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Island of Islay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"12,964Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","13,414Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","13,560Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","14,474Supplementary visit under the WeBS Core Count SurveyWeBS","13,281Supplementary visit under the WeBS Core Count SurveyWeBS","12,261Supplementary visit under the WeBS Core Count SurveyWeBS","12,254Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","11,272Supplementary visit under the WeBS Core Count SurveyWeBS","8,177Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","7,456Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","7,902Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","7,980Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","8,590Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","7,262Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","8,027Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust","4,670Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust","5,449SNH countsSNH Islay office","5,995Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust","4,772Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust","5,183SNH countsSNH Kirkwall office","6,141SNH countsSNH Kirkwall office","5,351SNH countsSNH Kirkwall office",Dec,5488,5488,1,2019-11-28 10:57:45
Machrihanish,226.0,nan,nan,453.0,420,400.0,404,nan,716.0,628.0,725.0,nan,nan,nan,nan,nan,nan,nan,"1,629Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts",931Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,"1,579Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","1,322Supplementary visit under the WeBS Core Count SurveyWeBS","1,386Supplementary visit under the WeBS Core Count SurveyWeBS","1,448Supplementary visit under the WeBS Core Count SurveyWeBS","1,501Supplementary visit under the WeBS Core Count SurveyWeBS","1,377Supplementary visit under the WeBS Core Count SurveyWeBS","1,407Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","1,433Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","1,716Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","1,285WWT/JNCC National Grey Goose Censusnull","1,477Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","2,180Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","1,866Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust","1,515Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","1,611SNH countsSNH Islay office",nan,"1,490Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust","1,621SNH countsSNH Kirkwall office","1,721SNH countsSNH Kirkwall office","1,882SNH countsSNH Kirkwall office",Dec,1679,1679,1,2019-11-28 10:57:45
Rhunahaorine,0.0,360,nan,0.0,560,450.0,855,744,771.0,1005.0,1048.0,nan,nan,nan,nan,nan,nan,nan,"1,272Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","1,193Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","1,532Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","1,585Supplementary visit under the WeBS Core Count SurveyWeBS","1,551Supplementary visit under the WeBS Core Count SurveyWeBS","1,594Supplementary visit under the WeBS Core Count SurveyWeBS","1,450Supplementary visit under the WeBS Core Count SurveyWeBS","1,018Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","894Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","955Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","940Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","1,451Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","879Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","1,017Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.",961Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust,"1,035Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust",851Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust,833Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust,785Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust,nan,nan,nan,nan,809,809,1,2019-11-28 10:57:45
Tiree,nan,nan,nan,nan,nan,nan,435,497,0.0,nan,nan,0.0,nan,nan,nan,0,nan,"1,387Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","1,455Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","1,464Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","1,444Supplementary visit under the WeBS Core Count SurveyWeBS","1,347Supplementary visit under the WeBS Core Count SurveyWeBS","1,221Supplementary visit under the WeBS Core Count SurveyWeBS","1,076Supplementary visit under the WeBS Core Count SurveyWeBS","1,093Supplementary visit under the WeBS Core Count SurveyWeBS","1,093Supplementary visit under the WeBS Core Count SurveyWeBS","1,133Greenland Goose counts, e.g. Coll and Tiree Greenland Barnacle countsRSPB","1,112Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","974Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","803Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","979Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.",861SNH countsSNH Islay office,898Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust,948Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,927SNH countsSNH Islay office,nan,748Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust,741SNH countsSNH Kirkwall office,951SNH countsSNH Kirkwall office,597SNH countsSNH Kirkwall office,Dec,759,759,1,2019-11-28 10:57:45
Tayinloan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,585Supplementary visit under the WeBS Core Count SurveyWeBS","1,551Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts","1,594Supplementary visit under the WeBS Core Count SurveyWeBS","1,450Supplementary visit under the WeBS Core Count SurveyWeBS",nan,894Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,955Argyll goose countsSNH,940Greenland Goose counts e.g. Greenland Barnacle counts at South WallsSNH,881WWT/JNCC National Grey Goose Censusnull,"1,060Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",761SNH countsSNH Islay office,878SNH countsSNH Islay office,550Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,419SNH countsSNH Islay office,nan,785SNH countsSNH Kirkwall office,604SNH countsSNH Kirkwall office,739SNH countsSNH Kirkwall office,596SNH countsSNH Kirkwall office,Dec,681,681,1,2019-11-28 10:57:45
Sound of Gigha and Rhunahaorine,0.0,360,nan,0.0,560,450.0,855,744,771.0,1005.0,1048.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,585Supplementary visit under the WeBS Core Count SurveyWeBS","1,551Supplementary visit under the WeBS Core Count SurveyWeBS","1,594Supplementary visit under the WeBS Core Count SurveyWeBS","1,450Supplementary visit under the WeBS Core Count SurveyWeBS","1,156Supplementary visit under the WeBS Core Count SurveyWeBS",nan,nan,nan,nan,330,85,679,(500),(450),471,(350),nan,604,620,Feb,565,565,1,2019-11-28 10:57:45
Heigham Holmes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,350.0,(163),(185),1043,(640),475,740,(415),nan,nan,nan,505European White-fronted Geese supplementary countsNorfolk Bird Report,450European White-fronted Geese supplementary countsNorfolk Bird Report,512European White-fronted Geese supplementary countsNorfolk Bird Report,570European White-fronted Geese supplementary countsNorfolk Bird Report,800European White-fronted Geese supplementary countsNorfolk Bird Report,200European White-fronted Geese supplementary countsNorfolk Bird Report,150European White-fronted Geese supplementary countsNorfolk Bird Report,230European White-fronted Geese supplementary countsNorfolk Bird Report,nan,nan,nan,235,385,827,315,Feb,441,441,1,2019-11-28 10:57:45
Sound of Gigha,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85Supplementary visit under the WeBS Core Count SurveyWeBS,107Supplementary visit under the WeBS Core Count SurveyWeBS,"95Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.",139Islay Greenland White-fronted and Barnacle Goose countsSNH adopted counts,"149Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","105Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","194Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","268Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.",520SNH countsSNH Islay office,679Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust,63Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,147SNH countsSNH Islay office,471,130Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust,86SNH countsSNH Kirkwall office,102SNH countsSNH Kirkwall office,nan,nan,197,197,1,2019-11-28 10:57:45
Loch of Mey,12.0,0,0.0,143.0,0,nan,nan,nan,70.0,170.0,40.0,0.0,nan,210.0,160.0,180,nan,nan,0,nan,80,280Supplementary visit under the WeBS Core Count SurveyWeBS,232Supplementary visit under the WeBS Core Count SurveyWeBS,260Supplementary visit under the WeBS Core Count SurveyWeBS,208Supplementary visit under the WeBS Core Count SurveyWeBS,196Supplementary visit under the WeBS Core Count SurveyWeBS,"193Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","184Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","176Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","146Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","240Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.","170Report of the 2000/2001 National Census of Greenland White-fronted Geese in BritainFox, A.D. and Francis, I. 2002. Greenland White-fronted Goose Study report. Kalo, Denmark. 8 pp.",180Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust,170Greenland White-fronted Goose CountsGreenland White-fronted Goose Study / Wildfowl and Wetlands Trust,113,886Supplementary visit under the WeBS Core Count SurveyWeBS,140Supplementary roost count under the WeBS Core Count SurveyWeBS,140,147,161Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,Mar,295,295,1,2019-11-28 10:57:45
North Norfolk Coast,2.0,1,0.0,0.0,2,8.0,0,38,0.0,3.0,19.0,264.0,35.0,38.0,246.0,316,248,522,491,290,383,343,240,380,347,540,340,404,200,275,226,97,257,422,181,139,129,263,709,216,Mar,291,291,1,2019-11-28 10:57:45
