Site▲▼,78/79▲▼,79/80▲▼,80/81▲▼,81/82▲▼,82/83▲▼,83/84▲▼,84/85▲▼,85/86▲▼,86/87▲▼,87/88▲▼,88/89▲▼,89/90▲▼,90/91▲▼,91/92▲▼,92/93▲▼,93/94▲▼,94/95▲▼,95/96▲▼,96/97▲▼,97/98▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
Ouse Washes,130Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,161Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,186Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,248Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,230Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,330Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,470Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,582Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,603Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,686Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,603,707Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,840Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,946Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,"1,034Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,288Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",1034,"1,299Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,623Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,619Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,732Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","2,710Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","2,745Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","3,624Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","4,317Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","3,624Supplementary roost count under the WeBS Core Count SurveyWeBS","4,397Supplementary roost count under the WeBS Core Count SurveyWeBS","3,960Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","5,201Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","5,615Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","7,171Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","6,164Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","7,271Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","7,155Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","5,412Supplementary roost count under the WeBS Core Count SurveyWeBS","5,372Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","7,139Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","8,016Supplementary roost count under the WeBS Core Count SurveyWeBS","7,663Supplementary roost count under the WeBS Core Count SurveyWeBS","6,321Supplementary roost count under the WeBS Core Count SurveyWeBS",Jan,6902,6902,1,2019-11-27 19:35:19
Loch Eye,285,1000,405,140,95,60,nan,94,294,nan,nan,nan,1115,83,16,0,1,(76),117,52,23,180Supplementary visit under the WeBS Core Count SurveyWeBS,6,216,140,308,275,518,55,399WWT/JNCC National Grey Goose Censusnull,797Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,4,448,"1,600Supplementary roost count under the WeBS Core Count SurveyWeBS","1,330Supplementary roost count under the WeBS Core Count SurveyWeBS",580Supplementary roost count under the WeBS Core Count SurveyWeBS,"2,726Supplementary roost count under the WeBS Core Count SurveyWeBS","1,731Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",645Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,"2,400Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",Oct,1616,1616,1,2019-11-27 19:35:19
Loughs Neagh and Beg,nan,nan,nan,nan,nan,nan,nan,723,825,1104,1192,1088,1110,1182,883,1083,1102,906,1169,1113,830,1010,735,1532,1514,867,1543,1268,1731,1734,1592,1192,1669,1486,1308,1715,1527,1575,1588,1550,Mar,1591,1591,1,2019-11-27 19:35:19
WWT Martin Mere,18Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,46Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,76Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,100Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,127Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,207Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,230Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,330Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,400Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,400Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,467Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,619Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,473,626Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,717Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,626,802Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,950Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,"1,130Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,335Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,530Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,670Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,770Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,762Supplementary visit under the WeBS Core Count SurveyWeBS","1,980Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,666Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,980Svalbard Barnacle Goose on SolwayWWT data","1,650Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,666Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,654Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds",1600,1654,1800,1530,1600,1590,"1,532Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",1600,1200,1133,Feb,1411,1411,1,2019-11-27 19:35:19
Lough Foyle,(0),0,0,0,521,232,1162,0,1030,1288,1960,519,988,596,1166,569,596,1521,671,566,642,657,434,548,3284,680,950Supplementary visit under the WeBS Core Count SurveyWeBS,1030,1042,1129,1240,2033,506,1509,2365,1390,556,702,1147,3168,Oct,1393,1393,1,2019-11-27 19:35:19
Nene Washes,0,0,4Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,1Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,4,4Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,0,4,0Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,3Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,0,10,57,38Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,36Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,38,36,9,44Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,9,111Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,110Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,143Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,111Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,143,215Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,168Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,325Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,462Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,767Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,551Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds,767,551,747,"1,112Supplementary visit under the WeBS Core Count SurveyWeBS","1,322Swan roost countsWildfowl and Wetlands Trust / Royal Society for the Protection of Birds","1,173Supplementary roost count under the WeBS Core Count SurveyWeBS",930Supplementary visit under the WeBS Core Count SurveyWeBS,916Supplementary visit under the WeBS Core Count SurveyWeBS,"1,522Supplementary visit under the WeBS Core Count SurveyWeBS",Jan,1173,1173,1,2019-11-27 19:35:19
Loch of Strathbeg,502,495,388,519,633,382,234,419,406,202,225,264,129,176,140,302,75,(221),158,310,476,262,424,(223),(67),794,355,680,285,92,252,182,1188,895,444,504,622,966,1032,890,Oct,803,803,1,2019-11-27 19:35:19
Loch Leven,100,90,150,81,140,39,0,162,210,199,222,220,180,90,127,(99),96,94,97,98,134,144,144,0,13,19,66,17,220,242,350Supplementary visit under the WeBS Core Count SurveyWeBS,357,224,783Supplementary visit under the WeBS Core Count SurveyWeBS,759Supplementary visit under the WeBS Core Count SurveyWeBS,(804),784,541,193,346,Oct,534,534,1,2019-11-27 19:35:19
Upper Lough Erne,nan,nan,nan,nan,nan,nan,nan,nan,821,669,582,726,896,nan,612,721,756,980,1094,892,989,985,1010,"1,228Supplementary visit under the WeBS Core Count SurveyWeBS",658,855,1123,822,956,680,636,643,793,748,573,487,410,744,442,482,Feb,513,513,1,2019-11-27 19:35:19
Ribble Estuary,11,4,23,21,41,110,87,429,146,157,45,272,338,23,22,178,555,(19),104,59,41,(66),(518),(152),227,(286),375,608,284,264,137,203,(192),180,(616),500,390,(232),(198),(237),Feb,445,445,1,2019-11-27 19:35:19
