Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼,WebPageNo,RoughTimeAccessed
River Derwent - Calver to Froggatt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,5,9,0.0,0,0,0.0,nan,2,2,1,2019-11-24 19:15:14
Harrow Lodge Park,nan,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,(0),(0),(0),0.0,0,1,2.0,Aug,1,1,1,2019-11-24 19:15:14
Hensol Lake,0,0,0,0.0,0.0,0.0,(0),0,0,0,0,0,0,0,0,0,0.0,0,0,4.0,Mar,1,1,1,2019-11-24 19:15:14
Little Bookham Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,2,2.0,0,0,0.0,nan,1,1,1,2019-11-24 19:15:14
"River Aire, Binglay",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,1.0,1,0,0.0,nan,1,1,1,2019-11-24 19:15:14
Royal George Mill Reservoir,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4.0,2,0,0.0,nan,1,1,1,2019-11-24 19:15:14
South Norwood Lake,0,0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0,nan,nan,nan,1,1,1,2019-11-24 19:15:14
Valentines Park,0,0,0,0.0,0.0,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1,1,0.0,nan,1,1,1,2019-11-24 19:15:14
WWT Washington,0,0,0,0.0,0.0,0.0,0,0,0,0,(0),0,0,0,0,2,2.0,1,0,0.0,nan,1,1,1,2019-11-24 19:15:14
Abberton Reservoir,0,0,0,0.0,0.0,0.0,0,0,(0),0,0,0,0,0,0,0,0.0,0,1,0.0,nan,0,0,1,2019-11-24 19:15:14
Aldenham Reservoir,0,0,0,0.0,nan,0.0,0,0,0,0,0,0,nan,0,1,(0),nan,nan,nan,nan,nan,0,0,1,2019-11-24 19:15:14
Alexandra Park (Hastings),0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,(0),0,0.0,0,nan,nan,nan,0,0,1,2019-11-24 19:15:14
Allestree Park Lakes,0,nan,nan,nan,0.0,1.0,0,0,0,nan,nan,nan,0,0,0,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Alton Water,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Arun Valley,0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Attenborough Gravel Pits,(0),1,0,0.0,nan,0.0,0,0,0,0,(0),(0),(0),(0),(0),0,0.0,0,0,nan,nan,0,0,1,2019-11-24 19:15:14
"Backwell Lake, Nailsea (Bucklands Pond)",0,0,0,1.0,1.0,0.0,0,0,0,0,0,2,1,1,1,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Barcombe Mills Reservoir,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1.0,Jan,0,0,1,2019-11-24 19:15:14
Barton Pits and Catholme,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,(0),0,0,0,0.0,nan,nan,nan,nan,0,0,1,2019-11-24 19:15:14
Bawsey Country Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,1.0,0,0,nan,nan,0,0,1,2019-11-24 19:15:14
Belfast Lough,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Besthorpe and Girton Gravel Pits and Fleet,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0.0,(0),nan,0.0,nan,0,0,1,2019-11-24 19:15:14
Bewl Water,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,(0),0.0,nan,0,0,1,2019-11-24 19:15:14
Bittell Reservoirs,0,0,0,0.0,0.0,0.0,0,(0),0,0,0,0,0,0,0,1,0.0,(0),1,0.0,nan,1,1,1,2019-11-24 19:15:14
Bowood Lake,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Bramshill Park Lake,1,1,(0),0.0,0.0,0.0,(0),(0),0,(0),0,0,0,0,0,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Brent Reservoir,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Burry Inlet,0,(0),0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Burton and Chingford Ponds,0,0,0,0.0,0.0,0.0,0,0,2,0,1,0,0,1,0,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Butterley Reservoir,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,nan,0,0,1,2019-11-24 19:15:14
Camel Estuary,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Castle Park Lochan,0,0,0,0,0,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Chard Reservoir,0,0,nan,nan,(0),0,nan,0,0,0,0,0,0.0,0,0,1,1,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Clarendon Lake,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Cleddau Estuary,0,0,0,0,0,0,0,0,(0),0,1,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Connaught Water (Epping Forest),0,0,0,0,0,0,0,0,0,0,1,3,2.0,2,1,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Corsham Lake,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Cotswold Water Park,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Cotswold Water Park (East),0,0,(0),0,(0),(0),1,(0),(0),(0),(0),(0),0.0,1,(0),(0),(0),nan,nan,nan,nan,0,0,2,2019-11-24 19:15:25
Crystal Palace Park,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Cuttmill Ponds,1,0,0,0,(0),0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Dane Valley - Holmes Chapel to Swettenham,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0.0,1,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Dart Estuary,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Darwell Reservoir,0,0,0,0,0,0,1,0,0,0,0,nan,0.0,0,0,0,(0),0,nan,(0),nan,0,0,2,2019-11-24 19:15:25
Deeping St James,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Ditchford Gravel Pits,(0),0,0,0,nan,0,0,0,1,0,0,0,0.0,0,0,0,0,0,1,1,Nov,0,0,2,2019-11-24 19:15:25
Drew's Pond,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Eversley Cross and Yateley Gravel Pits,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,(0),(0),(0),nan,0,0,2,2019-11-24 19:15:25
Fir Tree Flash,0,0,0,0,0,0,(0),0,0,0,0,0,0.0,0,0,0,0,0,0,(0),nan,0,0,2,2019-11-24 19:15:25
Firs Park,0,0,0,0,0,0,(0),0,0,0,0,0,0.0,(0),(0),0,0,(0),0,(0),nan,0,0,2,2019-11-24 19:15:25
Fleet Pond,0,0,0,nan,0,0,0,0,0,0,0,0,0.0,0,0,(0),0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Fog Lane Park Pools,nan,nan,nan,nan,nan,nan,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,2,2019-11-24 19:15:25
Frenchess Road Pond Redhill,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Haddo House Lakes,0,nan,nan,(0),0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0,0,2,2019-11-24 19:15:25
Harewood Lake,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Hartleton Water,0,0,0,0,0,0,0,0,nan,1,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Hay-a-Park Gravel Pits,nan,0,0,0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Hetton Lyons Park,0,(0),0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Hill Ridware Lake,1,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0,0,2,2019-11-24 19:15:25
Hope Carr Reserve,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,2,2019-11-24 19:15:25
Inner Moray and Beauly Firths,0,0,0,0,0,0,0,0.0,0,0.0,(0),0,0.0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-24 19:15:36
Kings Pond Alton,nan,nan,1,1,1,0,0,0.0,0,0.0,0,0,nan,0,0,0,0,0,0,0,nan,0,0,3,2019-11-24 19:15:36
Knepp Millpond,0,0,(0),0,(0),(0),1,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-24 19:15:36
Lackford Lakes Nature Reserve,nan,nan,nan,0,0,(0),1,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-24 19:15:36
Langold Lake,0,0,0,0,nan,nan,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-24 19:15:36
Leathes Ham,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1Supplementary visit under the WeBS Core Count SurveyWeBS,1.0,1,0,0,0,0,nan,nan,nan,0,0,3,2019-11-24 19:15:36
Leazes Park Lake (Newcastle),nan,nan,nan,nan,1,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-24 19:15:36
Lee Valley Gravel Pits,0,(0),0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-24 19:15:36
Linlithgow Loch,0,(0),0,0,0,0,0,0.0,0,0.0,0,0,0.0,1,0,0,0,0,0,0,nan,0,0,3,2019-11-24 19:15:36
Little Paxton Gravel Pits,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,nan,0,0,3,2019-11-24 19:15:36
