Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,36,74,150,101,152,nan,Oct,103,103,nan
Teal,nan,41,45,20,93,52,nan,Feb,50,50,nan
Canada Goose,nan,5,13,2,100,12,nan,Feb,26,26,nan
Wigeon,nan,34,15,9,27,20,nan,Nov,21,21,nan
Mute Swan,nan,13,14,13,19,6,nan,Nov,13,13,nan
Greylag Goose (Icelandic),nan,20,12,23,9,1,nan,Mar,13,13,nan
Greylag Goose,nan,20,12,23,9,1,nan,Mar,13,13,nan
Goldeneye,nan,9,14,4,2,0,nan,nan,6,6,nan
Goosander,nan,15,7,0,4,2,nan,Feb,6,6,nan
Gadwall,nan,4,8,4,0,0,nan,nan,3,3,nan
Tufted Duck,nan,0,1,3,2,0,nan,nan,1,1,nan
Whooper Swan,nan,2,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,1,0,nan,nan,0,0,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
Domestic Mallard,nan,0,0,0,0,0,nan,nan,0,0,nan
Muscovy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Hybrid goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Pink-footed Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Domestic Greylag Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
