Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,12Supplementary visit under the WeBS Core Count SurveyWeBS,nan,20,20Supplementary visit under the WeBS Core Count SurveyWeBS,34Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Dec,22,22,nan
Canada Goose,nan,nan,nan,2,17,2,nan,May,7,7,nan
Mute Swan,nan,nan,nan,3Supplementary visit under the WeBS Core Count SurveyWeBS,7Supplementary visit under the WeBS Core Count SurveyWeBS,8,nan,Jun,6,6,nan
Goosander,nan,10Supplementary visit under the WeBS Core Count SurveyWeBS,nan,1,0,5Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Dec,4,4,nan
Domestic Greylag Goose,nan,6Supplementary visit under the WeBS Core Count SurveyWeBS,nan,0,4Supplementary visit under the WeBS Core Count SurveyWeBS,0,nan,nan,3,3,nan
Domestic Mallard,nan,nan,nan,0,2,2Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Dec,1,1,nan
Tufted Duck,nan,nan,nan,0,3,0,nan,nan,1,1,nan
Greylag Goose (British/Irish),nan,2Supplementary visit under the WeBS Core Count SurveyWeBS,nan,0,0,2Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Dec,1,1,nan
Greylag Goose,nan,2Supplementary visit under the WeBS Core Count SurveyWeBS,nan,0,0,2Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Dec,1,1,nan
Pochard,nan,nan,nan,1,0,1Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Dec,1,1,nan
Teal,nan,nan,nan,0,0,1Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Dec,0,0,nan
Wigeon,nan,nan,nan,0,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Oct,0,0,nan
Gadwall,nan,nan,nan,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
