Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Teal,nan,42,21,19,11,11,nan,Nov,21,21,nan
Tufted Duck,nan,2,1,1,85,0,nan,nan,18,18,nan
Mallard,nan,25,8,5,7,0,nan,nan,9,9,nan
Goldeneye,nan,4,2,2,5,2,nan,Jan,3,3,nan
Mute Swan,nan,6,2,0,0,0,nan,nan,2,2,nan
Wigeon,nan,0,4,0,0,0,nan,nan,1,1,nan
Domestic Mallard,nan,0,0,1,1,0,nan,nan,0,0,nan
Canada Goose,nan,0,0,0,2,0,nan,nan,0,0,nan
Greylag Goose (Icelandic),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
