Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Red-breasted Merganser,nan,0,0,0,0,0,nan,nan,0,0,nan
Mallard,nan,0,0,0,0,0,nan,nan,0,0,nan
Tundra Bean Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Taiga Bean Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Taiga/Tundra Bean Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (Icelandic),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
