Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Canada Goose,nan,nan,520,560,650,460,nan,Jan,548,548,nan
Mallard,nan,nan,215,300,280,175,nan,Feb,243,243,nan
Mute Swan,nan,nan,76,62,76,81,nan,May,74,74,nan
Tufted Duck,nan,nan,112,85,45,45,nan,Feb,72,72,nan
Shoveler,nan,nan,20,18,8,6,nan,Mar,13,13,nan
Mandarin Duck,nan,nan,3,3,0,0,nan,nan,2,2,nan
Shelduck,nan,nan,4,0,0,2,nan,Mar,2,2,nan
Pink-footed Goose,nan,nan,3,3,0,0,nan,nan,2,2,nan
Snow Goose,nan,nan,2,0,0,0,nan,nan,1,1,nan
Pintail,nan,nan,1,0,0,0,nan,nan,0,0,nan
Wigeon,nan,nan,1,0,0,0,nan,nan,0,0,nan
Egyptian Goose,nan,nan,1,0,0,0,nan,nan,0,0,nan
Whooper Swan,nan,nan,0,0,1,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,nan,0,0,1,0,nan,nan,0,0,nan
Greylag Goose,nan,nan,0,0,1,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
