Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,59,60,64,67,64,nan,Sep,63,63,nan
Canada Goose,nan,2,4,2,2,0,nan,nan,2,2,nan
Tufted Duck,nan,0,2,0,3,4,nan,Sep,2,2,nan
Mute Swan,nan,2,2,2,2,0,nan,nan,2,2,nan
Goosander,nan,0,4,0,2,0,nan,nan,1,1,nan
Greylag Goose (British/Irish),nan,2,2,0,0,0,nan,nan,1,1,nan
Greylag Goose,nan,2,2,0,0,0,nan,nan,1,1,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Goldeneye,nan,0,0,0,0,0,nan,nan,0,0,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Wigeon,nan,0,0,0,0,0,nan,nan,0,0,nan
Gadwall,nan,0,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
Mandarin Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Unidentified goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Hybrid goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Domestic Greylag Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Ross's Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
