Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Teal,nan,12,8,17,13,18,nan,Mar,14,14,nan
Mallard,nan,0,20,16,12,18,nan,Jul,13,13,nan
Mandarin Duck,nan,0,6,17,16,14,nan,Jan,11,11,nan
Tufted Duck,nan,0,2,0,0,6,nan,May,2,2,nan
Shelduck,nan,0,0,2,0,2,nan,Mar,1,1,nan
Greylag Goose (British/Irish),nan,0,0,0,0,4,nan,Apr,1,1,nan
Greylag Goose,nan,0,0,0,0,4,nan,Apr,1,1,nan
Goosander,nan,1,0,2,0,0,nan,nan,1,1,nan
Canada Goose,nan,0,1,2,0,0,nan,nan,1,1,nan
Gadwall,nan,0,1,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
