Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,50Supplementary visit under the WeBS Core Count SurveyWeBS,55,38,57,24,nan,Jan,45,45,nan
Canada Goose,nan,1,28,9,68Supplementary visit under the WeBS Core Count SurveyWeBS,2,nan,Mar,22,22,nan
Greylag Goose (British/Irish),nan,9,6,14,17,14,nan,Apr,12,12,nan
Greylag Goose,nan,9,6,14,17,14,nan,Apr,12,12,nan
Teal,nan,14Supplementary visit under the WeBS Core Count SurveyWeBS,6,2,7,2,nan,Feb,6,6,nan
Domestic Mallard,nan,1,1,1,3,18,nan,Nov,5,5,nan
Goosander,nan,3Supplementary visit under the WeBS Core Count SurveyWeBS,1,3,3,2,nan,Dec,2,2,nan
Domestic Greylag Goose,nan,2,1,1,1,4Supplementary visit under the WeBS Core Count SurveyWeBS,nan,Dec,2,2,nan
Mute Swan,nan,0,0,0,2,2,nan,Sep,1,1,nan
Wigeon,nan,1,2Supplementary visit under the WeBS Core Count SurveyWeBS,0,0,0,nan,nan,1,1,nan
Tufted Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
Gadwall,nan,0,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
