Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Teal,nan,56,24,4,4,6,nan,Nov,19,19,nan
Gadwall,nan,30,12,4,0,6,nan,Apr,10,10,nan
Mallard,nan,20,8,8,0,8,nan,Apr,9,9,nan
Mute Swan,nan,3,2,2,7,7,nan,May,4,4,nan
Canada Goose,nan,7,0,0,2,2,nan,May,2,2,nan
Tufted Duck,nan,0,4,2,0,4,nan,Apr,2,2,nan
Shelduck,nan,0,3,0,0,0,nan,nan,1,1,nan
Goosander,nan,0,0,0,0,0,nan,nan,0,0,nan
Goldeneye,nan,0,0,0,0,0,nan,nan,0,0,nan
Pintail,nan,0,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
