Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Wigeon,nan,5130,6481,4299,"(5,973)",5324,nan,Jan,5441,5441,nan
Teal,nan,2641,4473,3749,3981,3115,nan,Jan,3592,3592,nan
Shelduck,nan,863,931,922,1123,1123,nan,Feb,992,992,nan
Canada Goose,nan,(853),539,847,(780),"(1,100)",nan,Feb,824,824,nan
Greylag Goose (British/Irish),nan,722,373,765,727,621,nan,Jan,642,642,nan
Greylag Goose,nan,722,373,765,727,621,nan,Jan,642,642,nan
Mallard,nan,321,642,729,704,697,nan,Dec,619,619,nan
Brent Goose,nan,686,455,263,314,249,nan,Mar,393,393,nan
Brent Goose (Dark-bellied - bernicla),nan,685,455,253,314,249,nan,Mar,391,391,nan
Shoveler,nan,274,299,439,359,400,nan,Jan,354,354,nan
Pintail,nan,114,341,171,201,230,nan,Jan,211,211,nan
Mute Swan,nan,166,196,179,201,212,nan,Jan,191,191,nan
Gadwall,nan,143,209,219,156,208,nan,Jan,187,187,nan
Tufted Duck,nan,49,76,77,(71),(98),nan,Mar,74,74,nan
White-fronted Goose (European - albifrons),nan,75,0,0,77,20,nan,Feb,34,34,nan
White-fronted Goose,nan,75,0,0,77,20,nan,Feb,34,34,nan
Pochard,nan,24,30,31,(36),(49),nan,Mar,34,34,nan
Goldeneye,nan,6,7,6,8,17,nan,Jan,9,9,nan
Egyptian Goose,nan,4,5,16,9,6,nan,Nov,8,8,nan
Barnacle Goose (naturalised),nan,2,10,14,7,7,nan,Jan,8,8,nan
Barnacle Goose,nan,2,10,14,7,7,nan,Jan,8,8,nan
Pink-footed Goose,nan,0,0,5,0,9,nan,Oct,3,3,nan
Brent Goose (Svalbard Light-bellied),nan,1,1,10,0,0,nan,nan,2,2,nan
Brent Goose (Light-bellied - hrota),nan,1,1,10,0,0,nan,nan,2,2,nan
Bewick's Swan,nan,0,4,2,2,0,nan,nan,2,2,nan
Black Swan,nan,0,0,1,2,2,nan,Oct,1,1,nan
Tundra Bean Goose,nan,0,0,0,5,0,nan,nan,1,1,nan
Taiga/Tundra Bean Goose,nan,0,0,0,5,0,nan,nan,1,1,nan
Red-breasted Merganser,nan,1,0,1,0,2,nan,Oct,1,1,nan
Scaup,nan,2,0,0,1,0,nan,nan,1,1,nan
END,END,END,END,END,END,END,END,END,END
