Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Tufted Duck,nan,30,20,33,56,31,nan,Dec,34,34,nan
Canada Goose,nan,23,5,32,10,15,nan,Dec,17,17,nan
Mallard,nan,14,12,8,13,25,nan,Dec,14,14,nan
Pochard,nan,7,2,0,1,1,nan,Jan,2,2,nan
Mute Swan,nan,2,1,2,4,2,nan,Sep,2,2,nan
Teal,nan,0,2,0,0,0,nan,nan,0,0,nan
Wigeon,nan,0,0,0,2,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,1,0,0,0,1,nan,Sep,0,0,nan
Greylag Goose,nan,1,0,0,0,1,nan,Sep,0,0,nan
Scaup,nan,1,0,0,0,0,nan,nan,0,0,nan
Gadwall,nan,0,0,0,1,0,nan,nan,0,0,nan
Goosander,nan,0,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose (European - albifrons),nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose (Greenland - flavirostris),nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Bar-headed Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied of Nearctic origin),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Svalbard Light-bellied),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied - hrota),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
