Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Tufted Duck,nan,58,85,45,60,58,nan,Apr,61,61,nan
Mallard,nan,44,55,45,41,39,nan,Oct,45,45,nan
Canada Goose,nan,32,32,34,29,32,nan,Jun,32,32,nan
Pochard,nan,20,15,15,8,7,nan,Sep,13,13,nan
Shoveler,nan,0,5,17,6,3,nan,Dec,6,6,nan
Domestic Mallard,nan,0,0,1,3,6,nan,Jul,2,2,nan
Hybrid duck,nan,0,0,0,2,1,nan,Oct,1,1,nan
Mute Swan,nan,1,0,2,0,0,nan,nan,1,1,nan
Aythya hybrid,nan,0,0,0,1,1,nan,Jul,0,0,nan
Teal,nan,1,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,1,0,0,0,0,nan,nan,0,0,nan
Greylag Goose,nan,1,0,0,0,0,nan,nan,0,0,nan
Gadwall,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
