Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Pink-footed Goose,nan,3760,1590,800,"(1,580)",1180,nan,Feb,1833,1833,nan
Teal,nan,250,254,259,195,94,nan,Jan,210,210,nan
Greylag Goose (Icelandic),nan,290,370,107,(195),0,nan,nan,192,192,nan
Greylag Goose,nan,290,370,107,(195),0,nan,nan,192,192,nan
Mallard,nan,123,214,205,79,56,nan,Jan,135,135,nan
Wigeon,nan,46,72,213,(75),85,nan,Feb,104,104,nan
Mute Swan,nan,10,6,10,16,7,nan,Dec,10,10,nan
Canada Goose,nan,32,7,5,0,0,nan,nan,9,9,nan
Goosander,nan,9,11,1,3,5,nan,Dec,6,6,nan
Whooper Swan,nan,1,0,4,0,3,nan,Mar,2,2,nan
Barnacle Goose (Svalbard),nan,6,0,1,0,0,nan,nan,1,1,nan
Barnacle Goose,nan,6,0,1,0,0,nan,nan,1,1,nan
Goldeneye,nan,2,1,0,0,0,nan,nan,1,1,nan
Red-breasted Merganser,nan,1,0,0,0,0,nan,nan,0,0,nan
Egyptian Goose,nan,0,1,0,0,0,nan,nan,0,0,nan
White-fronted Goose (European - albifrons),nan,0,0,0,1,0,nan,nan,0,0,nan
White-fronted Goose,nan,0,0,0,1,0,nan,nan,0,0,nan
Tufted Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Black Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
White-fronted Goose (Greenland - flavirostris),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
