Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Gadwall,nan,244,27,70,130,104,nan,Jan,115,115,nan
Canada Goose,nan,104,80,138,115,138,nan,Jul,115,115,nan
Tufted Duck,nan,161,112,77,55,110,nan,Feb,103,103,nan
Wigeon,nan,207,80,138,65,13,nan,Jan,101,101,nan
Mallard,nan,32,18,57,46,56,nan,Sep,42,42,nan
Mute Swan,nan,35,18,63,51,12,nan,Feb,36,36,nan
Teal,nan,48,13,30,37,18,nan,Nov,29,29,nan
Shoveler,nan,27,3,7,41,7,nan,Jan,17,17,nan
Greylag Goose (British/Irish),nan,13,3,2,2,34,nan,Aug,11,11,nan
Greylag Goose,nan,13,3,2,2,34,nan,Aug,11,11,nan
Pochard,nan,6,1,19,6,1,nan,Jan,7,7,nan
Shelduck,nan,3,2,2,2,0,nan,nan,2,2,nan
Goldeneye,nan,0,0,3,1,4,nan,Nov,2,2,nan
Goosander,nan,2,3,0,0,1,nan,Jan,1,1,nan
Egyptian Goose,nan,0,0,0,0,1,nan,May,0,0,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Smew,nan,0,0,0,0,0,nan,nan,0,0,nan
Scaup,nan,0,0,0,0,0,nan,nan,0,0,nan
Garganey,nan,0,0,0,0,0,nan,nan,0,0,nan
Pink-footed Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Bar-headed Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
