Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Mallard,nan,102,49,56,60,70,nan,Oct,67,67,nan
Canada Goose,nan,24,18,10,20,37,nan,Dec,22,22,nan
Tufted Duck,nan,12,11,22,32,30,nan,Feb,21,21,nan
Mandarin Duck,nan,10,7,13,4,8,nan,Oct,8,8,nan
Domestic Greylag Goose,nan,6,5,4,5,3,nan,Sep,5,5,nan
Goosander,nan,8,3,4,0,6,nan,Feb,4,4,nan
Greylag Goose (British/Irish),nan,0,0,4,8,2,nan,Mar,3,3,nan
Greylag Goose,nan,0,0,4,8,2,nan,Mar,3,3,nan
Domestic Mallard,nan,1,2,2,2,3,nan,Dec,2,2,nan
Wigeon,nan,0,0,2,3,3,nan,Mar,2,2,nan
Teal,nan,0,0,0,3,2,nan,Dec,1,1,nan
Mute Swan,nan,1,0,0,2,1,nan,Sep,1,1,nan
Gadwall,nan,0,0,2,1,0,nan,nan,1,1,nan
Shoveler,nan,0,0,0,0,2,nan,Oct,0,0,nan
Goldeneye,nan,0,0,0,0,1,nan,Nov,0,0,nan
Pochard,nan,0,0,0,1,0,nan,nan,0,0,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Wood Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Muscovy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Hybrid goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Pink-footed Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
