Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Greylag Goose (British/Irish),nan,77Supplementary roost count under the WeBS Core Count SurveyWeBS,93Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,75Supplementary roost count under the WeBS Core Count SurveyWeBS,125Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Oct,93.0,93.0,nan
Greylag Goose,nan,77Supplementary roost count under the WeBS Core Count SurveyWeBS,93Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,75Supplementary roost count under the WeBS Core Count SurveyWeBS,125Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Oct,93.0,93.0,nan
Tufted Duck,nan,nan,nan,40Supplementary roost count under the WeBS Core Count SurveyWeBS,40Supplementary roost count under the WeBS Core Count SurveyWeBS,45Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Jan,42.0,42.0,nan
Canada Goose,nan,nan,nan,nan,40Supplementary roost count under the WeBS Core Count SurveyWeBS,34Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Feb,37.0,37.0,nan
Shoveler,nan,nan,nan,8Supplementary roost count under the WeBS Core Count SurveyWeBS,12Supplementary roost count under the WeBS Core Count SurveyWeBS,12Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Dec,11.0,11.0,nan
Pochard,nan,nan,nan,7Supplementary roost count under the WeBS Core Count SurveyWeBS,3Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,nan,nan,5.0,5.0,nan
Wigeon,nan,nan,nan,4Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,nan,nan,nan,4.0,4.0,nan
Mandarin Duck,nan,nan,nan,nan,nan,2Supplementary roost count under the WeBS Core Count SurveyWeBS,nan,Oct,2.0,2.0,nan
Ruddy Duck,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Goosander,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Smew,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ferruginous Duck,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Teal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pintail,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mallard,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gadwall,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ringed Teal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Shelduck,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Whooper Swan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mute Swan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
White-fronted Goose (European - albifrons),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
White-fronted Goose,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brent Goose (Dark-bellied - bernicla),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Brent Goose,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
END,END,END,END,END,END,END,END,END,END
