Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Wigeon,nan,380,24,(175),5,384,nan,Dec,198,198,nan
Eider (except Shetland),nan,71,74,51,56,52,nan,Mar,61,61,nan
Eider,nan,71,74,51,56,52,nan,Mar,61,61,nan
Mallard,nan,(17),10,51,27,48,nan,Dec,34,34,nan
Teal,nan,2,(2),9,(70),(0),nan,nan,27,27,nan
Common Scoter,nan,7,(0),0,(0),(50),nan,Aug,19,19,nan
Shelduck,nan,26,21,16,8,9,nan,Feb,16,16,nan
Red-breasted Merganser,nan,4,(6),5,8,(12),nan,Aug,7,7,nan
Whooper Swan,nan,0,(0),10,(0),(0),nan,nan,5,5,nan
Goldeneye,nan,0,(0),6,(0),(0),nan,nan,3,3,nan
Brent Goose,nan,2,2,3,(5),(0),nan,nan,3,3,nan
Barnacle Goose (Svalbard),nan,5,(0),0,(0),(0),nan,nan,3,3,nan
Barnacle Goose,nan,5,(0),0,(0),(0),nan,nan,3,3,nan
Brent Goose (Dark-bellied - bernicla),nan,2,(0),3,(0),(0),nan,nan,3,3,nan
Mute Swan,nan,0,(0),4,(0),(0),nan,nan,2,2,nan
Brent Goose (Svalbard Light-bellied),nan,0,2,1,(5),(0),nan,nan,2,2,nan
Brent Goose (Light-bellied - hrota),nan,0,2,1,(5),(0),nan,nan,2,2,nan
Goosander,nan,0,(0),0,(0),3,nan,Apr,1,1,nan
Long-tailed Duck,nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Velvet Scoter,nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Scaup,nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Tufted Duck,nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Pintail,nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Shoveler,nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Greylag Goose,nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Canada Goose,nan,0,(0),0,(0),(0),nan,nan,0,0,nan
Brent Goose (Light-bellied of Nearctic origin),nan,0,(0),0,(0),(0),nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
