Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Wigeon,nan,411,510,472,642,701,nan,Jan,547,547,nan
Teal,nan,288,371,249,508,325,nan,Dec,348,348,nan
Canada Goose,nan,18,266,256,455,313,nan,Sep,262,262,nan
Mallard,nan,118,153,98,199,154,nan,Jan,144,144,nan
Eider (except Shetland),nan,24,174,44,17,128,nan,Sep,77,77,nan
Eider,nan,24,174,44,17,128,nan,Sep,77,77,nan
Pink-footed Goose,nan,0,85,95,92,43,nan,Oct,63,63,nan
Common Scoter,nan,23,25,86,26,36,nan,Dec,39,39,nan
Shelduck,nan,36,36,33,42,46,nan,May,39,39,nan
Whooper Swan,nan,21,5,40,80,17,nan,Feb,33,33,nan
Mute Swan,nan,29,7,13,22,35,nan,Jun,21,21,nan
Goldeneye,nan,8,6,8,4,4,nan,Mar,6,6,nan
Red-breasted Merganser,nan,5,8,6,5,2,nan,Jan,5,5,nan
Greylag Goose (British/Irish),nan,2,6,3,6,8,nan,Sep,5,5,nan
Greylag Goose,nan,2,6,3,6,8,nan,Sep,5,5,nan
Goosander,nan,5,5,4,3,7,nan,Sep,5,5,nan
Tufted Duck,nan,3,2,6,4,6,nan,Mar,4,4,nan
Barnacle Goose (Svalbard),nan,0,0,1,4,1,nan,Jul,1,1,nan
Barnacle Goose,nan,0,0,1,4,1,nan,Jul,1,1,nan
Gadwall,nan,0,0,2,3,0,nan,nan,1,1,nan
Domestic Greylag Goose,nan,1,1,1,1,1,nan,Jul,1,1,nan
Shoveler,nan,0,0,2,0,1,nan,Apr,1,1,nan
Brent Goose,nan,0,1,0,1,0,nan,nan,0,0,nan
Velvet Scoter,nan,1,0,0,0,0,nan,nan,0,0,nan
South African Shelduck,nan,0,0,0,0,1,nan,Sep,0,0,nan
Brent Goose (Svalbard Light-bellied),nan,0,0,0,1,0,nan,nan,0,0,nan
Brent Goose (Light-bellied - hrota),nan,0,0,0,1,0,nan,nan,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,0,1,0,0,0,nan,nan,0,0,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Long-tailed Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
