Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Teal,nan,205,(128),136,236,204,nan,Nov,195,195,nan
Gadwall,nan,69,260Supplementary visit under the WeBS Core Count SurveyWeBS,46,150,92,nan,Sep,123,123,nan
Mallard,nan,153,(182),51,29,192,nan,Nov,121,121,nan
Mute Swan,nan,27,47,31,20,29,nan,Mar,31,31,nan
Tufted Duck,nan,11,19,19,33,21,nan,Dec,21,21,nan
Shoveler,nan,21,13,11,11,20,nan,Jan,15,15,nan
Shelduck,nan,4,10,10,4,4,nan,Dec,6,6,nan
Canada Goose,nan,10,2,2,5,(11),nan,Feb,6,6,nan
Pochard,nan,2,0,1,2,3,nan,Jan,2,2,nan
Pintail,nan,2,2,0,0,0,nan,nan,1,1,nan
Wigeon,nan,0,1,0,2,1,nan,Oct,1,1,nan
Goosander,nan,0,0,0,0,1,nan,Jan,0,0,nan
Domestic Mallard,nan,1,0,0,0,0,nan,nan,0,0,nan
Ruddy Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Smew,nan,0,0,0,0,0,nan,nan,0,0,nan
Goldeneye,nan,0,0,0,0,0,nan,nan,0,0,nan
Garganey,nan,0,0,0,0,0,nan,nan,0,0,nan
Black Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Bar-headed Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied of Nearctic origin),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Svalbard Light-bellied),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Light-bellied - hrota),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
