Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Pink-footed Goose,nan,"18,051Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","16,710Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","19,109Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","23,893Icelandic-breeding Goose CensusWildfowl and Wetlands Trust","11,500Icelandic-breeding Goose CensusWildfowl and Wetlands Trust",nan,Oct,17853,17853,nan
Common Scoter,nan,15000,9000,15000,11000,13000,nan,Sep,12600,12600,nan
Teal,nan,302,585,1015,320,1028,nan,Dec,650,650,nan
Mallard,nan,494,549,(265),(339),(233),nan,Jan,522,522,nan
Shelduck,nan,373,(368),(445),425,336,nan,Dec,395,395,nan
Canada Goose,nan,361,250,184,301,190,nan,Jun,257,257,nan
Tufted Duck,nan,105,72,70,92,77,nan,Sep,83,83,nan
Goldeneye,nan,58,38,28,32,42,nan,Feb,40,40,nan
Pochard,nan,18,54,23,13,17,nan,Jan,25,25,nan
Red-breasted Merganser,nan,5,51,7,7,25,nan,Dec,19,19,nan
Mute Swan,nan,(20),(15),9,18,13,nan,Jun,15,15,nan
Shoveler,nan,5,3,18,32,16,nan,Apr,15,15,nan
Whooper Swan,nan,0,2,0,22,(0),nan,nan,6,6,nan
Eider (except Shetland),nan,5,5,4,9,3,nan,Mar,5,5,nan
Eider,nan,5,5,4,9,3,nan,Mar,5,5,nan
Wigeon,nan,2,4,3,15,1,nan,Dec,5,5,nan
Scaup,nan,1,1,5,5,5,nan,Mar,3,3,nan
Gadwall,nan,3,4,3,1,2,nan,Jun,3,3,nan
Velvet Scoter,nan,0,1Supplementary visit under the WeBS Core Count SurveyWeBS,0,1,5,nan,Feb,1,1,nan
Greylag Goose (British/Irish),nan,1,1,1,2,2,nan,Jul,1,1,nan
Greylag Goose,nan,1,1,1,2,2,nan,Jul,1,1,nan
Pintail,nan,0,0,5,0,(0),nan,nan,1,1,nan
Barnacle Goose (naturalised),nan,nan,nan,nan,1Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,1,1,nan
Barnacle Goose,nan,nan,nan,nan,1Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,nan,nan,nan,1,1,nan
Long-tailed Duck,nan,0,1,0,0,(0),nan,nan,0,0,nan
Goosander,nan,0,0,0,0,1,nan,Nov,0,0,nan
Garganey,nan,1,0,0,0,0,nan,nan,0,0,nan
Ruddy Shelduck,nan,0,0,0,0,1,nan,Feb,0,0,nan
Ruddy Duck,nan,0,0,0,0,(0),nan,nan,0,0,nan
Smew,nan,0,0,0,0,(0),nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
