Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Tufted Duck,nan,nan,nan,nan,107.0,162,nan,Jan,135,135,nan
Canada Goose,nan,nan,nan,nan,101.0,136,nan,Oct,119,119,nan
Mallard,nan,nan,nan,nan,95.0,120,nan,Oct,108,108,nan
Mute Swan,nan,nan,nan,nan,48.0,145,nan,Oct,97,97,nan
Gadwall,nan,nan,nan,nan,41.0,54,nan,Oct,48,48,nan
Wigeon,nan,nan,nan,nan,40.0,35,nan,Oct,38,38,nan
Teal,nan,nan,nan,nan,32.0,31,nan,Oct,32,32,nan
Shoveler,nan,nan,nan,nan,0.0,28,nan,Oct,14,14,nan
Greylag Goose (British/Irish),nan,nan,nan,nan,3.0,20,nan,Jan,12,12,nan
Greylag Goose,nan,nan,nan,nan,3.0,20,nan,Jan,12,12,nan
Goosander,nan,nan,nan,nan,15.0,6,nan,Feb,11,11,nan
Pochard,nan,nan,nan,nan,6.0,9,nan,Jan,8,8,nan
Shelduck,nan,nan,nan,nan,9.0,1,nan,Feb,5,5,nan
Pintail,nan,nan,nan,nan,0.0,3,nan,Mar,2,2,nan
Garganey,nan,nan,nan,nan,nan,1,nan,Apr,1,1,nan
Black Swan,nan,nan,nan,nan,0.0,2,nan,Oct,1,1,nan
Goldeneye,nan,nan,nan,nan,0.0,1,nan,Oct,1,1,nan
Ruddy Duck,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
Smew,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
Common Scoter,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
Domestic Mallard,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
Paradise Shelduck,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
Ruddy Shelduck,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
Whooper Swan,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
Bewick's Swan,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
White-fronted Goose (European - albifrons),nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
White-fronted Goose,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
Pink-footed Goose,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
