Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Eider (except Shetland),nan,34,160,32,(41),9,nan,Oct,59,59,nan
Eider,nan,34,160,32,(41),9,nan,Oct,59,59,nan
Wigeon,nan,7,130,16,(12),5,nan,Oct,40,40,nan
Common Scoter,nan,1,100,2,0,90,nan,Oct,39,39,nan
Mallard,nan,0,18,2,(6),0,nan,nan,5,5,nan
Red-breasted Merganser,nan,3,3,0,2,(2),nan,Mar,2,2,nan
Goldeneye,nan,0,0,10,0,0,nan,nan,2,2,nan
Teal,nan,0,2,0,0,0,nan,nan,0,0,nan
Long-tailed Duck,nan,0,0,0,0,0,nan,nan,0,0,nan
Velvet Scoter,nan,0,0,0,0,0,nan,nan,0,0,nan
Pochard,nan,0,0,0,0,0,nan,nan,0,0,nan
Gadwall,nan,0,0,0,0,0,nan,nan,0,0,nan
Shoveler,nan,0,0,0,0,0,nan,nan,0,0,nan
Shelduck,nan,0,0,0,0,0,nan,nan,0,0,nan
Mute Swan,nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose (British/Irish),nan,0,0,0,0,0,nan,nan,0,0,nan
Greylag Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Svalbard),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (Greenland),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose (naturalised),nan,0,0,0,0,0,nan,nan,0,0,nan
Barnacle Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
