Species,,13/14,14/15,15/16,16/17,17/18,,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Pink-footed Goose,nan,0,785,0,0,0,nan,nan,157,157,nan
Mallard,nan,23,31,91,69,(144),nan,Feb,72,72,nan
Greylag Goose (British/Irish),nan,15,50,40,132,37,nan,Nov,55,55,nan
Greylag Goose,nan,15,50,40,132,37,nan,Nov,55,55,nan
Wigeon,nan,0,8,0,100,0,nan,nan,22,22,nan
Canada Goose,nan,39,10,13,11,15,nan,May,18,18,nan
Teal,nan,1,18,0,25,(15),nan,Apr,12,12,nan
Tufted Duck,nan,21,4,5,11,(1),nan,Mar,10,10,nan
Mute Swan,nan,8,2,5,2,(4),nan,Apr,4,4,nan
Shoveler,nan,1,1,5,4,(3),nan,Apr,3,3,nan
Shelduck,nan,2,3,2,4,(2),nan,Mar,3,3,nan
Gadwall,nan,0,2,0,5,0,nan,nan,1,1,nan
Whooper Swan,nan,0,0,0,6,0,nan,nan,1,1,nan
Pochard,nan,0,0,0,0,3,nan,May,1,1,nan
Hybrid duck,nan,1,0,0,0,0,nan,nan,0,0,nan
Garganey,nan,0,0,0,0,1,nan,Jul,0,0,nan
Brent Goose (Dark-bellied - bernicla),nan,0,0,0,0,0,nan,nan,0,0,nan
Brent Goose,nan,0,0,0,0,0,nan,nan,0,0,nan
END,END,END,END,END,END,END,END,END,END
